| People and Society | SENEGAL |
| --- | --- |
| Nationality: | noun: Senegalese (singular and plural) |
| Nationality: | adjective: Senegalese |
| Ethnic groups: | Wolof 43.3%, Pular 23.8%, Serer 14.7%, Jola 3.7%, Mandinka 3%, Soninke 1.1%, European and Lebanese 1%, other 9.4% |
| Languages: | French (official), Wolof, Pulaar, Jola, Mandinka |
| Religions: | Muslim 94% (most adhere to one of the four main Sufi brotherhoods), Christian 5% (mostly Roman Catholic), indigenous beliefs 1% |
| Population: | 13,975,834 (July 2015 est.) |
| Age structure: | 0-14 years: 42.16% (male 2,960,395/female 2,931,298) |
| Age structure: | 15-24 years: 20.4% (male 1,420,180/female 1,431,571) |
| Age structure: | 25-54 years: 30.67% (male 1,960,745/female 2,325,620) |
| Age structure: | 55-64 years: 3.84% (male 233,892/female 303,394) |
| Age structure: | 65 years and over: 2.92% (male 184,196/female 224,543) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 87.6% |
| population pyramid: | youth dependency ratio: 82.1% |
| population pyramid: | elderly dependency ratio: 5.5% |
| population pyramid: | potential support ratio: 18.2% (2015 est.) |
| Median age: | total: 18.5 years |
| Median age: | male: 17.7 years |
| Median age: | female: 19.4 years (2015 est.) |
| Population growth rate: | 2.45% (2015 est.) |
| Birth rate: | 34.52 births/1,000 population (2015 est.) |
| Death rate: | 8.46 deaths/1,000 population (2015 est.) |
| Net migration rate: | -1.59 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 43.7% of total population (2015) |
| Urbanization: | rate of urbanization: 3.59% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DAKAR (capital) 3.52 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.84 male(s)/female |
| Sex ratio: | 55-64 years: 0.77 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 51.54 deaths/1,000 live births |
| Infant mortality rate: | male: 57.62 deaths/1,000 live births |
| Infant mortality rate: | female: 45.29 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 61.32 years |
| Life expectancy at birth: | male: 59.29 years |
| Life expectancy at birth: | female: 63.42 years (2015 est.) |
| Total fertility rate: | 4.44 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 17.8% (2012/13) |
| Health expenditures: | 4.2% of GDP (2013) |
| Physicians density: | 0.06 physicians/1,000 population (2008) |
| Hospital bed density: | 0.3 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 92.9% of population |
| Drinking water source: | rural: 67.3% of population |
| Drinking water source: | total: 78.5% of population |
| unimproved: | urban: 7.1% of population |
| unimproved: | rural: 32.7% of population |
| unimproved: | total: 21.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 65.4% of population |
| Sanitation facility access: | rural: 33.8% of population |
| Sanitation facility access: | total: 47.6% of population |
| unimproved: | urban: 34.6% of population |
| unimproved: | rural: 66.2% of population |
| unimproved: | total: 52.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.53% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 44,000 (2014 est.) |
| HIV/AIDS - deaths: | 2,400 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 8.3% (2014) |
| Children under the age of 5 years underweight: | 16.8% (2013) |
| Education expenditures: | 5.6% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 57.7% |
| Literacy: | male: 69.7% |
| Literacy: | female: 46.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2010) |
| Child labor - children ages 5-14: | total number: 657,216 |
| Child labor - children ages 5-14: | percentage: 22% (2005 est.) |
| Unemployment, youth ages 15-24: | total: 14.8% |
| Unemployment, youth ages 15-24: | male: 11.9% |
| Unemployment, youth ages 15-24: | female: 20.1% (2006 est.) |
