| People and Society | Turkey |
| --- | --- |
| Nationality: | noun: Turk(s) |
| Nationality: | adjective: Turkish |
| Ethnic groups: | Turkish 70-75%, Kurdish 18%, other minorities 7-12% (2008 est.) |
| Languages: | Turkish (official), Kurdish, other minority languages |
| Religions: | Muslim 99.8% (mostly Sunni), other 0.2% (mostly Christians and Jews) |
| Population: | 81,619,392 (July 2014 est.) |
| Age structure: | 0-14 years: 25.5% (male 10,660,110/female 10,179,850) |
| Age structure: | 15-24 years: 16.8% (male 6,989,099/female 6,709,480) |
| Age structure: | 25-54 years: 42.9% (male 17,650,790/female 17,358,730) |
| Age structure: | 55-64 years: 8.1% (male 3,289,605/female 3,291,199) |
| Age structure: | 65 years and over: 6.6% (male 2,517,219/female 2,973,310) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 48.9 % |
| population pyramid: | youth dependency ratio: 37.7 % |
| population pyramid: | elderly dependency ratio: 11.2 % |
| population pyramid: | potential support ratio: 8.9 (2014 est.) |
| Median age: | total: 29.6 years |
| Median age: | male: 29.2 years |
| Median age: | female: 30 years (2014 est.) |
| Population growth rate: | 1.12% (2014 est.) |
| Birth rate: | 16.86 births/1,000 population (2014 est.) |
| Death rate: | 6.12 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0.46 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 71.5% of total population (2011) |
| Urbanization: | rate of urbanization: 2.4% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Istanbul 11.253 million; ANKARA (capital) 4.194 million; Izmir 2.927 million; Bursa 1.713 million; Adana 1.468 million; Gaziantep 1.198 million (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.84 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 22.3 (2010 est.) |
| Maternal mortality rate: | 20 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 21.43 deaths/1,000 live births |
| Infant mortality rate: | male: 22.48 deaths/1,000 live births |
| Infant mortality rate: | female: 20.32 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 73.29 years |
| Life expectancy at birth: | male: 71.33 years |
| Life expectancy at birth: | female: 75.35 years (2014 est.) |
| Total fertility rate: | 2.08 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 73% (2008) |
| Health expenditures: | 6.7% of GDP (2011) |
| Physicians density: | 1.71 physicians/1,000 population (2011) |
| Hospital bed density: | 2.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 98.8% of population |
| Drinking water source: | total: 99.7% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 1.2% of population |
| unimproved: | total: 0.3% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.2% of population |
| Sanitation facility access: | rural: 75.5% of population |
| Sanitation facility access: | total: 91.2% of population |
| unimproved: | urban: 2.8% of population |
| unimproved: | rural: 24.5% of population |
| unimproved: | total: 8.8% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1%; note - no country specific models provided (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 4,600 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 200 (2009 est.) |
| Obesity - adult prevalence rate: | 27.8% (2008) |
| Children under the age of 5 years underweight: | 3.5% (2004) |
| Education expenditures: | 2.9% of GDP (2006) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.1% |
| Literacy: | male: 97.9% |
| Literacy: | female: 90.3% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2011) |
| Child labor - children ages 5-14: | total number: 321,866 |
| Child labor - children ages 5-14: | percentage: 3 % |
| Child labor - children ages 5-14: | note: data represents children ages 6-14 (2006 est.) |
| Unemployment, youth ages 15-24: | total: 17.5% |
| Unemployment, youth ages 15-24: | male: 16.3% |
| Unemployment, youth ages 15-24: | female: 19.9% (2012) |
