| People and Society | Lesotho |
| --- | --- |
| Nationality: | noun: Mosotho (singular), Basotho (plural) |
| Nationality: | adjective: Basotho |
| Ethnic groups: | Sotho 99.7%, Europeans, Asians, and other 0.3%, |
| Languages: | Sesotho (official) (southern Sotho), English (official), Zulu, Xhosa |
| Religions: | Christian 80%, indigenous beliefs 20% |
| Population: | 1,936,181 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 33.1% (male 322,189/female 319,618) |
| Age structure: | 15-24 years: 20.2% (male 185,931/female 205,643) |
| Age structure: | 25-54 years: 36.3% (male 344,120/female 359,370) |
| Age structure: | 55-64 years: 4.9% (male 50,781/female 44,399) |
| Age structure: | 65 years and over: 5.4% (male 52,241/female 51,889) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 68.3 % |
| population pyramid: | youth dependency ratio: 61.2 % |
| population pyramid: | elderly dependency ratio: 7.1 % |
| population pyramid: | potential support ratio: 14.1 (2013) |
| Median age: | total: 23.4 years |
| Median age: | male: 23.3 years |
| Median age: | female: 23.4 years (2013 est.) |
| Population growth rate: | 0.34% (2013 est.) |
| Birth rate: | 26.31 births/1,000 population (2013 est.) |
| Death rate: | 15.02 deaths/1,000 population (2013 est.) |
| Net migration rate: | -7.89 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 27.6% of total population (2011) |
| Urbanization: | rate of urbanization: 3.57% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MASERU (capital) 220,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.9 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 1.14 male(s)/female |
| Sex ratio: | 65 years and over: 0.99 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 21.2 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2009 est.) |
| Maternal mortality rate: | 620 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 51.93 deaths/1,000 live births |
| Infant mortality rate: | male: 55.96 deaths/1,000 live births |
| Infant mortality rate: | female: 47.78 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 52.3 years |
| Life expectancy at birth: | male: 52.2 years |
| Life expectancy at birth: | female: 52.39 years (2013 est.) |
| Total fertility rate: | 2.83 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 47% (2009/10) |
| Health expenditures: | 12.8% of GDP (2011) |
| Physicians density: | 0.05 physicians/1,000 population (2003) |
| Hospital bed density: | 1.3 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 91% of population |
| Drinking water source: | rural: 73% of population |
| Drinking water source: | total: 78% of population |
| unimproved: | urban: 9% of population |
| unimproved: | rural: 27% of population |
| unimproved: | total: 22% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 32% of population |
| Sanitation facility access: | rural: 24% of population |
| Sanitation facility access: | total: 26% of population |
| unimproved: | urban: 68% of population |
| unimproved: | rural: 76% of population |
| unimproved: | total: 74% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 23.6% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 290,000 (2009 est.) |
| HIV/AIDS - deaths: | 14,000 (2009 est.) |
| Obesity - adult prevalence rate: | 14.6% (2008) |
| Children under the age of 5 years underweight: | 13.5% (2010) |
| Education expenditures: | 13% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 89.6% |
| Literacy: | male: 83.3% |
| Literacy: | female: 95.6% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2006) |
| Child labor - children ages 5-14: | total number: 103,020 |
| Child labor - children ages 5-14: | percentage: 23 % (2000 est.) |
| Unemployment, youth ages 15-24: | total: 34.4% |
| Unemployment, youth ages 15-24: | male: 29% |
| Unemployment, youth ages 15-24: | female: 41.9% (2008) |
