| People and Society | India |
| --- | --- |
| Nationality: | noun: Indian(s) |
| Nationality: | adjective: Indian |
| Ethnic groups: | Indo-Aryan 72%, Dravidian 25%, Mongoloid and other 3% (2000) |
| Languages: | Hindi 41%, Bengali 8.1%, Telugu 7.2%, Marathi 7%, Tamil 5.9%, Urdu 5%, Gujarati 4.5%, Kannada 3.7%, Malayalam 3.2%, Oriya 3.2%, Punjabi 2.8%, Assamese 1.3%, Maithili 1.2%, other 5.9% |
| Languages: | note: English enjoys the status of subsidiary official language but is the most important language for national, political, and commercial communication; Hindi is the most widely spoken language and primary tongue of 41% of the people; there are 14 other official languages: Bengali, Telugu, Marathi, Tamil, Urdu, Gujarati, Malayalam, Kannada, Oriya, Punjabi, Assamese, Kashmiri, Sindhi, and Sanskrit; Hindustani is a popular variant of Hindi/Urdu spoken widely throughout northern India but is not an official language (2001 census) |
| Religions: | Hindu 80.5%, Muslim 13.4%, Christian 2.3%, Sikh 1.9%, other 1.8%, unspecified 0.1% (2001 census) |
| Population: | 1,189,172,906 (July 2011 est.) |
| Age structure: | 0-14 years: 29.7% (male 187,450,635/female 165,415,758) |
| Age structure: | 15-64 years: 64.9% (male 398,757,331/female 372,719,379) |
| Age structure: | 65 years and over: 5.5% (male 30,831,190/female 33,998,613) (2011 est.) |
| Median age: | total: 26.2 years |
| Median age: | male: 25.6 years |
| Median age: | female: 26.9 years (2011 est.) |
| Population growth rate: | 1.344% (2011 est.) |
| Birth rate: | 20.97 births/1,000 population (2011 est.) |
| Death rate: | 7.48 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -0.05 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 30% of total population (2010) |
| Urbanization: | rate of urbanization: 2.4% annual rate of change (2010-15 est.) |
| Major cities - population: | NEW DELHI (capital) 21.72 million; Mumbai 19.695 million; Kolkata 15.294 million; Chennai 7.416 million; Bangalore 7.079 million (2009) |
| Sex ratio: | at birth: 1.12 male(s)/female |
| Sex ratio: | under 15 years: 1.13 male(s)/female |
| Sex ratio: | 15-64 years: 1.07 male(s)/female |
| Sex ratio: | 65 years and over: 0.91 male(s)/female |
| Sex ratio: | total population: 1.08 male(s)/female (2011 est.) |
| Maternal mortality rate: | 230 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 47.57 deaths/1,000 live births |
| Infant mortality rate: | male: 46.18 deaths/1,000 live births |
| Infant mortality rate: | female: 49.14 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 66.8 years |
| Life expectancy at birth: | male: 65.77 years |
| Life expectancy at birth: | female: 67.95 years (2011 est.) |
| Total fertility rate: | 2.62 children born/woman (2011 est.) |
| Health expenditures: | 2.4% of GDP (2009) |
| Physicians density: | 0.599 physicians/1,000 population (2005) |
| Hospital bed density: | 0.9 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96% of population |
| Drinking water source: | rural: 84% of population |
| Drinking water source: | total: 88% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 16% of population |
| unimproved: | total: 12% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 54% of population |
| Sanitation facility access: | rural: 21% of population |
| Sanitation facility access: | total: 31% of population |
| unimproved: | urban: 46% of population |
| unimproved: | rural: 79% of population |
| unimproved: | total: 69% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2.4 million (2009 est.) |
| HIV/AIDS - deaths: | 170,000 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: chikungunya, dengue fever, Japanese encephalitis, and malaria |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 43.5% (2006) |
| Education expenditures: | 3.1% of GDP (2006) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 61% |
| Literacy: | male: 73.4% |
| Literacy: | female: 47.8% (2001 census) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2007) |
| Unemployment, youth ages 15-24: | total: 10.5% |
| Unemployment, youth ages 15-24: | male: 10.4% |
| Unemployment, youth ages 15-24: | female: 10.8% (2004) |
