| People and Society | Greenland |
| --- | --- |
| Population: | 57,691 (July 2018 est.) |
| Nationality: | noun: Greenlander(s) |
| Nationality: | adjective: Greenlandic |
| Ethnic groups: | Greenlandic 89.6%, Danish 7.8%, other Nordic 1.1%, and other 1.4% (2018 est.) |
| Ethnic groups: | note: data represent population by country of birth |
| Languages: | Greenlandic (East Inuit) (official), Danish (official), English |
| Religions: | Evangelical Lutheran, traditional Inuit spiritual beliefs |
| Age structure: | 0-14 years: 21% (male 6,151 /female 5,962) |
| Age structure: | 15-24 years: 15.1% (male 4,388 /female 4,321) |
| Age structure: | 25-54 years: 40.83% (male 12,349 /female 11,209) |
| Age structure: | 55-64 years: 13.5% (male 4,259 /female 3,529) |
| Age structure: | 65 years and over: 9.57% (male 2,944 /female 2,579) (2018 est.) |
| Median age: | total: 34 years |
| Median age: | male: 35 years |
| Median age: | female: 32.9 years (2018 est.) |
| Population growth rate: | -0.04% (2018 est.) |
| Birth rate: | 14.3 births/1,000 population (2018 est.) |
| Death rate: | 8.8 deaths/1,000 population (2018 est.) |
| Net migration rate: | -6 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | settlement concentrated on the southwest shoreline, with limited settlements scattered along the remaining coast; interior is uninhabited |
| Urbanization: | urban population: 86.8% of total population (2018) |
| Urbanization: | rate of urbanization: 0.42% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 18,000 NUUK (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.1 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 1.26 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 1.15 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.1 male(s)/female (2017 est.) |
| Infant mortality rate: | total: 8.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 9.9 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 7.4 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 72.9 years (2018 est.) |
| Life expectancy at birth: | male: 70.2 years (2018 est.) |
| Life expectancy at birth: | female: 75.8 years (2018 est.) |
| Total fertility rate: | 1.97 children born/woman (2018 est.) |
| Physicians density: | 1.73 physicians/1,000 population (2014) |
| Hospital bed density: | 8.2 beds/1,000 population (2015) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 100% of population (2015 est.) |
| Sanitation facility access: | rural: 100% of population (2015 est.) |
| Sanitation facility access: | total: 100% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0% of population (2015 est.) |
| Sanitation facility access: | rural: 0% of population (2015 est.) |
| Sanitation facility access: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 100% (2015 est.) |
| Literacy: | male: 100% (2015 est.) |
| Literacy: | female: 100% (2015 est.) |
