| People and Society | Panama |
| --- | --- |
| Population: | 3,800,644 (July 2018 est.) |
| Nationality: | noun: Panamanian(s) |
| Nationality: | adjective: Panamanian |
| Ethnic groups: | mestizo (mixed Amerindian and white) 65%, Native American 12.3% (Ngabe 7.6%, Kuna 2.4%, Embera 0.9%, Bugle 0.8%, other 0.4%, unspecified 0.2%), black or African descent 9.2%, mulatto 6.8%, white 6.7% (2010 est.) |
| Languages: | Spanish (official), indigenous languages (including Ngabere (or Guaymi), Buglere, Kuna, Embera, Wounaan, Naso (or Teribe), and Bri Bri), Panamanian English Creole (similar to Jamaican English Creole; a mixture of English and Spanish with elements of Ngabere; also known as Guari Guari and Colon Creole), English, Chinese (Yue and Hakka), Arabic, French Creole, other (Yiddish, Hebrew, Korean, Japanese) |
| Languages: | note: many Panamanians are bilingual |
| Religions: | Roman Catholic 85%, Protestant 15% |
| Demographic profile: | Panama is a country of demographic and economic contrasts. It is in the midst of a demographic transition, characterized by steadily declining rates of fertility, mortality, and population growth, but disparities persist based on wealth, geography, and ethnicity. Panama has one of the fastest growing economies in Latin America and dedicates substantial funding to social programs, yet poverty and inequality remain prevalent. The indigenous population accounts for a growing share of Panama's poor and extreme poor, while the non-indigenous rural poor have been more successful at rising out of poverty through rural-to-urban labor migration. The government's large expenditures on untargeted, indirect subsidies for water, electricity, and fuel have been ineffective, but its conditional cash transfer program has shown some promise in helping to decrease extreme poverty among the indigenous population. |
| Demographic profile: | Panama has expanded access to education and clean water, but the availability of sanitation and, to a lesser extent, electricity remains poor. The increase in secondary schooling - led by female enrollment - is spreading to rural and indigenous areas, which probably will help to alleviate poverty if educational quality and the availability of skilled jobs improve. Inadequate access to sanitation contributes to a high incidence of diarrhea in Panama's children, which is one of the main causes of Panama's elevated chronic malnutrition rate, especially among indigenous communities. |
| Age structure: | 0-14 years: 26.13% (male 506,953 /female 486,129) |
| Age structure: | 15-24 years: 16.84% (male 326,207 /female 313,894) |
| Age structure: | 25-54 years: 40.35% (male 776,395 /female 757,008) |
| Age structure: | 55-64 years: 8.11% (male 152,894 /female 155,353) |
| Age structure: | 65 years and over: 8.57% (male 149,415 /female 176,396) (2018 est.) |
| Dependency ratios: | total dependency ratio: 54.8 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 43.1 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 11.7 (2015 est.) |
| Dependency ratios: | potential support ratio: 8.5 (2015 est.) |
| Median age: | total: 29.5 years (2018 est.) |
| Median age: | male: 29 years |
