| People and Society | Saint Barthelemy |
| --- | --- |
| Population: | 7,160 (July 2018 est.) |
| Ethnic groups: | other white, Creole (mulatto), black, Guadeloupe Mestizo (French-East Asia) |
| Languages: | French (primary), English |
| Religions: | Roman Catholic, Protestant, Jehovah's Witnesses |
| Age structure: | 0-14 years: 15.96% (male 587 /female 556) |
| Age structure: | 15-24 years: 7.26% (male 272 /female 248) |
| Age structure: | 25-54 years: 43.13% (male 1,682 /female 1,406) |
| Age structure: | 55-64 years: 16.13% (male 621 /female 534) |
| Age structure: | 65 years and over: 17.51% (male 631 /female 623) (2018 est.) |
| Median age: | total: 44.7 years (2018 est.) |
| Median age: | male: 44.6 years |
| Median age: | female: 44.7 years |
| Net migration rate: | -4.2 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | most of the populace concentrated in and around the capital of Gustavia, but scattered settlements exist around the island periphery |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.1 male(s)/female |
| Sex ratio: | 25-54 years: 1.2 male(s)/female |
| Sex ratio: | 55-64 years: 1.16 male(s)/female |
| Sex ratio: | 65 years and over: 1.01 male(s)/female |
| Sex ratio: | total population: 1.13 male(s)/female (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Education expenditures: | NA |
