| People and Society | Cabo Verde |
| --- | --- |
| Population: | 568,373 (July 2018 est.) |
| Nationality: | noun: Cabo Verdean(s) |
| Nationality: | adjective: Cabo Verdean |
| Ethnic groups: | Creole (mulatto) 71%, African 28%, European 1% |
| Languages: | Portuguese (official), Krioulo (a blend of Portuguese and West African languages) |
| Religions: | Roman Catholic 77.3%, Protestant 4.6% (includes Church of the Nazarene 1.7%, Adventist 1.5%, Assembly of God 0.9%, Universal Kingdom of God 0.4%, and God and Love 0.1%), other Christian 3.4% (includes Christian Rationalism 1.9%, Jehovah's Witness 1%, and New Apostolic 0.5%), Muslim 1.8%, other 1.3%, none 10.8%, unspecified 0.7% (2010 est.) |
| Demographic profile: | Cabo Verdeâ€™s population descends from its first permanent inhabitants in the late 15th-century â€“ a preponderance of West African slaves, a small share of Portuguese colonists, and even fewer Italians, Spaniards, and Portuguese Jews. Over the centuries, the countryâ€™s overall population size has fluctuated significantly, as recurring periods of famine and epidemics have caused high death tolls and emigration. |
| Demographic profile: | Labor migration historically reduced Cabo Verdeâ€™s population growth and still provides a key source of income through remittances. Expatriates probably outnumber Cabo Verdeâ€™s resident population, with most families having a member abroad. Cabo Verdeans have settled in the US, Europe, Africa, and South America. The largest diaspora community in New Bedford, Massachusetts, dating to the early 1800s, is a byproduct of the transatlantic whaling industry. Cabo Verdean men fleeing poverty at home joined the crews of US whaling ships that stopped in the islands. Many settled in New Bedford and stayed in the whaling or shipping trade, worked in the textile or cranberry industries, or operated their own transatlantic packet ships that transported compatriots to the US. Increased Cabo Verdean emigration to the US coincided with the gradual and eventually complete abolition of slavery in the archipelago in 1878. |
| Demographic profile: | During the same period, Portuguese authorities coerced Cabo Verdeans to go to Sao Tome and Principe and other Portuguese colonies in Africa to work as indentured laborers on plantations. In the 1920s, when the US implemented immigration quotas, Cabo Verdean emigration shifted toward Portugal, West Africa (Senegal), and South America (Argentina). Growing numbers of Cabo Verdean labor migrants headed to Western Europe in the 1960s and 1970s. They filled unskilled jobs in Portugal, as many Portuguese sought out work opportunities in the more prosperous economies of northwest Europe. Cabo Verdeans eventually expanded their emigration to the Netherlands, where they worked in the shipping industry. Migration to the US resumed under relaxed migration laws. Cabo Verdean women also began migrating to southern Europe to become domestic workers, a trend that continues today and has shifted the gender balance of Cabo Verdean emigration. |
| Demographic profile: | Emigration has declined in more recent decades due to the adoption of more restrictive migration policies in destination countries. Reduced emigration along with a large youth population, decreased mortality rates, and increased life expectancies, has boosted population growth, putting further pressure on domestic employment and resources. In addition, Cabo Verde has attracted increasing numbers of migrants in recent decades, consisting primarily of people from West Africa, Portuguese-speaking African countries, Portugal, and China. Since the 1990s, some West African migrants have used Cabo Verde as a stepping stone for illegal migration to Europe. |
| Age structure: | 0-14 years: 28.7% (male 82,035 /female 81,082) |
| Age structure: | 15-24 years: 19.64% (male 55,811 /female 55,798) |
| Age structure: | 25-54 years: 40.02% (male 110,646 /female 116,804) |
| Age structure: | 55-64 years: 6.4% (male 16,154 /female 20,245) |
| Age structure: | 65 years and over: 5.24% (male 11,272 /female 18,526) (2018 est.) |
| Dependency ratios: | total dependency ratio: 55.4 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 48.4 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 6.9 (2015 est.) |
| Dependency ratios: | potential support ratio: 14.4 (2015 est.) |
| Median age: | total: 25.8 years (2018 est.) |
| Median age: | male: 25 years |
| Median age: | female: 26.7 years |
| Population growth rate: | 1.32% (2018 est.) |
| Birth rate: | 19.7 births/1,000 population (2018 est.) |
| Death rate: | 6 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.6 migrant(s)/1,000 population (2018 est.) |
