| People and Society | CHINA |
| --- | --- |
| Nationality: | noun: Chinese (singular and plural) |
| Nationality: | adjective: Chinese |
| Ethnic groups: | Han Chinese 91.6%, Zhuang 1.3%, other (includes Hui, Manchu, Uighur, Miao, Yi, Tujia, Tibetan, Mongol, Dong, Buyei, Yao, Bai, Korean, Hani, Li, Kazakh, Dai and other nationalities) 7.1% |
| Ethnic groups: | note: the Chinese government officially recognizes 56 ethnic groups (2010 est.) |
| Languages: | Standard Chinese or Mandarin (official; Putonghua, based on the Beijing dialect), Yue (Cantonese), Wu (Shanghainese), Minbei (Fuzhou), Minnan (Hokkien-Taiwanese), Xiang, Gan, Hakka dialects, minority languages (see Ethnic groups entry) |
| Languages: | note: Zhuang is official in Guangxi Zhuang, Yue is official in Guangdong, Mongolian is official in Nei Mongol, Uighur is official in Xinjiang Uygur, Kyrgyz is official in Xinjiang Uygur, and Tibetan is official in Xizang (Tibet) |
| Religions: | Buddhist 18.2%, Christian 5.1%, Muslim 1.8%, folk religion 21.9%, Hindu |
| Religions: | note: officially atheist (2010 est.) |
| Population: | 1,367,485,388 (July 2015 est.) |
| Age structure: | 0-14 years: 17.08% (male 126,146,137/female 107,410,265) |
| Age structure: | 15-24 years: 13.82% (male 100,380,703/female 88,615,299) |
| Age structure: | 25-54 years: 47.95% (male 334,240,795/female 321,417,301) |
| Age structure: | 55-64 years: 11.14% (male 77,098,602/female 75,286,553) |
| Age structure: | 65 years and over: 10.01% (male 65,573,256/female 71,316,477) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 36.6% |
| population pyramid: | youth dependency ratio: 23.5% |
| population pyramid: | elderly dependency ratio: 13% |
| population pyramid: | potential support ratio: 7.7% (2015 est.) |
| Median age: | total: 36.8 years |
| Median age: | male: 36 years |
| Median age: | female: 37.7 years (2015 est.) |
| Population growth rate: | 0.45% (2015 est.) |
| Birth rate: | 12.49 births/1,000 population (2015 est.) |
| Death rate: | 7.53 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.44 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 55.6% of total population (2015) |
| Urbanization: | rate of urbanization: 3.05% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Shanghai 23.741 million; BEIJING (capital) 20.384 million; Chongqing 13.332 million; Guangdong 12.458 million; Tianjin 11.21 million; Shenzhen 10.749 million (2015) |
| Sex ratio: | at birth: 1.15 male(s)/female |
| Sex ratio: | 0-14 years: 1.17 male(s)/female |
| Sex ratio: | 15-24 years: 1.13 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.92 male(s)/female |
| Sex ratio: | total population: 1.06 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 12.44 deaths/1,000 live births |
| Infant mortality rate: | male: 12.58 deaths/1,000 live births |
| Infant mortality rate: | female: 12.27 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 75.41 years |
| Life expectancy at birth: | male: 73.38 years |
| Life expectancy at birth: | female: 77.73 years (2015 est.) |
| Total fertility rate: | 1.6 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 84.6% (2006) |
| Health expenditures: | 5.6% of GDP (2013) |
| Physicians density: | 1.49 physicians/1,000 population (2011) |
| Hospital bed density: | 3.8 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.5% of population |
| Drinking water source: | rural: 93% of population |
| Drinking water source: | total: 95.5% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 7% of population |
| unimproved: | total: 4.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 86.6% of population |
| Sanitation facility access: | rural: 63.7% of population |
| Sanitation facility access: | total: 76.5% of population |
| unimproved: | urban: 13.4% of population |
| unimproved: | rural: 36.3% of population |
| unimproved: | total: 23.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 780,000 (2012 est.) |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: Japanese encephalitis |
| Major infectious diseases: | soil contact disease: hantaviral hemorrhagic fever with renal syndrome (HFRS) |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 7.3% (2014) |
| Children under the age of 5 years underweight: | 3.4% (2010) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.4% |
| Literacy: | male: 98.2% |
| Literacy: | female: 94.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2012) |
