| People and Society | China |
| --- | --- |
| Nationality: | noun: Chinese (singular and plural) |
| Nationality: | adjective: Chinese |
| Ethnic groups: | Han Chinese 91.5%, Zhuang, Manchu, Hui, Miao, Uighur, Tujia, Yi, Mongol, Tibetan, Buyi, Dong, Yao, Korean, and other nationalities 8.5% (2000 census) |
| Languages: | Standard Chinese or Mandarin (Putonghua, based on the Beijing dialect), Yue (Cantonese), Wu (Shanghainese), Minbei (Fuzhou), Minnan (Hokkien-Taiwanese), Xiang, Gan, Hakka dialects, minority languages (see Ethnic groups entry) |
| Languages: | note: Mongolian is official in Nei Mongol, Uighur is official in Xinjiang Uygur, and Tibetan is official in Xizang (Tibet) |
| Religions: | Daoist (Taoist), Buddhist, Christian 3%-4%, Muslim 1%-2% |
| Religions: | note: officially atheist (2002 est.) |
| Population: | 1,343,239,923 (July 2012 est.) |
| Age structure: | 0-14 years: 17.4% (male 125,528,983/ female 107,668,285) |
| Age structure: | 15-64 years: 73.5% (male 507,661,881/ female 480,115,760) |
| Age structure: | 65 years and over: 9.1% (male 58,677,903/ female 63,587,111) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 35.9 years |
| Median age: | male: 35.2 years |
| Median age: | female: 36.6 years (2012 est.) |
| Population growth rate: | 0.481% (2012 est.) |
| Birth rate: | 12.31 births/1,000 population (2012 est.) |
| Death rate: | 7.17 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | -0.33 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 47% of total population (2010) |
| Urbanization: | rate of urbanization: 2.3% annual rate of change (2010-15 est.) |
| Major cities - population: | Shanghai 16.575 million; BEIJING (capital) 12.214 million; Chongqing 9.401 million; Shenzhen 9.005 million; Guangzhou 8.884 million (2009) |
| Sex ratio: | at birth: 1.13 male(s)/female |
| Sex ratio: | under 15 years: 1.17 male(s)/female |
| Sex ratio: | 15-64 years: 1.06 male(s)/female |
| Sex ratio: | 65 years and over: 0.92 male(s)/female |
| Sex ratio: | total population: 1.06 male(s)/female (2011 est.) |
| Maternal mortality rate: | 37 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 15.62 deaths/1,000 live births |
| Infant mortality rate: | male: 15.38 deaths/1,000 live births |
| Infant mortality rate: | female: 15.9 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 74.84 years |
| Life expectancy at birth: | male: 72.82 years |
| Life expectancy at birth: | female: 77.11 years (2012 est.) |
| Total fertility rate: | 1.55 children born/woman (2012 est.) |
| Health expenditures: | 4.6% of GDP (2009) |
| Physicians density: | 1.415 physicians/1,000 population (2009) |
| Hospital bed density: | 4.06 beds/1,000 population (2009) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 58% of population |
| Sanitation facility access: | rural: 52% of population |
| Sanitation facility access: | total: 55% of population |
| unimproved: | urban: 42% of population |
| unimproved: | rural: 48% of population |
| unimproved: | total: 45% of population |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 740,000 (2009 est.) |
| HIV/AIDS - deaths: | 26,000 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: Japanese encephalitis and dengue fever |
| Major infectious diseases: | soil contact disease: hantaviral hemorrhagic fever with renal syndrome (HFRS) |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Obesity - adult prevalence rate: | 2.9% (2002) |
| Children under the age of 5 years underweight: | 8.7% (2000) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.2% |
| Literacy: | male: 96% |
| Literacy: | female: 88.5% (2007) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2009) |
