| People and Society | BERMUDA |
| --- | --- |
| Nationality: | noun: Bermudian(s) |
| Nationality: | adjective: Bermudian |
| Ethnic groups: | black 53.8%, white 31%, mixed 7.5%, other 7.1%, unspecified 0.6% (2010 est.) |
| Languages: | English (official), Portuguese |
| Religions: | Protestant 46.2% (includes Anglican 15.8%, African Methodist Episcopal 8.6%, Seventh Day Adventist 6.7, Pentecostal 3.5%, Methodist 2.7%, Presbyterian 2.0 %, Church of God 1.6%, Baptist 1.2%, Salvation Army 1.1%, Bretheren 1.0%, other Protestant 2.0%), Roman Catholic 14.5%, Jehovah's Witness 1.3%, other Christian 9.1%, Muslim 1%, other 3.9%, none 17.8%, unspecified 6.2% (2010 est.) |
| Population: | 70,196 (July 2015 est.) |
| Age structure: | 0-14 years: 17.31% (male 6,144/female 6,009) |
| Age structure: | 15-24 years: 12.21% (male 4,302/female 4,269) |
| Age structure: | 25-54 years: 38.56% (male 13,541/female 13,526) |
| Age structure: | 55-64 years: 15% (male 4,963/female 5,568) |
| Age structure: | 65 years and over: 16.92% (male 5,002/female 6,872) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 43.1 years |
| population pyramid: | male: 41.2 years |
| population pyramid: | female: 44.9 years (2015 est.) |
| Population growth rate: | 0.5% (2015 est.) |
| Birth rate: | 11.33 births/1,000 population (2015 est.) |
| Death rate: | 8.23 deaths/1,000 population (2015 est.) |
| Net migration rate: | 1.88 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 100% of total population (2015) |
| Urbanization: | rate of urbanization: 0.19% annual rate of change (2010-15 est.) |
| Major urban areas - population: | HAMILTON (capital) 10,000 (2014) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 2.48 deaths/1,000 live births |
| Infant mortality rate: | male: 2.58 deaths/1,000 live births |
| Infant mortality rate: | female: 2.37 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 81.15 years |
| Life expectancy at birth: | male: 77.94 years |
| Life expectancy at birth: | female: 84.42 years (2015 est.) |
| Total fertility rate: | 1.95 children born/woman (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 2.6% of GDP (2010) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2012) |
| Unemployment, youth ages 15-24: | total: 35.7% |
| Unemployment, youth ages 15-24: | male: 34.8% |
| Unemployment, youth ages 15-24: | female: 36.5% (2012 est.) |
