| People and Society | Gaza Strip |
| --- | --- |
| Population: | 1,836,713 (July 2018 est.) |
| Nationality: | noun: NA |
| Nationality: | adjective: NA |
| Ethnic groups: | Palestinian Arab |
| Languages: | Arabic, Hebrew (spoken by many Palestinians), English (widely understood) |
| Religions: | Muslim 98.0 - 99.0% (predominantly Sunni), Christian <1.0%, other, unaffiliated, unspecified <1.0% (2012 est.) |
| Religions: | note: dismantlement of Israeli settlements was completed in September 2005; Gaza has had no Jewish population since then |
| Age structure: | 0-14 years: 44.1% (male 415,746 /female 394,195) |
| Age structure: | 15-24 years: 21.34% (male 197,797 /female 194,112) |
| Age structure: | 25-54 years: 28.5% (male 256,103 /female 267,285) |
| Age structure: | 55-64 years: 3.48% (male 33,413 /female 30,592) |
| Age structure: | 65 years and over: 2.58% (male 24,863 /female 22,607) (2018 est.) |
| Dependency ratios: | total dependency ratio: 75.8 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 70.5 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.2 (2015 est.) |
| Dependency ratios: | potential support ratio: 19.1 (2015 est.) |
| Dependency ratios: | note: data represent Gaza Strip and the West Bank |
| Median age: | total: 17.4 years |
| Median age: | male: 17.1 years |
| Median age: | female: 17.8 years (2018 est.) |
| Population growth rate: | 2.25% (2018 est.) |
| Birth rate: | 30.5 births/1,000 population (2018 est.) |
| Death rate: | 3 deaths/1,000 population (2018 est.) |
| Net migration rate: | -5.1 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population concentrated in major cities, particularly Gaza City in the north |
| Urbanization: | urban population: 76.2% of total population (2018) |
| Urbanization: | rate of urbanization: 3% annual rate of change (2015-20 est.) |
| Urbanization: | note: data represent Gaza Strip and the West Bank |
| Sex ratio: | at birth: 1.06 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.96 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 1.1 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.71 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.02 male(s)/female (2017 est.) |
| Maternal mortality rate: | 45 deaths/100,000 live births (2015 est.) |
| Maternal mortality rate: | note: data represent Gaza Strip and the West Bank |
| Infant mortality rate: | total: 16 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 17.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 14.9 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 74.4 years (2018 est.) |
| Life expectancy at birth: | male: 72.7 years (2018 est.) |
| Life expectancy at birth: | female: 76.2 years (2018 est.) |
| Total fertility rate: | 3.97 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 57.2% (includes Gaza Strip and the West Bank) (2014) |
| Physicians density: | 2.2 physicians/1,000 population (2014) |
| Hospital bed density: | 1.32 beds/1,000 population (2015) |
| Drinking water source: | improved: urban: 50.7% of population |
| Drinking water source: | rural: 81.5% of population |
| Drinking water source: | total: 58.4% of population |
| Drinking water source: | unimproved: urban: 49.3% of population |
| Drinking water source: | rural: 18.5% of population |
| Drinking water source: | total: 41.6% of population (2015 est.) |
| Drinking water source: | note: includes Gaza Strip and the West Bank |
| Sanitation facility access: | improved: urban: 93% of population (2015 est.) |
| Sanitation facility access: | rural: 90.2% of population (2015 est.) |
| Sanitation facility access: | total: 92.3% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 7% of population (2015 est.) |
| Sanitation facility access: | rural: 9.8% of population (2015 est.) |
| Sanitation facility access: | total: 7.7% of population (2015 est.) |
| Sanitation facility access: | note: note includes Gaza Strip and the West Bank |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Children under the age of 5 years underweight: | 1.4% (2014) |
| Children under the age of 5 years underweight: | note: estimate is for Gaza Strip and the West Bank |
| Education expenditures: | 5.7% of GDP (2016) |
| Education expenditures: | note: includes Gaza Strip and the West Bank |
| Literacy: | definition: age 15 and over can read and write (2016 est.) |
| Literacy: | total population: 96.9% (2016 est.) |
| Literacy: | male: 98.6% (2016 est.) |
| Literacy: | female: 95.2% (2016 est.) |
| Literacy: | note: estimates are for Gaza and the West Bank |
| School life expectancy (primary to tertiary education): | total: 13 years (2015) |
| School life expectancy (primary to tertiary education): | male: 12 years (2015) |
| School life expectancy (primary to tertiary education): | female: 14 years (2015) |
| School life expectancy (primary to tertiary education): | note: data represent Gaza Strip and the West Bank |
| Unemployment, youth ages 15-24: | total: 40.7% (2015 est.) |
| Unemployment, youth ages 15-24: | male: 36.4% (2015 est.) |
| Unemployment, youth ages 15-24: | female: 60.8% (2015 est.) |
| Unemployment, youth ages 15-24: | note: includes the West Bank |
