| People and Society | GAZA STRIP |
| --- | --- |
| Population: | 1,753,327 (July 2016 est.) |
| Nationality: | noun: NA |
| Nationality: | adjective: NA |
| Ethnic groups: | Palestinian Arab |
| Languages: | Arabic, Hebrew (spoken by many Palestinians), English (widely understood) |
| Religions: | Muslim 98.0 - 99.0% (predominantly Sunni), Christian <1.0%, other, unaffiliated, unspecified <1.0% |
| Religions: | note: dismantlement of Israeli settlements was completed in September 2005; Gaza has had no Jewish population since then (2012 est.) |
| Age structure: | 0-14 years: 45.4% (male 408,601/female 387,463) |
| Age structure: | 15-24 years: 21.21% (male 187,229/female 184,619) |
| Age structure: | 25-54 years: 27.56% (male 237,162/female 246,021) |
| Age structure: | 55-64 years: 3.32% (male 30,575/female 27,717) |
| Age structure: | 65 years and over: 2.51% (male 22,613/female 21,327) (2016 est.) |
| Dependency ratios: | total dependency ratio: 76% |
| Dependency ratios: | youth dependency ratio: 70.8% |
| Dependency ratios: | elderly dependency ratio: 5.2% |
| Dependency ratios: | potential support ratio: 19.2% |
| Dependency ratios: | note: data represent Gaza Strip and the West Bank (2015 est.) |
| Median age: | total: 16.9 years |
| Median age: | male: 16.6 years |
| Median age: | female: 17.2 years (2016 est.) |
| Population growth rate: | 2.39% (2016 est.) |
| Birth rate: | 32.3 births/1,000 population (2016 est.) |
| Death rate: | 3.2 deaths/1,000 population (2016 est.) |
| Net migration rate: | -5.2 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | population concentrated in major cities, particularly Gaza City in the north |
| Urbanization: | urban population: 75.3% of total population (2015) |
| Urbanization: | rate of urbanization: 2.81% annual rate of change (2010-15 est.) |
| Urbanization: | note: data represent Gaza Strip and West Bank |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 1.1 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2004 est.) |
| Maternal mortality rate: | 45 deaths/100,000 live births |
| Maternal mortality rate: | note: data represent Gaza Strip and West Bank (2015 est.) |
| Infant mortality rate: | total: 17.1 deaths/1,000 live births |
| Infant mortality rate: | male: 18.2 deaths/1,000 live births |
| Infant mortality rate: | female: 15.9 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 73.9 years |
| Life expectancy at birth: | male: 72.3 years |
| Life expectancy at birth: | female: 75.7 years (2016 est.) |
| Total fertility rate: | 4.3 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 52.5% (includes Gaza Strip and West Bank) (2010) |
| Physicians density: | 2.1 physicians/1,000 population (2013) |
| Hospital bed density: | 1.3 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 50.7% of population |
| Drinking water source: | rural: 81.5% of population |
| Drinking water source: | total: 58.4% of population |
| unimproved: | urban: 49.3% of population |
| unimproved: | rural: 18.5% of population |
| unimproved: | total: 41.6% of population |
| unimproved: | note: includes Gaza Strip and the West Bank (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93% of population |
| Sanitation facility access: | rural: 90.2% of population |
| Sanitation facility access: | total: 92.3% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 9.8% of population |
| unimproved: | total: 7.7% of population |
| unimproved: | note: includes Gaza Strip and the West Bank (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.5% |
| Literacy: | male: 98.4% |
| Literacy: | female: 94.5% |
| Literacy: | note: estimates are for Gaza and the West Bank (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 14 years |
| School life expectancy (primary to tertiary education): | note: data represent Gaza and West Bank (2014) |
| Unemployment, youth ages 15-24: | total: 41% |
| Unemployment, youth ages 15-24: | male: 37% |
| Unemployment, youth ages 15-24: | female: 64.7% |
| Unemployment, youth ages 15-24: | note: includes the West Bank (2013 est.) |
