| People and Society | CYPRUS |
| --- | --- |
| Nationality: | noun: Cypriot(s) |
| Nationality: | adjective: Cypriot |
| Ethnic groups: | Greek 77%, Turkish 18%, other 5% (2001) |
| Languages: | Greek (official) 80.9%, Turkish (official) 0.2%, English 4.1%, Romanian 2.9%, Russian 2.5%, Bulgarian 2.2%, Arabic 1.2%, Filippino 1.1%, other 4.3%, unspecified 0.6% (2011 est.) |
| Religions: | Orthodox Christian 89.1%, Roman Catholic 2.9%, Protestant/Anglican 2%, Muslim 1.8%, Buddhist 1%, other (includes Maronite, Armenian Church, Hindu) 1.4%, unknown 1.1%, none/atheist 0.6% (2011 est.) |
| Population: | 1,189,197 (July 2015 est.) |
| Age structure: | 0-14 years: 15.61% (male 95,431/female 90,159) |
| Age structure: | 15-24 years: 14.87% (male 96,152/female 80,633) |
| Age structure: | 25-54 years: 46.97% (male 293,582/female 264,935) |
| Age structure: | 55-64 years: 11.05% (male 62,826/female 68,551) |
| Age structure: | 65 years and over: 11.51% (male 59,363/female 77,565) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 41.6% |
| population pyramid: | youth dependency ratio: 23.4% |
| population pyramid: | elderly dependency ratio: 18.2% |
| population pyramid: | potential support ratio: 5.5% (2015 est.) |
| Median age: | total: 36.1 years |
| Median age: | male: 34.7 years |
| Median age: | female: 37.7 years (2015 est.) |
| Population growth rate: | 1.43% (2015 est.) |
| Birth rate: | 11.41 births/1,000 population (2015 est.) |
| Death rate: | 6.62 deaths/1,000 population (2015 est.) |
| Net migration rate: | 9.48 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 66.9% of total population (2015) |
| Urbanization: | rate of urbanization: 0.89% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NICOSIA (capital) 251,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.19 male(s)/female |
| Sex ratio: | 25-54 years: 1.11 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 8.36 deaths/1,000 live births |
| Infant mortality rate: | male: 9.97 deaths/1,000 live births |
| Infant mortality rate: | female: 6.68 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 78.51 years |
| Life expectancy at birth: | male: 75.7 years |
| Life expectancy at birth: | female: 81.46 years (2015 est.) |
| Total fertility rate: | 1.46 children born/woman (2015 est.) |
| Health expenditures: | 7.4% of GDP (2013) |
| Physicians density: | 2.33 physicians/1,000 population (2012) |
| Hospital bed density: | 3.5 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.06% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 400 (2013 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2013 est.) |
| Obesity - adult prevalence rate: | 24.5% (2014) |
| Education expenditures: | 7.2% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.1% |
| Literacy: | male: 99.5% |
| Literacy: | female: 98.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2012) |
| Unemployment, youth ages 15-24: | total: 27.8% |
| Unemployment, youth ages 15-24: | male: 28.8% |
| Unemployment, youth ages 15-24: | female: 26.6% (2012 est.) |
| People - note: | demographic data for Cyprus include the population in the government-controlled area and the area administered by Turkish Cypriots |
