| People and Society | Cyprus |
| --- | --- |
| Nationality: | noun: Cypriot(s) |
| Nationality: | adjective: Cypriot |
| Ethnic groups: | Greek 77%, Turkish 18%, other 5% (2001) |
| Languages: | Greek (official) 80.9%, Turkish (official) 0.2%, English 4.1%, Romanian 2.9%, Russian 2.5%, Bulgarian 2.2%, Arabic 1.2%, Filippino 1.1%, other 4.3%, unspecified 0.6% (2011 est.) |
| Religions: | Greek Orthodox 78%, Muslim 18%, other (includes Maronite and Armenian Apostolic) 4% |
| Population: | 1,172,458 (July 2014 est.) |
| Age structure: | 0-14 years: 15.7% (male 94,437/female 89,174) |
| Age structure: | 15-24 years: 15.3% (male 97,773/female 82,053) |
| Age structure: | 25-54 years: 46.9% (male 288,673/female 261,651) |
| Age structure: | 55-64 years: 10.8% (male 60,639/female 66,336) |
| Age structure: | 65 years and over: 11% (male 57,188/female 74,534) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 41.4 % |
| population pyramid: | youth dependency ratio: 23.7 % |
| population pyramid: | elderly dependency ratio: 17.7 % |
| population pyramid: | potential support ratio: 5.6 (2014 est.) |
| Median age: | total: 35.7 years |
| Median age: | male: 34.4 years |
| Median age: | female: 37.4 years (2014 est.) |
| Population growth rate: | 1.48% (2014 est.) |
| Birth rate: | 11.44 births/1,000 population (2014 est.) |
| Death rate: | 6.57 deaths/1,000 population (2014 est.) |
| Net migration rate: | 9.89 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 70.5% of total population (2011) |
| Urbanization: | rate of urbanization: 1.36% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NICOSIA (capital) 253,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.19 male(s)/female |
| Sex ratio: | 25-54 years: 1.1 male(s)/female |
| Sex ratio: | 55-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 28.5 |
| Mother's mean age at first birth: | note: data cover only government-controlled areas; data are based on events and not on fertility rates (2010 est.) |
| Maternal mortality rate: | 10 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 8.54 deaths/1,000 live births |
| Infant mortality rate: | male: 10.1 deaths/1,000 live births |
| Infant mortality rate: | female: 6.91 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 78.34 years |
| Life expectancy at birth: | male: 75.54 years |
| Life expectancy at birth: | female: 81.27 years (2014 est.) |
| Total fertility rate: | 1.46 children born/woman (2014 est.) |
| Health expenditures: | 7.4% of GDP (2011) |
| Physicians density: | 2.75 physicians/1,000 population (2010) |
| Hospital bed density: | 3.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 1,000 (2007 est.) |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 25.5% (2008) |
| Education expenditures: | 7.3% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.7% |
| Literacy: | male: 99.3% |
| Literacy: | female: 98.1% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2011) |
| Unemployment, youth ages 15-24: | total: 27.8% |
| Unemployment, youth ages 15-24: | male: 28.8% |
| Unemployment, youth ages 15-24: | female: 26.6% (2012) |
| People - note: | demographic data for Cyprus include the population in the government-controlled area and the area administered by Turkish Cypriots |
