| People and Society | CYPRUS |
| --- | --- |
| Population: | 1,221,549 (July 2017 est.) |
| Nationality: | noun: Cypriot(s) |
| Nationality: | adjective: Cypriot |
| Ethnic groups: | Greek 98.8%, other 1% (includes Maronite, Armenian, Turkish-Cypriot), unspecified 0.2% |
| Ethnic groups: | note: data represent only the government-controlled area of Cyprus (2011 est.) |
| Languages: | Greek (official) 80.9%, Turkish (official) 0.2%, English 4.1%, Romanian 2.9%, Russian 2.5%, Bulgarian 2.2%, Arabic 1.2%, Filipino 1.1%, other 4.3%, unspecified 0.6% |
| Languages: | note: data represent only the government-controlled area of Cyprus (2011 est.) |
| Religions: | Orthodox Christian 89.1%, Roman Catholic 2.9%, Protestant/Anglican 2%, Muslim 1.8%, Buddhist 1%, other (includes Maronite, Armenian Church, Hindu) 1.4%, unknown 1.1%, none/atheist 0.6% |
| Religions: | note: data represent only the government-controlled area of Cyprus (2011 est.) |
| Age structure: | 0-14 years: 15.6% (male 97,955/female 92,648) |
| Age structure: | 15-24 years: 13.81% (male 91,846/female 76,853) |
| Age structure: | 25-54 years: 47.04% (male 303,297/female 271,364) |
| Age structure: | 55-64 years: 11.45% (male 67,053/female 72,854) |
| Age structure: | 65 years and over: 12.09% (male 63,870/female 83,809) (2017 est.) |
| Dependency ratios: | total dependency ratio: 42.3 |
| Dependency ratios: | youth dependency ratio: 24 |
| Dependency ratios: | elderly dependency ratio: 18.3 |
| Dependency ratios: | potential support ratio: 5.5 |
| Dependency ratios: | note: data represent the whole country (2015 est.) |
| Median age: | total: 36.8 years |
| Median age: | male: 35.5 years |
| Median age: | female: 38.3 years (2017 est.) |
| Population growth rate: | 1.32% (2017 est.) |
| Birth rate: | 11.3 births/1,000 population (2017 est.) |
| Death rate: | 6.8 deaths/1,000 population (2017 est.) |
| Net migration rate: | 8.7 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population concentrated in central Nicosia and in the major cities of the south: Paphos, Limassol, and Larnaca |
| Urbanization: | urban population: 66.8% of total population (2017) |
| Urbanization: | rate of urbanization: 0.84% annual rate of change (2015-20 est.) |
| Major urban areas - population: | NICOSIA (capital) 251,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.19 male(s)/female |
| Sex ratio: | 25-54 years: 1.11 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 28.8 years |
| Mother's mean age at first birth: | note: data represent only government-controlled areas (2014 est.) |
| Maternal mortality rate: | 7 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 7.9 deaths/1,000 live births |
| Infant mortality rate: | male: 9.2 deaths/1,000 live births |
| Infant mortality rate: | female: 6.4 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 78.8 years |
| Life expectancy at birth: | male: 76 years |
| Life expectancy at birth: | female: 81.8 years (2017 est.) |
| Total fertility rate: | 1.47 children born/woman (2017 est.) |
| Health expenditures: | 7.4% of GDP (2014) |
| Physicians density: | 2.5 physicians/1,000 population (2014) |
| Hospital bed density: | 3.5 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 21.8% (2016) |
| Education expenditures: | 6.4% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.1% |
| Literacy: | male: 99.5% |
| Literacy: | female: 98.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2015) |
| Unemployment, youth ages 15-24: | total: 32.8% |
| Unemployment, youth ages 15-24: | male: 34.7% |
| Unemployment, youth ages 15-24: | female: 31.1% (2015 est.) |
| People - note: | demographic data for Cyprus represent the population of the government-controlled area and the area administered by Turkish Cypriots, unless otherwise indicated |
