| People and Society | Eritrea |
| --- | --- |
| Nationality: | noun: Eritrean(s) |
| Nationality: | adjective: Eritrean |
| Ethnic groups: | nine recognized ethnic groups: Tigrinya 55%, Tigre 30%, Saho 4%, Kunama 2%, Rashaida 2%, Bilen 2%, other (Afar, Beni Amir, Nera) 5% (2010 est.) |
| Languages: | Tigrinya (official), Arabic (official), English (official), Tigre, Kunama, Afar, other Cushitic languages |
| Religions: | Muslim, Coptic Christian, Roman Catholic, Protestant |
| Population: | 6,380,803 (July 2014 est.) |
| Age structure: | 0-14 years: 40.8% (male 1,307,550/female 1,293,867) |
| Age structure: | 15-24 years: 20.2% (male 644,878/female 646,518) |
| Age structure: | 25-54 years: 31.5% (male 996,856/female 1,014,798) |
| Age structure: | 55-64 years: 3.8% (male 101,549/female 138,016) |
| Age structure: | 65 years and over: 3.7% (male 102,525/female 134,246) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 83.3 % |
| population pyramid: | youth dependency ratio: 79.1 % |
| population pyramid: | elderly dependency ratio: 4.2 % |
| population pyramid: | potential support ratio: 23.7 (2014 est.) |
| Median age: | total: 19.1 years |
| Median age: | male: 18.8 years |
| Median age: | female: 19.5 years (2014 est.) |
| Population growth rate: | 2.3% (2014 est.) |
| Birth rate: | 30.69 births/1,000 population (2014 est.) |
| Death rate: | 7.65 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 21.3% of total population (2011) |
| Urbanization: | rate of urbanization: 5.01% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ASMARA (capital) 712,000 (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 20.6 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2002 est.) |
| Maternal mortality rate: | 240 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 38.44 deaths/1,000 live births |
| Infant mortality rate: | male: 43.61 deaths/1,000 live births |
| Infant mortality rate: | female: 33.12 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 63.51 years |
| Life expectancy at birth: | male: 61.36 years |
| Life expectancy at birth: | female: 65.72 years (2014 est.) |
| Total fertility rate: | 4.14 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 8% (2002) |
| Health expenditures: | 2.6% of GDP (2011) |
| Physicians density: | 0.05 physicians/1,000 population (2004) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 73.7% of population |
| Drinking water source: | rural: 56.7% of population |
| Drinking water source: | total: 60.2% of population |
| unimproved: | urban: 26.3% of population |
| unimproved: | rural: 43.3% of population |
| unimproved: | total: 39.8% of population (2008 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 51.6% of population |
| Sanitation facility access: | rural: 3.5% of population |
| Sanitation facility access: | total: 13.2% of population |
| unimproved: | urban: 48.4% of population |
| unimproved: | rural: 96.5% of population |
| unimproved: | total: 86.8% of population (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 0.7% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 17,800 (2012 est.) |
| HIV/AIDS - deaths: | 1,200 (2012 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever (2013) |
| Obesity - adult prevalence rate: | 1.5% (2008) |
| Children under the age of 5 years underweight: | 34.5% (2002) |
| Education expenditures: | 2.1% of GDP (2006) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 68.9% |
| Literacy: | male: 79.5% |
| Literacy: | female: 59% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 4 years |
| School life expectancy (primary to tertiary education): | male: 5 years |
| School life expectancy (primary to tertiary education): | female: 4 years (2010) |
