| People and Society | ERITREA |
| --- | --- |
| Nationality: | noun: Eritrean(s) |
| Nationality: | adjective: Eritrean |
| Ethnic groups: | nine recognized ethnic groups: Tigrinya 55%, Tigre 30%, Saho 4%, Kunama 2%, Rashaida 2%, Bilen 2%, other (Afar, Beni Amir, Nera) 5% (2010 est.) |
| Languages: | Tigrinya (official), Arabic (official), English (official), Tigre, Kunama, Afar, other Cushitic languages |
| Religions: | Muslim, Coptic Christian, Roman Catholic, Protestant |
| Population: | 6,527,689 (July 2015 est.) |
| Age structure: | 0-14 years: 40.25% (male 1,320,752/female 1,306,357) |
| Age structure: | 15-24 years: 20.43% (male 665,900/female 667,509) |
| Age structure: | 25-54 years: 31.86% (male 1,031,391/female 1,048,303) |
| Age structure: | 55-64 years: 3.73% (male 104,004/female 139,637) |
| Age structure: | 65 years and over: 3.74% (male 104,513/female 139,323) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 83.2% |
| population pyramid: | youth dependency ratio: 78.4% |
| population pyramid: | elderly dependency ratio: 4.8% |
| population pyramid: | potential support ratio: 20.7% (2015 est.) |
| Median age: | total: 19.3 years |
| Median age: | male: 19 years |
| Median age: | female: 19.7 years (2015 est.) |
| Population growth rate: | 2.25% (2015 est.) |
| Birth rate: | 30 births/1,000 population (2015 est.) |
| Death rate: | 7.52 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 22.6% of total population (2015) |
| Urbanization: | rate of urbanization: 5.11% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ASMARA (capital) 804,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.75 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2015 est.) |
| Maternal mortality rate: | 501 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 37.53 deaths/1,000 live births |
| Infant mortality rate: | male: 42.59 deaths/1,000 live births |
| Infant mortality rate: | female: 32.31 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 63.81 years |
| Life expectancy at birth: | male: 61.65 years |
| Life expectancy at birth: | female: 66.03 years (2015 est.) |
| Total fertility rate: | 4.02 children born/woman (2015 est.) |
| Health expenditures: | 3% of GDP (2013) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 73.2% of population |
| Drinking water source: | rural: 53.3% of population |
| Drinking water source: | total: 57.8% of population |
| unimproved: | urban: 26.8% of population |
| unimproved: | rural: 46.7% of population |
| unimproved: | total: 42.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 44.5% of population |
| Sanitation facility access: | rural: 7.3% of population |
| Sanitation facility access: | total: 15.7% of population |
| unimproved: | urban: 55.5% of population |
| unimproved: | rural: 92.7% of population |
| unimproved: | total: 84.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.68% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 16,100 (2014 est.) |
| HIV/AIDS - deaths: | 700 (2014 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever (2013) |
| Obesity - adult prevalence rate: | 3.4% (2014) |
| Children under the age of 5 years underweight: | 38.8% (2010) |
| Education expenditures: | 2.1% of GDP (2006) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 73.8% |
| Literacy: | male: 82.4% |
| Literacy: | female: 65.5% (2015 est.) |
