| People and Society | Eritrea |
| --- | --- |
| Population: | 6,081,196 (July 2020 est.) |
| Nationality: | noun: Eritrean(s) |
| Nationality: | adjective: Eritrean |
| Ethnic groups: | Tigrinya 55%, Tigre 30%, Saho 4%, Kunama 2%, Rashaida 2%, Bilen 2%, other (Afar, Beni Amir, Nera) 5% (2010 est.) |
| Ethnic groups: | note: data represent Eritrea's nine recognized ethnic groups |
| Languages: | Tigrinya (official), Arabic (official), English (official), Tigre, Kunama, Afar, other Cushitic languages |
| Religions: | Sunni Muslim, Coptic Christian, Roman Catholic, Protestant |
| Demographic profile: | Eritrea is a persistently poor country that has made progress in some socioeconomic categories but not in others. Education and human capital formation are national priorities for facilitating economic development and eradicating poverty. To this end, Eritrea has made great strides in improving adult literacy â€“ doubling the literacy rate over the last 20 years â€“ in large part because of its successful adult education programs. The overall literacy rate was estimated to be almost 74% in 2015; more work needs to be done to raise female literacy and school attendance among nomadic and rural communities. Subsistence farming fails to meet the needs of Eritreaâ€™s growing population because of repeated droughts, dwindling arable land, overgrazing, soil erosion, and a shortage of farmers due to conscription and displacement. The governmentâ€™s emphasis on spending on defense over agriculture and its lack of foreign exchange to import food also contribute to food insecurity. |
| Demographic profile: | Eritrea has been a leading refugee source country since at least the 1960s, when its 30-year war for independence from Ethiopia began. Since gaining independence in 1993, Eritreans have continued migrating to Sudan, Ethiopia, Yemen, Egypt, or Israel because of a lack of basic human rights or political freedom, educational and job opportunities, or to seek asylum because of militarization. Eritreaâ€™s large diaspora has been a source of vital remittances, funding its war for independence and providing 30% of the countryâ€™s GDP annually since it became independent. |
| Demographic profile: | In the last few years, Eritreans have increasingly been trafficked and held hostage by Bedouins in the Sinai Desert, where they are victims of organ harvesting, rape, extortion, and torture. Some Eritrean trafficking victims are kidnapped after being smuggled to Sudan or Ethiopia, while others are kidnapped from within or around refugee camps or crossing Eritreaâ€™s borders. Eritreans composed approximately 90% of the conservatively estimated 25,000-30,000 victims of Sinai trafficking from 2009-2013, according to a 2013 consultancy firm report. |
| Age structure: | 0-14 years: 38.23% (male 1,169,456/female 1,155,460) |
| Age structure: | 15-24 years: 20.56% (male 622,172/female 627,858) |
| Age structure: | 25-54 years: 33.42% (male 997,693/female 1,034,550) |
| Age structure: | 55-64 years: 3.8% (male 105,092/female 125,735) |
| Age structure: | 65 years and over: 4% (male 99,231/female 143,949) (2020 est.) |
