| People and Society | COSTA RICA |
| --- | --- |
| Population: | 4,872,543 (July 2016 est.) |
| Nationality: | noun: Costa Rican(s) |
| Nationality: | adjective: Costa Rican |
| Ethnic groups: | white or mestizo 83.6%, mulato 6.7%, indigenous 2.4%, black of African descent 1.1%, other 1.1%, none 2.9%, unspecified 2.2% (2011 est.) |
| Languages: | Spanish (official), English |
| Religions: | Roman Catholic 76.3%, Evangelical 13.7%, Jehovah's Witness 1.3%, other Protestant 0.7%, other 4.8%, none 3.2% |
| Demographic profile: | Costa Rica's political stability, high standard of living, and well-developed social benefits system set it apart from its Central American neighbors. Through the government's sustained social spending - almost 20% of GDP annually - Costa Rica has made tremendous progress toward achieving its goal of providing universal access to education, healthcare, clean water, sanitation, and electricity. Since the 1970s, expansion of these services has led to a rapid decline in infant mortality, an increase in life expectancy at birth, and a sharp decrease in the birth rate. The average number of children born per women has fallen from about 7 in the 1960s to 3.5 in the early 1980s to below replacement level today. Costa Rica's poverty rate is lower than in most Latin American countries, but it has stalled at around 20% for almost two decades. |
| Demographic profile: | Costa Rica is a popular regional immigration destination because of its job opportunities and social programs. Almost 9% of the population is foreign-born, with Nicaraguans comprising nearly three-quarters of the foreign population. Many Nicaraguans who perform unskilled seasonal labor enter Costa Rica illegally or overstay their visas, which continues to be a source of tension. Less than 3% of Costa Rica's population lives abroad. The overwhelming majority of expatriates have settled in the United States after completing a university degree or in order to work in a highly skilled field. |
| Age structure: | 0-14 years: 22.82% (male 568,738/female 543,312) |
| Age structure: | 15-24 years: 16.75% (male 416,046/female 399,931) |
| Age structure: | 25-54 years: 43.99% (male 1,078,000/female 1,065,327) |
| Age structure: | 55-64 years: 8.9% (male 211,670/female 222,183) |
| Age structure: | 65 years and over: 7.54% (male 169,646/female 197,690) (2016 est.) |
| Dependency ratios: | total dependency ratio: 45.4% |
| Dependency ratios: | youth dependency ratio: 32.4% |
| Dependency ratios: | elderly dependency ratio: 12.9% |
| Dependency ratios: | potential support ratio: 7.7% (2015 est.) |
| Median age: | total: 30.9 years |
| Median age: | male: 30.4 years |
| Median age: | female: 31.3 years (2016 est.) |
| Population growth rate: | 1.19% (2016 est.) |
| Birth rate: | 15.7 births/1,000 population (2016 est.) |
| Death rate: | 4.6 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0.8 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | roughly half of the nation's population resides in urban areas; the capital of San Jose is the largest city and home to approximately one-fifth of the population |
| Urbanization: | urban population: 76.8% of total population (2015) |
| Urbanization: | rate of urbanization: 2.74% annual rate of change (2010-15 est.) |
| Major urban areas - population: | SAN JOSE (capital) 1.17 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Maternal mortality rate: | 25 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 8.3 deaths/1,000 live births |
| Infant mortality rate: | male: 9 deaths/1,000 live births |
| Infant mortality rate: | female: 7.4 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 78.6 years |
| Life expectancy at birth: | male: 75.9 years |
| Life expectancy at birth: | female: 81.4 years (2016 est.) |
| Total fertility rate: | 1.9 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 76.2% (2011) |
| Health expenditures: | 9.3% of GDP (2014) |
| Physicians density: | 1.11 physicians/1,000 population (2013) |
| Hospital bed density: | 1.2 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.6% of population |
| Drinking water source: | rural: 91.9% of population |
| Drinking water source: | total: 97.8% of population |
| unimproved: | urban: 0.4% of population |
| unimproved: | rural: 8.1% of population |
| unimproved: | total: 2.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95.2% of population |
| Sanitation facility access: | rural: 92.3% of population |
| Sanitation facility access: | total: 94.5% of population |
| unimproved: | urban: 4.8% of population |
| unimproved: | rural: 7.7% of population |
| unimproved: | total: 5.5% of population (2015 est.) |
