| People and Society | Costa Rica |
| --- | --- |
| Population: | 4,987,142 (July 2018 est.) |
| Nationality: | noun: Costa Rican(s) |
| Nationality: | adjective: Costa Rican |
| Ethnic groups: | white or mestizo 83.6%, mulatto 6.7%, indigenous 2.4%, black of African descent 1.1%, other 1.1%, none 2.9%, unspecified 2.2% (2011 est.) |
| Languages: | Spanish (official), English |
| Religions: | Roman Catholic 71.8%, Evangelical and Pentecostal 12.3%, other Protestant 2.6%, Jehovah's Witness 0.5%, other 2.4%, none 10.4% (2016 est.) |
| Demographic profile: | Costa Rica's political stability, high standard of living, and well-developed social benefits system set it apart from its Central American neighbors. Through the government's sustained social spending - almost 20% of GDP annually - Costa Rica has made tremendous progress toward achieving its goal of providing universal access to education, healthcare, clean water, sanitation, and electricity. Since the 1970s, expansion of these services has led to a rapid decline in infant mortality, an increase in life expectancy at birth, and a sharp decrease in the birth rate. The average number of children born per women has fallen from about 7 in the 1960s to 3.5 in the early 1980s to below replacement level today. Costa Rica's poverty rate is lower than in most Latin American countries, but it has stalled at around 20% for almost two decades. |
| Demographic profile: | Costa Rica is a popular regional immigration destination because of its job opportunities and social programs. Almost 9% of the population is foreign-born, with Nicaraguans comprising nearly three-quarters of the foreign population. Many Nicaraguans who perform unskilled seasonal labor enter Costa Rica illegally or overstay their visas, which continues to be a source of tension. Less than 3% of Costa Rica's population lives abroad. The overwhelming majority of expatriates have settled in the United States after completing a university degree or in order to work in a highly skilled field. |
| Age structure: | 0-14 years: 22.43% (male 572,172 /female 546,464) |
| Age structure: | 15-24 years: 15.94% (male 405,515 /female 389,433) |
| Age structure: | 25-54 years: 44.04% (male 1,105,944 /female 1,090,434) |
| Age structure: | 55-64 years: 9.48% (male 229,928 /female 242,696) |
| Age structure: | 65 years and over: 8.11% (male 186,531 /female 218,025) (2018 est.) |
| Dependency ratios: | total dependency ratio: 45.4 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 32.4 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 12.9 (2015 est.) |
| Dependency ratios: | potential support ratio: 7.7 (2015 est.) |
| Median age: | total: 31.7 years (2018 est.) |
| Median age: | male: 31.2 years |
| Median age: | female: 32.2 years |
| Population growth rate: | 1.13% (2018 est.) |
| Birth rate: | 15.3 births/1,000 population (2018 est.) |
| Death rate: | 4.8 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0.8 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | roughly half of the nation's population resides in urban areas; the capital of San Jose is the largest city and home to approximately one-fifth of the population |
| Urbanization: | urban population: 80.1% of total population (2019) |
| Urbanization: | rate of urbanization: 1.5% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.379 million SAN JOSE (capital) (2019) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2018 est.) |
| Maternal mortality rate: | 27 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 7.8 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 8.6 deaths/1,000 live births |
| Infant mortality rate: | female: 7.1 deaths/1,000 live births |
| Life expectancy at birth: | total population: 78.9 years (2018 est.) |
| Life expectancy at birth: | male: 76.2 years |
| Life expectancy at birth: | female: 81.7 years |
| Total fertility rate: | 1.89 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 77.8% (2015) |
| Drinking water source: | improved: urban: 99.6% of population |
| Drinking water source: | rural: 91.9% of population |
| Drinking water source: | total: 97.8% of population |
| Drinking water source: | unimproved: urban: 0.4% of population |
| Drinking water source: | rural: 8.1% of population |
| Drinking water source: | total: 2.2% of population (2015 est.) |
| Current Health Expenditure: | 7.6% (2016) |
| Physicians density: | 1.15 physicians/1,000 population (2013) |
| Hospital bed density: | 1.1 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 95.2% of population (2015 est.) |
| Sanitation facility access: | rural: 92.3% of population (2015 est.) |
| Sanitation facility access: | total: 94.5% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 4.8% of population (2015 est.) |
| Sanitation facility access: | rural: 7.7% of population (2015 est.) |
| Sanitation facility access: | total: 5.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 15,000 (2018 est.) |
| HIV/AIDS - deaths: | <500 (2018 est.) |
| Major infectious diseases: | degree of risk: intermediate (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever (2016) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 25.7% (2016) |
| Children under the age of 5 years underweight: | Education expenditures: |
| Children under the age of 5 years underweight: | 7.4% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.8% |
| Literacy: | male: 97.7% |
| Literacy: | female: 97.8% (2015) |
| School life expectancy (primary to tertiary education): | total: 15 years |
