| People and Society | New Caledonia |
| --- | --- |
| Population: | 282,754 (July 2018 est.) |
| Nationality: | noun: New Caledonian(s) |
| Nationality: | adjective: New Caledonian |
| Ethnic groups: | Kanak 39.1%, European 27.1%, Wallisian, Futunian 8.2%, Tahitian 2.1%, Indonesian 1.4%, Ni-Vanuatu 1%, Vietnamese 0.9%, other 17.7%, unspecified 2.5% (2014 est.) |
| Languages: | French (official), 33 Melanesian-Polynesian dialects |
| Religions: | Roman Catholic 60%, Protestant 30%, other 10% |
| Age structure: | 0-14 years: 22.19% (male 32,057 /female 30,675) |
| Age structure: | 15-24 years: 16.16% (male 23,355 /female 22,349) |
| Age structure: | 25-54 years: 43.66% (male 62,227 /female 61,215) |
| Age structure: | 55-64 years: 8.57% (male 11,713 /female 12,530) |
| Age structure: | 65 years and over: 9.42% (male 11,790 /female 14,843) (2018 est.) |
| Dependency ratios: | total dependency ratio: 48.3 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 33.9 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 14.4 (2015 est.) |
| Dependency ratios: | potential support ratio: 6.9 (2015 est.) |
| Median age: | total: 32.3 years (2018 est.) |
| Median age: | male: 31.5 years |
| Median age: | female: 33 years |
| Population growth rate: | 1.3% (2018 est.) |
| Birth rate: | 14.8 births/1,000 population (2018 est.) |
| Death rate: | 5.7 deaths/1,000 population (2018 est.) |
| Net migration rate: | 3.9 migrant(s)/1,000 population (2018 est.) |
| Net migration rate: | note: there has been steady emigration from Wallis and Futuna to New Caledonia |
| Population distribution: | most of the populace lives in the southern part of the main island, in and around the capital of Noumea |
| Urbanization: | urban population: 71.1% of total population (2019) |
| Urbanization: | rate of urbanization: 1.89% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 198,000 NOUMEA (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2018 est.) |
| Infant mortality rate: | total: 5.2 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 6.1 deaths/1,000 live births |
| Infant mortality rate: | female: 4.2 deaths/1,000 live births |
| Life expectancy at birth: | total population: 78 years (2018 est.) |
| Life expectancy at birth: | male: 74.1 years |
| Life expectancy at birth: | female: 82.2 years |
| Total fertility rate: | 1.92 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 98.5% of population |
| Drinking water source: | rural: 98.5% of population |
| Drinking water source: | total: 98.5% of population |
| Drinking water source: | unimproved: urban: 1.5% of population |
| Drinking water source: | rural: 1.5% of population |
| Drinking water source: | total: 1.5% of population (2015 est.) |
| Physicians density: | 2.22 physicians/1,000 population (2009) |
| Sanitation facility access: | improved: urban: 100% of population (2015 est.) |
| Sanitation facility access: | rural: 100% of population (2015 est.) |
| Sanitation facility access: | total: 100% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0% of population (2015 est.) |
| Sanitation facility access: | rural: 0% of population (2015 est.) |
| Sanitation facility access: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.9% |
| Literacy: | male: 97.3% |
| Literacy: | female: 96.5% (2015) |
| Unemployment, youth ages 15-24: | total: 38.4% |
| Unemployment, youth ages 15-24: | male: 37.1% |
| Unemployment, youth ages 15-24: | female: 40% (2014 est.) |
