| People and Society | Colombia |
| --- | --- |
| Population: | 48,168,996 (July 2018 est.) |
| Nationality: | noun: Colombian(s) |
| Nationality: | adjective: Colombian |
| Ethnic groups: | mestizo and white 84.2%, Afro-Colombian (includes mulatto, Raizal, and Palenquero) 10.4%, Amerindian 3.4%, Romani (2005 est.) |
| Languages: | Spanish (official) |
| Religions: | Roman Catholic 79%, Protestant 14% (includes Pentecostal 6%, mainline Protestant 2%, other 6%), other 2%, unspecified 5% (2014 est.) |
| Demographic profile: | Colombia is in the midst of a demographic transition resulting from steady declines in its fertility, mortality, and population growth rates. The birth rate has fallen from more than 6 children per woman in the 1960s to just above replacement level today as a result of increased literacy, family planning services, and urbanization. However, income inequality is among the worst in the world, and more than a third of the population lives below the poverty line. |
| Demographic profile: | Colombia experiences significant legal and illegal economic emigration and refugee outflows. Large-scale labor emigration dates to the 1960s; the United States and, until recently, Venezuela have been the main host countries. Emigration to Spain picked up in the 1990s because of its economic growth, but this flow has since diminished because of Spainâ€™s ailing economy and high unemployment. Colombia has been the largest source of Latin American refugees in Latin America, nearly 400,000 of whom live primarily in Venezuela and Ecuador. Venezuelaâ€™s political and economic crisis since 2015, however, has created a reverse flow, consisting largely of Colombians returning home. |
| Demographic profile: | Forced displacement continues to be prevalent because of violence among guerrillas, paramilitary groups, and Colombian security forces. Afro-Colombian and indigenous populations are disproportionately affected. Even with the Colombian Governmentâ€™s December 2016 peace agreement with the Revolutionary Armed Forces of Colombia (FARC), the risk of displacement remains as other rebel groups fill the void left by the FARC. Between 1985 and September 2017, nearly 7.6 million persons have been internally displaced, the highest total in the world. These estimates may undercount actual numbers because many internally displaced persons are not registered. Historically, Colombia also has one of the worldâ€™s highest levels of forced disappearances. About 30,000 cases have been recorded over the last four decadesâ€”although the number is likely to be much higherâ€”including human rights activists, trade unionists, Afro-Colombians, indigenous people, and farmers in rural conflict zones. |
| Demographic profile: | Because of political violence and economic problems, Colombia received limited numbers of immigrants during the 19th and 20th centuries, mostly from the Middle East, Europe, and Japan. More recently, growth in the oil, mining, and manufacturing sectors has attracted increased labor migration; the primary source countries are Venezuela, the US, Mexico, and Argentina. Colombia has also become a transit area for illegal migrants from Africa, Asia, and the Caribbean -- especially Haiti and Cuba -- who are en route to the US or Canada. |
| Age structure: | 0-14 years: 23.89% (male 5,895,637 /female 5,611,298) |
| Age structure: | 15-24 years: 16.96% (male 4,161,661 /female 4,006,875) |
| Age structure: | 25-54 years: 41.98% (male 10,043,080 /female 10,177,042) |
| Age structure: | 55-64 years: 9.44% (male 2,145,031 /female 2,404,090) |
| Age structure: | 65 years and over: 7.73% (male 1,555,848 /female 2,168,434) (2018 est.) |
| Dependency ratios: | total dependency ratio: 45.6 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 35.4 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 10.2 (2015 est.) |
| Dependency ratios: | potential support ratio: 9.8 (2015 est.) |
| Median age: | total: 30.4 years |
| Median age: | male: 29.4 years |
| Median age: | female: 31.4 years (2018 est.) |
| Population growth rate: | 0.97% (2018 est.) |
| Birth rate: | 15.8 births/1,000 population (2018 est.) |
| Death rate: | 5.5 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.6 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the majority of people live in the north and west where agricultural opportunities and natural resources are found; the vast grasslands of the llanos to the south and east, which make up approximately 60% of the country, are sparsely populated |
| Urbanization: | urban population: 80.8% of total population (2018) |
| Urbanization: | rate of urbanization: 1.22% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 10.574 million BOGOTA (capital), 3.934 million Medellin, 2.726 million Cali, 2.218 million Barranquilla, 1.295 million Bucaramanga, 1.047 million Cartagena (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.98 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.88 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.72 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.98 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 21.7 years (2015 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 64 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 13.2 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 16 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 10.2 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 76.2 years (2018 est.) |
| Life expectancy at birth: | male: 73 years (2018 est.) |
| Life expectancy at birth: | female: 79.5 years (2018 est.) |
| Total fertility rate: | 1.98 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 81% (2015/16) |
| Health expenditures: | 7.2% of GDP (2014) |
| Physicians density: | 1.82 physicians/1,000 population (2014) |
| Hospital bed density: | 1.5 beds/1,000 population (2014) |
| Drinking water source: | improved: urban: 96.8% of population |
| Drinking water source: | rural: 73.8% of population |
| Drinking water source: | total: 91.4% of population |
| Drinking water source: | unimproved: urban: 3.2% of population |
| Drinking water source: | rural: 26.2% of population |
| Drinking water source: | total: 8.6% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 85.2% of population (2015 est.) |
| Sanitation facility access: | rural: 67.9% of population (2015 est.) |
| Sanitation facility access: | total: 81.1% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 14.8% of population (2015 est.) |
| Sanitation facility access: | rural: 32.1% of population (2015 est.) |
| Sanitation facility access: | total: 18.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.5% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 150,000 (2017 est.) |
| HIV/AIDS - deaths: | 4,400 (2017 est.) |
| Major infectious diseases: | degree of risk: high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and yellow fever (2016) |
