| People and Society | Antigua and Barbuda |
| --- | --- |
| Nationality: | noun: Antiguan(s), Barbudan(s) |
| Nationality: | adjective: Antiguan, Barbudan |
| Ethnic groups: | black 91%, mixed 4.4%, white 1.7%, other 2.9% (2001 census) |
| Languages: | English (official), local dialects |
| Religions: | Protestant 76.4% (Anglican 25.7%, Seventh-Day Adventist 12.3%, Pentecostal 10.6%, Moravian 10.5%, Methodist 7.9%, Baptist 4.9%, Church of God 4.5%), Roman Catholic 10.4%, other Christian 5.4%, other 2%, none or unspecified 5.8% (2001 census) |
| Population: | 87,884 (July 2011 est.) |
| Age structure: | 0-14 years: 25.8% (male 11,530/female 11,174) |
| Age structure: | 15-64 years: 67.4% (male 27,599/female 31,592) |
| Age structure: | 65 years and over: 6.8% (male 2,592/female 3,397) (2011 est.) |
| Median age: | total: 30.3 years |
| Median age: | male: 28.7 years |
| Median age: | female: 31.7 years (2011 est.) |
| Population growth rate: | 1.289% (2011 est.) |
| Birth rate: | 16.31 births/1,000 population (2011 est.) |
| Death rate: | 5.73 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 2.32 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 30% of total population (2010) |
| Urbanization: | rate of urbanization: 1.4% annual rate of change (2010-15 est.) |
| Major cities - population: | SAINT JOHN'S (capital) 27,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.03 male(s)/female |
| Sex ratio: | 15-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.9 male(s)/female (2011 est.) |
| Infant mortality rate: | total: 14.63 deaths/1,000 live births |
| Infant mortality rate: | male: 16.85 deaths/1,000 live births |
| Infant mortality rate: | female: 12.29 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 75.48 years |
| Life expectancy at birth: | male: 73.47 years |
| Life expectancy at birth: | female: 77.59 years (2011 est.) |
| Total fertility rate: | 2.05 children born/woman (2011 est.) |
| Health expenditures: | 5.1% of GDP (2009) |
| Physicians density: | 0.17 physicians/1,000 population (1999) |
| Hospital bed density: | 2.2 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95% of population |
| Drinking water source: | rural: 89% of population |
| Drinking water source: | total: 91% of population |
| unimproved: | urban: 5% of population |
| unimproved: | rural: 11% of population |
| unimproved: | total: 9% of population (2000) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98% of population |
| Sanitation facility access: | rural: 94% of population |
| Sanitation facility access: | total: 95% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 6% of population |
| unimproved: | total: 5% of population (2000) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 2.7% of GDP (2009) |
| Literacy: | definition: age 15 and over has completed five or more years of schooling |
| Literacy: | total population: 85.8% |
| Literacy: | male: NA |
| Literacy: | female: NA (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2009) |
| Unemployment, youth ages 15-24: | total: 19.9% |
| Unemployment, youth ages 15-24: | male: 18.4% |
| Unemployment, youth ages 15-24: | female: 21.6% (2001) |
