| People and Society | Algeria |
| --- | --- |
| Population: | 41,657,488 (July 2018 est.) |
| Nationality: | noun: Algerian(s) |
| Nationality: | adjective: Algerian |
| Ethnic groups: | Arab-Berber 99%, European less than 1% |
| Ethnic groups: | note: although almost all Algerians are Berber in origin (not Arab), only a minority identify themselves as primarily Berber, about 15% of the total population; these people live mostly in the mountainous region of Kabylie east of Algiers and several other communities; the Berbers are also Muslim but identify with their Berber rather than Arab cultural heritage; Berbers have long agitated, sometimes violently, for autonomy; the government is unlikely to grant autonomy but has officially recognized Berber languages and introduced them into public schools |
| Languages: | Arabic (official), French (lingua franca), Berber or Tamazight (official); dialects include Kabyle Berber (Taqbaylit), Shawiya Berber (Tacawit), Mzab Berber, Tuareg Berber (Tamahaq) |
| Religions: | Muslim (official; predominantly Sunni) 99%, other (includes Christian and Jewish) <1% (2012 est.) |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Demographic profile: | For the first two thirds of the 20th century, Algeria's high fertility rate caused its population to grow rapidly. However, about a decade after independence from France in 1962, the total fertility rate fell dramatically from 7 children per woman in the 1970s to about 2.4 in 2000, slowing Algeria's population growth rate by the late 1980s. The lower fertility rate was mainly the result of women's rising age at first marriage (virtually all Algerian children being born in wedlock) and to a lesser extent the wider use of contraceptives. Later marriages and a preference for smaller families are attributed to increases in women's education and participation in the labor market; higher unemployment; and a shortage of housing forcing multiple generations to live together. The average woman's age at first marriage increased from about 19 in the mid-1950s to 24 in the mid-1970s to 30.5 in the late 1990s. |
| Demographic profile: | Algeria's fertility rate experienced an unexpected upturn in the early 2000s, as the average woman's age at first marriage dropped slightly. The reversal in fertility could represent a temporary fluctuation in marriage age or, less likely, a decrease in the steady rate of contraceptive use. |
| Demographic profile: | Thousands of Algerian peasants - mainly Berber men from the Kabylia region - faced with land dispossession and economic hardship under French rule migrated temporarily to France to work in manufacturing and mining during the first half of the 20th century. This movement accelerated during World War I, when Algerians filled in for French factory workers or served as soldiers. In the years following independence, low-skilled Algerian workers and Algerians who had supported the French (known as Harkis) emigrated en masse to France. Tighter French immigration rules and Algiers' decision to cease managing labor migration to France in the 1970s limited legal emigration largely to family reunification. |
| Demographic profile: | Not until Algeria's civil war in the 1990s did the country again experience substantial outmigration. Many Algerians legally entered Tunisia without visas claiming to be tourists and then stayed as workers. Other Algerians headed to Europe seeking asylum, although France imposed restrictions. Sub-Saharan African migrants came to Algeria after its civil war to work in agriculture and mining. In the 2000s, a wave of educated Algerians went abroad seeking skilled jobs in a wider range of destinations, increasing their presence in North America and Spain. At the same time, legal foreign workers principally from China and Egypt came to work in Algeria's construction and oil sectors. Illegal migrants from sub-Saharan Africa, particularly Malians, Nigeriens, and Gambians, continue to come to Algeria in search of work or to use it as a stepping stone to Libya and Europe. |
| Demographic profile: | Since 1975, Algeria also has been the main recipient of Sahrawi refugees from the ongoing conflict in Western Sahara. More than 1000,000 Sahrawis are estimated to be living in five refugee camps in southwestern Algeria near Tindouf. |
| Age structure: | 0-14 years: 29.49% (male 6,290,619 /female 5,993,733) |
| Age structure: | 15-24 years: 14.72% (male 3,137,975 /female 2,994,056) |
| Age structure: | 25-54 years: 42.97% (male 9,067,597 /female 8,833,238) |
| Age structure: | 55-64 years: 7.01% (male 1,472,527 /female 1,446,083) |
| Age structure: | 65 years and over: 5.81% (male 1,133,852 /female 1,287,808) (2018 est.) |
| Dependency ratios: | total dependency ratio: 52.7 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 43.8 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 9 (2015 est.) |
