| People and Society | Macedonia |
| --- | --- |
| Nationality: | noun: Macedonian(s) |
| Nationality: | adjective: Macedonian |
| Ethnic groups: | Macedonian 64.2%, Albanian 25.2%, Turkish 3.9%, Roma (Gypsy) 2.7%, Serb 1.8%, other 2.2% (2002 census) |
| Languages: | Macedonian (official) 66.5%, Albanian (official) 25.1%, Turkish 3.5%, Roma 1.9%, Serbian 1.2%, other 1.8% (2002 census) |
| Religions: | Macedonian Orthodox 64.7%, Muslim 33.3%, other Christian 0.37%, other and unspecified 1.63% (2002 census) |
| Population: | 2,087,171 (July 2013 est.) |
| Age structure: | 0-14 years: 17.9% (male 193,507/female 180,157) |
| Age structure: | 15-24 years: 14.3% (male 154,084/female 144,908) |
| Age structure: | 25-54 years: 43.8% (male 463,282/female 450,261) |
| Age structure: | 55-64 years: 11.9% (male 121,097/female 127,742) |
| Age structure: | 65 years and over: 12.1% (male 108,324/female 143,809) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 40.9 % |
| population pyramid: | youth dependency ratio: 23.5 % |
| population pyramid: | elderly dependency ratio: 17.4 % |
| population pyramid: | potential support ratio: 5.7 (2013) |
| Median age: | total: 36.5 years |
| Median age: | male: 35.4 years |
| Median age: | female: 37.6 years (2013 est.) |
| Population growth rate: | 0.22% (2013 est.) |
| Birth rate: | 11.72 births/1,000 population (2013 est.) |
| Death rate: | 9 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.48 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 59% of total population (2010) |
| Urbanization: | rate of urbanization: 0.3% annual rate of change (2010-15 est.) |
| Major urban areas - population: | SKOPJE (capital) 480,000 (2009) |
| Sex ratio: | at birth: 1.08 male(s)/female |
| Sex ratio: | 0-14 years: 1.08 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 26 (2010 est.) |
| Maternal mortality rate: | 10 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 8.11 deaths/1,000 live births |
| Infant mortality rate: | male: 8.35 deaths/1,000 live births |
| Infant mortality rate: | female: 7.85 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 75.58 years |
| Life expectancy at birth: | male: 73.03 years |
| Life expectancy at birth: | female: 78.33 years (2013 est.) |
| Total fertility rate: | 1.59 children born/woman (2013 est.) |
| Health expenditures: | 6.6% of GDP (2011) |
| Physicians density: | 2.62 physicians/1,000 population (2009) |
| Hospital bed density: | 4.6 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 0% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 92% of population |
| Sanitation facility access: | rural: 82% of population |
| Sanitation facility access: | total: 88% of population |
| unimproved: | urban: 8% of population |
| unimproved: | rural: 18% of population |
| unimproved: | total: 12% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 200 (2007 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2003 est.) |
| Obesity - adult prevalence rate: | 21.1% (2008) |
| Children under the age of 5 years underweight: | 1.8% (2005) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.4% |
| Literacy: | male: 98.7% |
| Literacy: | female: 96% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2010) |
| Child labor - children ages 5-14: | total number: 16,782 |
| Child labor - children ages 5-14: | percentage: 6 % (2005 est.) |
| Unemployment, youth ages 15-24: | total: 55.3% |
| Unemployment, youth ages 15-24: | male: 55.7% |
| Unemployment, youth ages 15-24: | female: 54.8% (2011) |
