| People and Society | New Zealand |
| --- | --- |
| Nationality: | noun: New Zealander(s) |
| Nationality: | adjective: New Zealand |
| Ethnic groups: | European 56.8%, Asian 8%, Maori 7.4%, Pacific islander 4.6%, mixed 9.7%, other 13.5% (2006 Census) |
| Languages: | English (official) 91.2%, Maori (official) 3.9%, Samoan 2.1%, French 1.3%, Hindi 1.1%, Yue 1.1%, Northern Chinese 1%, other 12.9%, New Zealand Sign Language (official) |
| Languages: | note: shares sum to 114.6% due to multiple responses on census (2006 Census) |
| Religions: | Protestant 38.6% (Anglican 13.8%, Presbyterian, Congregational, and Reformed 10%, Christian (no denomination specified) 4.6%, Methodist 3%, Pentecostal 2%, Baptist 1.4%, other Christian 3.8%), Roman Catholic 12.6%, Maori Christian 1.6%, Hindu 1.6%, Buddhist 1.3%, other religions 2.2%, none 32.2%, other or unidentified 9.9% (2006 Census) |
| Population: | 4,365,113 (July 2013 est.) |
| Age structure: | 0-14 years: 20.1% (male 449,850/female 427,934) |
| Age structure: | 15-24 years: 14.1% (male 314,262/female 299,693) |
| Age structure: | 25-54 years: 40.6% (male 887,060/female 885,421) |
| Age structure: | 55-64 years: 11.3% (male 240,854/female 250,635) |
| Age structure: | 65 years and over: 14% (male 280,569/female 328,835) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 51.9 % |
| population pyramid: | youth dependency ratio: 30.7 % |
| population pyramid: | elderly dependency ratio: 21.2 % |
| population pyramid: | potential support ratio: 4.7 (2013) |
| Median age: | total: 37.4 years |
| Median age: | male: 36.6 years |
| Median age: | female: 38.2 years (2013 est.) |
| Population growth rate: | 0.85% (2013 est.) |
| Birth rate: | 13.48 births/1,000 population (2013 est.) |
| Death rate: | 7.25 deaths/1,000 population (2013 est.) |
| Net migration rate: | 2.24 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 86% of total population (2010) |
| Urbanization: | rate of urbanization: 0.9% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Auckland 1.36 million; WELLINGTON (capital) 391,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 27.7 (2008 est.) |
| Maternal mortality rate: | 15 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 4.65 deaths/1,000 live births |
| Infant mortality rate: | male: 5.22 deaths/1,000 live births |
| Infant mortality rate: | female: 4.06 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 80.82 years |
| Life expectancy at birth: | male: 78.79 years |
| Life expectancy at birth: | female: 82.94 years (2013 est.) |
| Total fertility rate: | 2.06 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 75% |
| Contraceptive prevalence rate: | note: percent of women aged 20-49 (1995) |
| Health expenditures: | 10.1% of GDP (2011) |
| Physicians density: | 2.74 physicians/1,000 population (2010) |
| Hospital bed density: | 2.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,500 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 28.3% (2008) |
| Education expenditures: | 7.2% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 20 years |
| School life expectancy (primary to tertiary education): | male: 19 years |
| School life expectancy (primary to tertiary education): | female: 20 years (2010) |
| Unemployment, youth ages 15-24: | total: 17.3% |
| Unemployment, youth ages 15-24: | male: 18.2% |
| Unemployment, youth ages 15-24: | female: 16.1% (2011) |
