| People and Society | AFGHANISTAN |
| --- | --- |
| Population: | 34,124,811 (July 2017 est.) |
| Nationality: | noun: Afghan(s) |
| Nationality: | adjective: Afghan |
| Ethnic groups: | Pashtun, Tajik, Hazara, Uzbek, other (includes smaller numbers of Baloch, Turkmen, Nuristani, Pamiri, Arab, Gujar, Brahui, Qizilbash, Aimaq, Pashai, and Kyrghyz) |
| Ethnic groups: | note: current statistical data on the sensitive subject of ethnicity in Afghanistan are not available, and ethnicity data from small samples of respondents to opinion polls are not a reliable alternative; Afghanistan's 2004 constitution recognizes 14 ethnic groups: Pashtun, Tajik, Hazara, Uzbek, Baloch, Turkmen, Nuristani, Pamiri, Arab, Gujar, Brahui, Qizilbash, Aimaq, and Pashai (2015) |
| Languages: | Afghan Persian or Dari (official) 50%, Pashto (official) 35%, Turkic languages (primarily Uzbek and Turkmen) 11%, 30 minor languages (primarily Balochi and Pashai) 4%, much bilingualism, but Dari functions as the lingua franca |
| Languages: | note: the Turkic languages Uzbek and Turkmen, as well as Balochi, Pashai, Nuristani, and Pamiri are the third official languages in areas where the majority speaks them |
| Religions: | Muslim 99.7% (Sunni 84.7 - 89.7%, Shia 10 - 15%), other 0.3% (2009 est.) |
| Age structure: | 0-14 years: 40.92% (male 7,093,980/female 6,869,737) |
| Age structure: | 15-24 years: 22.22% (male 3,859,696/female 3,723,679) |
| Age structure: | 25-54 years: 30.35% (male 5,273,969/female 5,082,972) |
| Age structure: | 55-64 years: 3.92% (male 659,635/female 678,942) |
| Age structure: | 65 years and over: 2.59% (male 407,437/female 474,764) (2017 est.) |
| Dependency ratios: | total dependency ratio: 88.8 |
| Dependency ratios: | youth dependency ratio: 84.1 |
| Dependency ratios: | elderly dependency ratio: 4.7 |
| Dependency ratios: | potential support ratio: 21.2 (2015 est.) |
| Median age: | total: 18.8 years |
| Median age: | male: 18.8 years |
| Median age: | female: 18.9 years (2017 est.) |
| Population growth rate: | 2.36% (2017 est.) |
| Birth rate: | 37.9 births/1,000 population (2017 est.) |
| Death rate: | 13.4 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | populations tend to cluster in the foothills and periphery of the rugged Hindu Kush range; smaller groups are found in many of the country's interior valleys; in general, the east is more densely settled while the south is sparsely populated |
| Urbanization: | urban population: 27.6% of total population (2017) |
| Urbanization: | rate of urbanization: 3.77% annual rate of change (2015-20 est.) |
| Major urban areas - population: | KABUL (capital) 4.635 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.9 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2015 est.) |
| Maternal mortality rate: | 396 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 110.6 deaths/1,000 live births |
| Infant mortality rate: | male: 118 deaths/1,000 live births |
| Infant mortality rate: | female: 102.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 51.7 years |
| Life expectancy at birth: | male: 50.3 years |
| Life expectancy at birth: | female: 53.2 years (2017 est.) |
| Total fertility rate: | 5.12 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 22.5% (2015/16) |
| Health expenditures: | 8.2% of GDP (2014) |
| Physicians density: | 0.3 physicians/1,000 population (2014) |
| Hospital bed density: | 0.5 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 78.2% of population |
| Drinking water source: | rural: 47% of population |
| Drinking water source: | total: 55.3% of population |
| unimproved: | urban: 21.8% of population |
| unimproved: | rural: 53% of population |
| unimproved: | total: 44.7% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 45.1% of population |
| Sanitation facility access: | rural: 27% of population |
| Sanitation facility access: | total: 31.9% of population |
| unimproved: | urban: 54.9% of population |
| unimproved: | rural: 73% of population |
| unimproved: | total: 68.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 7,500 (2016 est.) |
| HIV/AIDS - deaths: | <500 (2016 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria (2016) |
| Obesity - adult prevalence rate: | 5.5% (2016) |
| Children under the age of 5 years underweight: | 25% (2013) |
| Education expenditures: | 3.4% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 38.2% |
| Literacy: | male: 52% |
| Literacy: | female: 24.2% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2014) |
