| People and Society | SAO TOME AND PRINCIPE |
| --- | --- |
| Population: | 201,025 (July 2017 est.) |
| Nationality: | noun: Sao Tomean(s) |
| Nationality: | adjective: Sao Tomean |
| Ethnic groups: | mestico, angolares (descendants of Angolan slaves), forros (descendants of freed slaves), servicais (contract laborers from Angola, Mozambique, and Cabo Verde), tongas (children of servicais born on the islands), Europeans (primarily Portuguese), Asians (mostly Chinese) |
| Languages: | Portuguese 98.4% (official), Forro 36.2%, Cabo Verdian 8.5%, French 6.8%, Angolar 6.6%, English 4.9%, Lunguie 1%, other (including sign language) 2.4% |
| Languages: | note: shares sum to more than 100% because some respondents gave more than one answer on the census (2012 est.) |
| Religions: | Catholic 55.7%, Adventist 4.1%, Assembly of God 3.4%, New Apostolic 2.9%, Mana 2.3%, Universal Kingdom of God 2%, Jehovah's Witness 1.2%, other 6.2%, none 21.2%, unspecified 1% (2012 est.) |
| Demographic profile: | Sao Tome and Principe’s youthful age structure – more than 60% of the population is under the age of 25 – and high fertility rate ensure future population growth. Although Sao Tome has a net negative international migration rate, emigration is not a sufficient safety valve to reduce already high levels of unemployment and poverty. While literacy and primary school attendance have improved in recent years, Sao Tome still struggles to improve its educational quality and to increase its secondary school completion rate. Despite some improvements in education and access to healthcare, Sao Tome and Principe has much to do to decrease its high poverty rate, create jobs, and increase its economic growth. |
| Demographic profile: | The population of Sao Tome and Principe descends primarily from the islands’ colonial Portuguese settlers, who first arrived in the late 15th century, and the much larger number of African slaves brought in for sugar production and the slave trade. For about 100 years after the abolition of slavery in 1876, the population was further shaped by the widespread use of imported unskilled contract laborers from Portugal’s other African colonies, who worked on coffee and cocoa plantations. In the first decades after abolition, most workers were brought from Angola under a system similar to slavery. While Angolan laborers were technically free, they were forced or coerced into long contracts that were automatically renewed and extended to their children. Other contract workers from Mozambique and famine-stricken Cape Verde first arrived in the early 20th century under short-term contracts and had the option of repatriation, although some chose to remain in Sao Tome and Principe. |
| Demographic profile: | Today’s Sao Tomean population consists of mesticos (creole descendants of the European immigrants and African slaves that first inhabited the islands), forros (descendants of freed African slaves), angolares (descendants of runaway African slaves that formed a community in the south of Sao Tome Island and today are fishermen), servicais (contract laborers from Angola, Mozambique, and Cape Verde), tongas (locally born children of contract laborers), and lesser numbers of Europeans and Asians. |
| Age structure: | 0-14 years: 41.85% (male 42,781/female 41,354) |
| Age structure: | 15-24 years: 20.68% (male 21,070/female 20,507) |
| Age structure: | 25-54 years: 30.82% (male 30,454/female 31,509) |
| Age structure: | 55-64 years: 3.81% (male 3,515/female 4,140) |
| Age structure: | 65 years and over: 2.83% (male 2,523/female 3,172) (2017 est.) |
| Dependency ratios: | total dependency ratio: 86.7 |
| Dependency ratios: | youth dependency ratio: 81.1 |
| Dependency ratios: | elderly dependency ratio: 5.6 |
| Dependency ratios: | potential support ratio: 17.8 (2015 est.) |
| Median age: | total: 18.4 years |
| Median age: | male: 18 years |
| Median age: | female: 18.8 years (2017 est.) |
| Population growth rate: | 1.72% (2017 est.) |
| Birth rate: | 32.4 births/1,000 population (2017 est.) |
| Death rate: | 6.8 deaths/1,000 population (2017 est.) |
| Net migration rate: | -8.3 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | Sao Tome, the capital city, has roughly a quarter of the nation's population; Santo Antonio is the largest town on Principe; the northern areas of both islands have the highest population densities |
| Urbanization: | urban population: 66.2% of total population (2017) |
| Urbanization: | rate of urbanization: 3.03% annual rate of change (2015-20 est.) |
| Major urban areas - population: | SAO TOME (capital) 71,000 (2014) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.84 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.4 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2008/09 est.) |
| Maternal mortality rate: | 156 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 45.3 deaths/1,000 live births |
| Infant mortality rate: | male: 47.2 deaths/1,000 live births |
