| People and Society | Sao Tome and Principe |
| --- | --- |
| Population: | 211,122 (July 2020 est.) |
| Nationality: | noun: Sao Tomean(s) |
| Nationality: | adjective: Sao Tomean |
| Ethnic groups: | mestico, angolares (descendants of Angolan slaves), forros (descendants of freed slaves), servicais (contract laborers from Angola, Mozambique, and Cabo Verde), tongas (children of servicais born on the islands), Europeans (primarily Portuguese), Asians (mostly Chinese) |
| Languages: | Portuguese 98.4% (official), Forro 36.2%, Cabo Verdian 8.5%, French 6.8%, Angolar 6.6%, English 4.9%, Lunguie 1%, other (including sign language) 2.4% (2012 est.) |
| Languages: | note: shares sum to more than 100% because some respondents gave more than one answer on the census |
| Religions: | Catholic 55.7%, Adventist 4.1%, Assembly of God 3.4%, New Apostolic 2.9%, Mana 2.3%, Universal Kingdom of God 2%, Jehovah's Witness 1.2%, other 6.2%, none 21.2%, unspecified 1% (2012 est.) |
| Demographic profile: | Sao Tome and Principeâ€™s youthful age structure â€“ more than 60% of the population is under the age of 25 â€“ and high fertility rate ensure future population growth. Although Sao Tome has a net negative international migration rate, emigration is not a sufficient safety valve to reduce already high levels of unemployment and poverty. While literacy and primary school attendance have improved in recent years, Sao Tome still struggles to improve its educational quality and to increase its secondary school completion rate. Despite some improvements in education and access to healthcare, Sao Tome and Principe has much to do to decrease its high poverty rate, create jobs, and increase its economic growth. |
| Demographic profile: | The population of Sao Tome and Principe descends primarily from the islandsâ€™ colonial Portuguese settlers, who first arrived in the late 15th century, and the much larger number of African slaves brought in for sugar production and the slave trade. For about 100 years after the abolition of slavery in 1876, the population was further shaped by the widespread use of imported unskilled contract laborers from Portugalâ€™s other African colonies, who worked on coffee and cocoa plantations. In the first decades after abolition, most workers were brought from Angola under a system similar to slavery. While Angolan laborers were technically free, they were forced or coerced into long contracts that were automatically renewed and extended to their children. Other contract workers from Mozambique and famine-stricken Cape Verde first arrived in the early 20th century under short-term contracts and had the option of repatriation, although some chose to remain in Sao Tome and Principe. |
| Demographic profile: | Todayâ€™s Sao Tomean population consists of mesticos (creole descendants of the European immigrants and African slaves that first inhabited the islands), forros (descendants of freed African slaves), angolares (descendants of runaway African slaves that formed a community in the south of Sao Tome Island and today are fishermen), servicais (contract laborers from Angola, Mozambique, and Cape Verde), tongas (locally born children of contract laborers), and lesser numbers of Europeans and Asians. |
| Age structure: | 0-14 years: 39.77% (male 42,690/female 41,277) |
| Age structure: | 15-24 years: 21.59% (male 23,088/female 22,487) |
| Age structure: | 25-54 years: 31.61% (male 32,900/female 33,834) |
| Age structure: | 55-64 years: 4.17% (male 4,095/female 4,700) |
| Age structure: | 65 years and over: 2.87% (male 2,631/female 3,420) (2020 est.) |
| Dependency ratios: | total dependency ratio: 81 |
| Dependency ratios: | youth dependency ratio: 75.6 |
| Dependency ratios: | elderly dependency ratio: 5.4 |
| Dependency ratios: | potential support ratio: 18.4 (2020 est.) |
| Median age: | total: 19.3 years |
| Median age: | male: 18.9 years |
| Median age: | female: 19.7 years (2020 est.) |
| Population growth rate: | 1.58% (2020 est.) |
| Birth rate: | 29.7 births/1,000 population (2020 est.) |
| Death rate: | 6.3 deaths/1,000 population (2020 est.) |
| Net migration rate: | -7.9 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | Sao Tome, the capital city, has roughly a quarter of the nation's population; Santo Antonio is the largest town on Principe; the northern areas of both islands have the highest population densities as shown in this population distribution map |
| Urbanization: | urban population: 74.4% of total population (2020) |
| Urbanization: | rate of urbanization: 3.33% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 80,000 SAO TOME (capital) (2018) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.97 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 19.4 years (2008/09 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 130 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 41.7 deaths/1,000 live births |
| Infant mortality rate: | male: 43.6 deaths/1,000 live births |
| Infant mortality rate: | female: 39.8 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 66.3 years |
| Life expectancy at birth: | male: 64.9 years |
| Life expectancy at birth: | female: 67.8 years (2020 est.) |
| Total fertility rate: | 3.82 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 40.6% (2014) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 88.4% of population |
| Drinking water source: | total: 96.8% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 11.6% of population |
| Drinking water source: | total: 3.2% of population (2017 est.) |
| Current Health Expenditure: | 6.2% (2017) |
| Physicians density: | 0.05 physicians/1,000 population (2017) |
| Hospital bed density: | 2.9 beds/1,000 population (2011) |
| Sanitation facility access: | improved: urban: 54.4% of population |
| Sanitation facility access: | rural: 35.3% of population |
| Sanitation facility access: | total: 49.1% of population |
| Sanitation facility access: | unimproved: urban: 45.6% of population |
| Sanitation facility access: | rural: 64.7% of population |
| Sanitation facility access: | total: 50.9% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.7% (2018) |
| HIV/AIDS - people living with HIV/AIDS: | 1,100 (2018) |
| HIV/AIDS - deaths: | <100 (2018) |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Obesity - adult prevalence rate: | 12.4% (2016) |
| Children under the age of 5 years underweight: | 8.8% (2014) |
| Education expenditures: | 5.1% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.8% |
| Literacy: | male: 96.2% |
