| People and Society | Ukraine |
| --- | --- |
| Nationality: | noun: Ukrainian(s) |
| Nationality: | adjective: Ukrainian |
| Ethnic groups: | Ukrainian 77.8%, Russian 17.3%, Belarusian 0.6%, Moldovan 0.5%, Crimean Tatar 0.5%, Bulgarian 0.4%, Hungarian 0.3%, Romanian 0.3%, Polish 0.3%, Jewish 0.2%, other 1.8% (2001 census) |
| Languages: | Ukrainian (official) 67%, Russian 24%, other (includes small Romanian-, Polish-, and Hungarian-speaking minorities) 9% |
| Religions: | Ukrainian Orthodox - Kyiv Patriarchate 50.4%, Ukrainian Orthodox - Moscow Patriarchate 26.1%, Ukrainian Greek Catholic 8%, Ukrainian Autocephalous Orthodox 7.2%, Roman Catholic 2.2%, Protestant 2.2%, Jewish 0.6%, other 3.2% (2006 est.) |
| Population: | 45,134,707 (July 2011 est.) |
| Age structure: | 0-14 years: 13.7% (male 3,186,606/female 3,014,069) |
| Age structure: | 15-64 years: 70.8% (male 15,282,749/female 16,673,641) |
| Age structure: | 65 years and over: 15.5% (male 2,294,777/female 4,682,865) (2011 est.) |
| Median age: | total: 39.9 years |
| Median age: | male: 36.7 years |
| Median age: | female: 43.1 years (2011 est.) |
| Population growth rate: | -0.622% (2011 est.) |
| Birth rate: | 9.62 births/1,000 population (2011 est.) |
| Death rate: | 15.74 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -0.09 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 69% of total population (2010) |
| Urbanization: | rate of urbanization: -0.1% annual rate of change (2010-15 est.) |
| Major cities - population: | KYIV (capital) 2.779 million; Kharkiv 1.455 million; Dnipropetrovsk 1.013 million; Odesa 1.009 million; Donetsk 971,000 (2009) |
| Sex ratio: | at birth: 1.065 male(s)/female |
| Sex ratio: | under 15 years: 1.06 male(s)/female |
| Sex ratio: | 15-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.49 male(s)/female |
| Sex ratio: | total population: 0.85 male(s)/female (2011 est.) |
| Maternal mortality rate: | 26 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 8.54 deaths/1,000 live births |
| Infant mortality rate: | male: 10.71 deaths/1,000 live births |
| Infant mortality rate: | female: 6.23 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 68.58 years |
| Life expectancy at birth: | male: 62.79 years |
| Life expectancy at birth: | female: 74.75 years (2011 est.) |
| Total fertility rate: | 1.28 children born/woman (2011 est.) |
| Health expenditures: | 7% of GDP (2009) |
| Physicians density: | 3.1254 physicians/1,000 population (2006) |
| Hospital bed density: | 8.73 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98% of population |
| Drinking water source: | rural: 97% of population |
| Drinking water source: | total: 98% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 3% of population |
| unimproved: | total: 2% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97% of population |
| Sanitation facility access: | rural: 90% of population |
| Sanitation facility access: | total: 95% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 10% of population |
| unimproved: | total: 5% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 1.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 350,000 (2009 est.) |
| HIV/AIDS - deaths: | 24,000 (2009 est.) |
| Children under the age of 5 years underweight: | 4.1% (2000) |
| Education expenditures: | 5.3% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.4% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.2% (2001 census) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2008) |
| Unemployment, youth ages 15-24: | total: 14.9% |
| Unemployment, youth ages 15-24: | male: 15.2% |
| Unemployment, youth ages 15-24: | female: 14.5% (2005) |
