| People and Society | Marshall Islands |
| --- | --- |
| Population: | 77,917 (July 2020 est.) |
| Nationality: | noun: Marshallese (singular and plural) |
| Nationality: | adjective: Marshallese |
| Ethnic groups: | Marshallese 92.1%, mixed Marshallese 5.9%, other 2% (2006) |
| Languages: | Marshallese (official) 98.2%, other languages 1.8% (1999 census) |
| Languages: | note: English (official), widely spoken as a second language |
| Religions: | Protestant 80.5% (United Church of Christ 47%, Assembly of God 16.2%, Bukot Nan Jesus 5.4%, Full Gospel 3.3%, Reformed Congressional Church 3%, Salvation Army 1.9%, Seventh Day Adventist 1.4%, Meram in Jesus 1.2%, other Protestant 1.1%), Roman Catholic 8.5%,Â Mormon 7%, Jehovah's Witness 1.7%,Â  other 1.2%, none 1.1% (2011 est.) |
| Age structure: | 0-14 years: 32.94% (male 13,090/female 12,575) |
| Age structure: | 15-24 years: 19.09% (male 7,568/female 7,308) |
| Age structure: | 25-54 years: 37.35% (male 14,834/female 14,270) |
| Age structure: | 55-64 years: 5.92% (male 2,269/female 2,341) |
| Age structure: | 65 years and over: 4.7% (male 1,805/female 1,857) (2020 est.) |
| Median age: | total: 23.8 years |
| Median age: | male: 23.6 years |
| Median age: | female: 23.9 years (2020 est.) |
| Population growth rate: | 1.43% (2020 est.) |
| Birth rate: | 22.8 births/1,000 population (2020 est.) |
| Death rate: | 4.3 deaths/1,000 population (2020 est.) |
| Net migration rate: | -4.5 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | most people live in urban clusters found on many of the country's islands; more than two-thirds of the population lives on the atolls of Majuro and Ebeye |
| Urbanization: | urban population: 77.8% of total population (2020) |
| Urbanization: | rate of urbanization: 0.61% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 31,000 MAJURO (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.97 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2020 est.) |
| Infant mortality rate: | total: 17.4 deaths/1,000 live births |
| Infant mortality rate: | male: 19.7 deaths/1,000 live births |
| Infant mortality rate: | female: 15.1 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 74.1 years |
| Life expectancy at birth: | male: 71.8 years |
| Life expectancy at birth: | female: 76.5 years (2020 est.) |
| Total fertility rate: | 2.86 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 99.8% of population |
| Drinking water source: | rural: 99.7% of population |
| Drinking water source: | total: 99.8% of population |
| Drinking water source: | unimproved: urban: 0.2% of population |
| Drinking water source: | rural: 0.3% of population |
| Drinking water source: | total: 0.2% of population (2017 est.) |
| Current Health Expenditure: | 16.4% (2017) |
| Physicians density: | 0.42 physicians/1,000 population (2012) |
| Hospital bed density: | 2.7 beds/1,000 population (2010) |
| Sanitation facility access: | improved: urban: 96.3% of population |
| Sanitation facility access: | rural: 65.4% of population |
| Sanitation facility access: | total: 89.1% of population |
| Sanitation facility access: | unimproved: urban: 15.5% of population |
| Sanitation facility access: | rural: 34.6% of population |
| Sanitation facility access: | total: 10.9% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: malaria |
| Obesity - adult prevalence rate: | 52.9% (2016) |
| Children under the age of 5 years underweight: | 11.9% (2017) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.3% |
| Literacy: | male: 98.3% |
| Literacy: | female: 98.2% (2011) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2019) |
| Unemployment, youth ages 15-24: | total: 11% |
| Unemployment, youth ages 15-24: | male: 12.2% |
| Unemployment, youth ages 15-24: | female: 8.7% (2010 est.) |
