| People and Society | MARSHALL ISLANDS |
| --- | --- |
| Population: | 73,376 (July 2016 est.) |
| Nationality: | noun: Marshallese (singular and plural) |
| Nationality: | adjective: Marshallese |
| Ethnic groups: | Marshallese 92.1%, mixed Marshallese 5.9%, other 2% (2006) |
| Languages: | Marshallese (official) 98.2%, other languages 1.8% (1999 census) |
| Languages: | note: English (official), widely spoken as a second language |
| Religions: | Protestant 54.8%, Assembly of God 25.8%, Roman Catholic 8.4%, Bukot nan Jesus 2.8%, Mormon 2.1%, other Christian 3.6%, other 1%, none 1.5% (1999 census) |
| Age structure: | 0-14 years: 35.48% (male 13,273/female 12,758) |
| Age structure: | 15-24 years: 17.54% (male 6,545/female 6,326) |
| Age structure: | 25-54 years: 37.4% (male 13,966/female 13,475) |
| Age structure: | 55-64 years: 5.79% (male 2,160/female 2,086) |
| Age structure: | 65 years and over: 3.8% (male 1,370/female 1,417) (2016 est.) |
| Median age: | total: 22.7 years |
| Median age: | male: 22.6 years |
| Median age: | female: 22.8 years (2016 est.) |
| Population growth rate: | 1.6% (2016 est.) |
| Birth rate: | 25 births/1,000 population (2016 est.) |
| Death rate: | 4.2 deaths/1,000 population (2016 est.) |
| Net migration rate: | -4.8 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 72.7% of total population (2015) |
| Urbanization: | rate of urbanization: 0.59% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MAJURO (capital) 31,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.97 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 20.7 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2007 est.) |
| Infant mortality rate: | total: 20 deaths/1,000 live births |
| Infant mortality rate: | male: 22.5 deaths/1,000 live births |
| Infant mortality rate: | female: 17.3 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 73.1 years |
| Life expectancy at birth: | male: 70.9 years |
| Life expectancy at birth: | female: 75.4 years (2016 est.) |
| Total fertility rate: | 3.09 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 44.6% (2007) |
| Health expenditures: | 17.1% of GDP (2014) |
| Physicians density: | 0.44 physicians/1,000 population (2010) |
| Hospital bed density: | 2.7 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93.5% of population |
| Drinking water source: | rural: 97.6% of population |
| Drinking water source: | total: 94.6% of population |
| unimproved: | urban: 6.5% of population |
| unimproved: | rural: 2.4% of population |
| unimproved: | total: 5.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 84.5% of population |
| Sanitation facility access: | rural: 56.2% of population |
| Sanitation facility access: | total: 76.9% of population |
| unimproved: | urban: 15.5% of population |
| unimproved: | rural: 43.8% of population |
| unimproved: | total: 23.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 42.3% (2014) |
| Unemployment, youth ages 15-24: | total: 11% |
| Unemployment, youth ages 15-24: | male: 12.2% |
| Unemployment, youth ages 15-24: | female: 8.7% (2010 est.) |
