| People and Society | Marshall Islands |
| --- | --- |
| Nationality: | noun: Marshallese (singular and plural) |
| Nationality: | adjective: Marshallese |
| Ethnic groups: | Marshallese 92.1%, mixed Marshallese 5.9%, other 2% (2006) |
| Languages: | Marshallese (official) 98.2%, other languages 1.8% (1999 census) |
| Languages: | note: English (official), widely spoken as a second language |
| Religions: | Protestant 54.8%, Assembly of God 25.8%, Roman Catholic 8.4%, Bukot nan Jesus 2.8%, Mormon 2.1%, other Christian 3.6%, other 1%, none 1.5% (1999 census) |
| Population: | 69,747 (July 2013 est.) |
| Age structure: | 0-14 years: 37.2% (male 13,227/female 12,730) |
| Age structure: | 15-24 years: 17.5% (male 6,222/female 5,997) |
| Age structure: | 25-54 years: 36.5% (male 12,931/female 12,499) |
| Age structure: | 55-64 years: 5.5% (male 2,014/female 1,852) |
| Age structure: | 65 years and over: 3.3% (male 1,111/female 1,164) (2013 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 22.4 years |
| population pyramid: | male: 22.4 years |
| population pyramid: | female: 22.4 years (2013 est.) |
| Population growth rate: | 1.79% (2013 est.) |
| Birth rate: | 27.21 births/1,000 population (2013 est.) |
| Death rate: | 4.27 deaths/1,000 population (2013 est.) |
| Net migration rate: | -5 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 72% of total population (2010) |
| Urbanization: | rate of urbanization: 2.3% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MAJURO (capital) 30,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 1.09 male(s)/female |
| Sex ratio: | 65 years and over: 0.95 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 22.15 deaths/1,000 live births |
| Infant mortality rate: | male: 24.93 deaths/1,000 live births |
| Infant mortality rate: | female: 19.22 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 72.31 years |
| Life expectancy at birth: | male: 70.18 years |
| Life expectancy at birth: | female: 74.55 years (2013 est.) |
| Total fertility rate: | 3.29 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 44.6% (2007) |
| Health expenditures: | 16.5% of GDP (2011) |
| Physicians density: | 0.44 physicians/1,000 population (2010) |
| Hospital bed density: | 2.7 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 92% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 94% of population |
| unimproved: | urban: 8% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 6% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 83% of population |
| Sanitation facility access: | rural: 53% of population |
| Sanitation facility access: | total: 75% of population |
| unimproved: | urban: 17% of population |
| unimproved: | rural: 47% of population |
| unimproved: | total: 25% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 45.4% (2008) |
| Education expenditures: | 12.2% of GDP (2004) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.7% |
| Literacy: | male: 93.6% |
| Literacy: | female: 93.7% (1999) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2003) |
