| People and Society | NICARAGUA |
| --- | --- |
| Population: | 5,966,798 (July 2016 est.) |
| Nationality: | noun: Nicaraguan(s) |
| Nationality: | adjective: Nicaraguan |
| Ethnic groups: | mestizo (mixed Amerindian and white) 69%, white 17%, black 9%, Amerindian 5% |
| Languages: | Spanish (official) 95.3%, Miskito 2.2%, Mestizo of the Caribbean coast 2%, other 0.5% |
| Languages: | note: English and indigenous languages found on the Caribbean coast (2005 est.) |
| Religions: | Roman Catholic 58.5%, Protestant 23.2% (Evangelical 21.6%, Moravian 1.6%), Jehovah's Witnesses 0.9%, other 1.6%, none 15.7% (2005 est.) |
| Demographic profile: | Despite being one of the poorest countries in Latin America, Nicaragua has improved its access to potable water and sanitation and has ameliorated its life expectancy, infant and child mortality, and immunization rates. However, income distribution is very uneven, and the poor, agriculturalists, and indigenous people continue to have less access to healthcare services. Nicaragua's total fertility rate has fallen from around 6 children per woman in 1980 to just above replacement level today, but the high birth rate among adolescents perpetuates a cycle of poverty and low educational attainment. |
| Demographic profile: | Nicaraguans emigrate primarily to Costa Rica and to a lesser extent the United States. Nicaraguan men have been migrating seasonally to Costa Rica to harvest bananas and coffee since the early 20th century. Political turmoil, civil war, and natural disasters from the 1970s through the 1990s dramatically increased the flow of refugees and permanent migrants seeking jobs, higher wages, and better social and healthcare benefits. Since 2000, Nicaraguan emigration to Costa Rica has slowed and stabilized. Today roughly 300,000 Nicaraguans are permanent residents of Costa Rica - about 75% of the foreign population - and thousands more migrate seasonally for work, many illegally. |
| Age structure: | 0-14 years: 27.88% (male 848,537/female 815,032) |
| Age structure: | 15-24 years: 21.78% (male 653,113/female 646,497) |
| Age structure: | 25-54 years: 39.42% (male 1,113,772/female 1,238,550) |
| Age structure: | 55-64 years: 5.79% (male 160,165/female 185,385) |
| Age structure: | 65 years and over: 5.12% (male 136,661/female 169,086) (2016 est.) |
| Dependency ratios: | total dependency ratio: 54.1% |
| Dependency ratios: | youth dependency ratio: 46.3% |
| Dependency ratios: | elderly dependency ratio: 7.8% |
| Dependency ratios: | potential support ratio: 12.8% (2015 est.) |
| Median age: | total: 25.2 years |
| Median age: | male: 24.3 years |
| Median age: | female: 26 years (2016 est.) |
| Population growth rate: | 0.99% (2016 est.) |
| Birth rate: | 17.9 births/1,000 population (2016 est.) |
| Death rate: | 5.1 deaths/1,000 population (2016 est.) |
| Net migration rate: | -2.9 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | the overwhelming majority of the population resides in the western half of the country, with much of the urban growth centered in the capital city of Managua; coastal areas also show large population clusters |
| Urbanization: | urban population: 58.8% of total population (2015) |
| Urbanization: | rate of urbanization: 1.96% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MANAGUA (capital) 956,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.9 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.2 |
| Mother's mean age at first birth: |     note: median age at first birth among women 25-29 (2011/12 est.) |
| Maternal mortality rate: | 150 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 19 deaths/1,000 live births |
| Infant mortality rate: | male: 21.8 deaths/1,000 live births |
| Infant mortality rate: | female: 16 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 73.2 years |
| Life expectancy at birth: | male: 71.1 years |
| Life expectancy at birth: | female: 75.5 years (2016 est.) |
| Total fertility rate: | 1.92 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 80.4% (2011/12) |
| Health expenditures: | 9% of GDP (2014) |
| Physicians density: | 0.9 physicians/1,000 population (2014) |
| Hospital bed density: | 0.9 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.3% of population |
| Drinking water source: | rural: 69.4% of population |
| Drinking water source: | total: 87% of population |
| unimproved: | urban: 0.7% of population |
| unimproved: | rural: 30.6% of population |
| unimproved: | total: 13% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 76.5% of population |
| Sanitation facility access: | rural: 55.7% of population |
| Sanitation facility access: | total: 67.9% of population |
| unimproved: | urban: 23.5% of population |
| unimproved: | rural: 44.3% of population |
| unimproved: | total: 32.1% of population (2015 est.) |
