| People and Society | BRAZIL |
| --- | --- |
| Population: | 205,823,665 (July 2016 est.) |
| Nationality: | noun: Brazilian(s) |
| Nationality: | adjective: Brazilian |
| Ethnic groups: | white 47.7%, mulatto (mixed white and black) 43.1%, black 7.6%, Asian 1.1%, indigenous 0.4% (2010 est.) |
| Languages: | Portuguese (official and most widely spoken language) |
| Languages: | note: less common languages include Spanish (border areas and schools), German, Italian, Japanese, English, and a large number of minor Amerindian languages |
| Religions: | Roman Catholic 64.6%, other Catholic 0.4%, Protestant 22.2% (includes Adventist 6.5%, Assembly of God 2.0%, Christian Congregation of Brazil 1.2%, Universal Kingdom of God 1.0%, other Protestant 11.5%), other Christian 0.7%, Spiritist 2.2%, other 1.4%, none 8%, unspecified 0.4% (2010 est.) |
| Demographic profile: | Brazil's rapid fertility decline since the 1960s is the main factor behind the country's slowing population growth rate, aging population, and fast-paced demographic transition. Brasilia has not taken full advantage of its large working-age population to develop its human capital and strengthen its social and economic institutions but is funding a study abroad program to bring advanced skills back to the country. The current favorable age structure will begin to shift around 2025, with the labor force shrinking and the elderly starting to compose an increasing share of the total population. Well-funded public pensions have nearly wiped out poverty among the elderly, and Bolsa Familia and other social programs have lifted tens of millions out of poverty. More than half of Brazil's population is considered middle class, but poverty and income inequality levels remain high; the Northeast, North, and Center-West, women, and black, mixed race, and indigenous populations are disproportionately affected. Disparities in opportunities foster social exclusion and contribute to Brazil's high crime rate, particularly violent crime in cities and favelas. |
| Demographic profile: | Brazil has traditionally been a net recipient of immigrants, with its southeast being the prime destination. After the importation of African slaves was outlawed in the mid-19th century, Brazil sought Europeans (Italians, Portuguese, Spaniards, and Germans) and later Asians (Japanese) to work in agriculture, especially coffee cultivation. Recent immigrants come mainly from Argentina, Chile, and Andean countries (many are unskilled illegal migrants) or are returning Brazilian nationals. Since Brazil's economic downturn in the 1980s, emigration to the United States, Europe, and Japan has been rising but is negligible relative to Brazil's total population. The majority of these emigrants are well-educated and middle-class. Fewer Brazilian peasants are emigrating to neighboring countries to take up agricultural work. |
| Age structure: | 0-14 years: 22.79% (male 23,905,185/female 22,994,222) |
| Age structure: | 15-24 years: 16.43% (male 17,146,060/female 16,661,163) |
| Age structure: | 25-54 years: 43.84% (male 44,750,568/female 45,489,430) |
| Age structure: | 55-64 years: 8.89% (male 8,637,011/female 9,656,370) |
| Age structure: | 65 years and over: 8.06% (male 7,059,944/female 9,523,712) (2016 est.) |
| Dependency ratios: | total dependency ratio: 44.7% |
| Dependency ratios: | youth dependency ratio: 33.3% |
| Dependency ratios: | elderly dependency ratio: 11.3% |
| Dependency ratios: | potential support ratio: 8.8% (2015 est.) |
| Median age: | total: 31.6 years |
| Median age: | male: 30.7 years |
| Median age: | female: 32.4 years (2016 est.) |
