| People and Society | BRAZIL |
| --- | --- |
| Nationality: | noun: Brazilian(s) |
| Nationality: | adjective: Brazilian |
| Ethnic groups: | white 47.7%, mulatto (mixed white and black) 43.1%, black 7.6%, Asian 1.1%, indigenous 0.4% (2010 est.) |
| Languages: | Portuguese (official and most widely spoken language) |
| Languages: | note: less common languages include Spanish (border areas and schools), German, Italian, Japanese, English, and a large number of minor Amerindian languages |
| Religions: | Roman Catholic 64.6%, other Catholic 0.4%, Protestant 22.2% (includes Adventist 6.5%, Assembly of God 2.0%, Christian Congregation of Brazil 1.2%, Universal Kingdom of God 1.0%, other Protestant 11.5%), other Christian 0.7%, Spiritist 2.2%, other 1.4%, none 8%, unspecified 0.4% (2010 est.) |
| Demographic profile: | Brazil's rapid fertility decline since the 1960s is the main factor behind the country's slowing population growth rate, aging population, and fast-paced demographic transition. Brasilia has not taken full advantage of its large working-age population to develop its human capital and strengthen its social and economic institutions but is funding a study abroad program to bring advanced skills back to the country. The current favorable age structure will begin to shift around 2025, with the labor force shrinking and the elderly starting to compose an increasing share of the total population. Well-funded public pensions have nearly wiped out poverty among the elderly, and Bolsa Familia and other social programs have lifted tens of millions out of poverty. More than half of Brazil's population is considered middle class, but poverty and income inequality levels remain high; the Northeast, North, and Center-West, women, and black, mixed race, and indigenous populations are disproportionately affected. Disparities in opportunities foster social exclusion and contribute to Brazil's high crime rate, particularly violent crime in cities and favelas. |
| Demographic profile: | Brazil has traditionally been a net recipient of immigrants, with its southeast being the prime destination. After the importation of African slaves was outlawed in the mid-19th century, Brazil sought Europeans (Italians, Portuguese, Spaniards, and Germans) and later Asians (Japanese) to work in agriculture, especially coffee cultivation. Recent immigrants come mainly from Argentina, Chile, and Andean countries (many are unskilled illegal migrants) or are returning Brazilian nationals. Since Brazil's economic downturn in the 1980s, emigration to the United States, Europe, and Japan has been rising but is negligible relative to Brazil's total population. The majority of these emigrants are well-educated and middle-class. Fewer Brazilian peasants are emigrating to neighboring countries to take up agricultural work. |
| Population: | 204,259,812 (July 2015 est.) |
| Age structure: | 0-14 years: 23.27% (male 24,223,817/female 23,304,372) |
| Age structure: | 15-24 years: 16.47% (male 17,058,031/female 16,579,678) |
| Age structure: | 25-54 years: 43.8% (male 44,358,524/female 45,111,178) |
| Age structure: | 55-64 years: 8.66% (male 8,348,783/female 9,343,347) |
| Age structure: | 65 years and over: 7.8% (male 6,776,742/female 9,155,340) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 44.7% |
| population pyramid: | youth dependency ratio: 33.3% |
| population pyramid: | elderly dependency ratio: 11.3% |
| population pyramid: | potential support ratio: 8.8% (2015 est.) |
| Median age: | total: 30.7 years |
| Median age: | male: 29.9 years |
| Median age: | female: 31.5 years (2014 est.) |
| Population growth rate: | 0.77% (2015 est.) |
| Birth rate: | 14.46 births/1,000 population (2015 est.) |
| Death rate: | 6.58 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.14 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 85.7% of total population (2015) |
| Urbanization: | rate of urbanization: 1.17% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Sao Paulo 21.066 million; Rio de Janeiro 12.902 million; Belo Horizonte 5.716 million; BRASILIA (capital) 4.155 million; Fortaleza 3.88 million; Recife 3.739 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 18.6 deaths/1,000 live births |
| Infant mortality rate: | male: 21.8 deaths/1,000 live births |
| Infant mortality rate: | female: 15.23 deaths/1,000 live births (2015 est.) |
