| People and Society | Northern Mariana Islands |
| --- | --- |
| Nationality: | noun: NA (US citizens) |
| Nationality: | adjective: NA |
| Ethnic groups: | Asian 56.3%, Pacific islander 36.3%, Caucasian 1.8%, other 0.8%, mixed 4.8% (2000 census) |
| Languages: | Philippine languages 24.4%, Chinese 23.4%, Chamorro (official) 22.4%, English (official) 10.8%, other Pacific island languages 9.5%, other 9.6% (2000 census) |
| Religions: | Christian (Roman Catholic majority, although traditional beliefs and taboos may still be found) |
| Population: | 51,395 (July 2012 est.) |
| Age structure: | 0-14 years: 26% (male 7,057/ female 6,321) |
| Age structure: | 15-64 years: 70% (male 16,719/ female 19,283) |
| Age structure: | 65 years and over: 3.9% (male 958/ female 1,057) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 30.6 years |
| Median age: | male: 29.6 years |
| Median age: | female: 31 years (2012 est.) |
| Population growth rate: | -0.96% (2012 est.) |
| Birth rate: | 20.2 births/1,000 population (2012 est.) |
| Death rate: | 3.4 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | -41.32 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 91% of total population (2010) |
| Urbanization: | rate of urbanization: 1.7% annual rate of change (2010-15 est.) |
| Major cities - population: | SAIPAN (capital) NA (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | under 15 years: 1.12 male(s)/female |
| Sex ratio: | 15-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.91 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2011 est.) |
| Infant mortality rate: | total: 5.7 deaths/1,000 live births |
| Infant mortality rate: | male: 6.1 deaths/1,000 live births |
| Infant mortality rate: | female: 5.3 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 77.27 years |
| Life expectancy at birth: | male: 74.62 years |
| Life expectancy at birth: | female: 80.07 years (2012 est.) |
| Total fertility rate: | 2.09 children born/woman (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 92% of population |
| Sanitation facility access: | rural: 93% of population |
| Sanitation facility access: | total: 92% of population |
| unimproved: | urban: 8% of population |
| unimproved: | rural: 7% of population |
| unimproved: | total: 8% of population |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97% |
| Literacy: | male: 97% |
| Literacy: | female: 96% (1980 est.) |
| Unemployment, youth ages 15-24: | total: 5.9% |
| Unemployment, youth ages 15-24: | male: 11.2% |
| Unemployment, youth ages 15-24: | female: 4.4% (2003) |
