| People and Society | Northern Mariana Islands |
| --- | --- |
| Nationality: | noun: NA (US citizens) |
| Nationality: | adjective: NA |
| Ethnic groups: | Asian 56.3%, Pacific islander 36.3%, Caucasian 1.8%, other 0.8%, mixed 4.8% (2000 census) |
| Languages: | Philippine languages 24.4%, Chinese 23.4%, Chamorro 22.4%, English 10.8%, other Pacific island languages 9.5%, other 9.6% (2000 census) |
| Religions: | Christian (Roman Catholic majority, although traditional beliefs and taboos may still be found) |
| Population: | 46,050 (July 2011 est.) |
| Age structure: | 0-14 years: 26% (male 6,349/female 5,625) |
| Age structure: | 15-64 years: 70.4% (male 15,014/female 17,397) |
| Age structure: | 65 years and over: 3.6% (male 790/female 875) (2011 est.) |
| Median age: | total: 30 years |
| Median age: | male: 29.8 years |
| Median age: | female: 30.1 years (2011 est.) |
| Population growth rate: | -4.004% (2011 est.) |
| Birth rate: | 20.69 births/1,000 population (2011 est.) |
| Death rate: | 3.28 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -57.46 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 91% of total population (2010) |
| Urbanization: | rate of urbanization: 1.7% annual rate of change (2010-15 est.) |
| Major cities - population: | SAIPAN (capital) NA (2009) |
| Sex ratio: | at birth: 1.061 male(s)/female |
| Sex ratio: | under 15 years: 1.15 male(s)/female |
| Sex ratio: | 15-64 years: 0.85 male(s)/female |
| Sex ratio: | 65 years and over: 0.92 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2011 est.) |
| Infant mortality rate: | total: 5.79 deaths/1,000 live births |
| Infant mortality rate: | male: 6.19 deaths/1,000 live births |
| Infant mortality rate: | female: 5.37 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 77.08 years |
| Life expectancy at birth: | male: 74.45 years |
| Life expectancy at birth: | female: 79.87 years (2011 est.) |
| Total fertility rate: | 2.13 children born/woman (2011 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98% of population |
| Drinking water source: | rural: 97% of population |
| Drinking water source: | total: 98% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 3% of population |
| unimproved: | total: 2% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 92% of population |
| Sanitation facility access: | rural: 93% of population |
| Sanitation facility access: | total: 92% of population |
| unimproved: | urban: 8% of population |
| unimproved: | rural: 7% of population |
| unimproved: | total: 8% of population (2000) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97% |
| Literacy: | male: 97% |
| Literacy: | female: 96% (1980 est.) |
| School life expectancy (primary to tertiary education): | NA |
| Unemployment, youth ages 15-24: | total: 5.9% |
| Unemployment, youth ages 15-24: | male: 11.2% |
| Unemployment, youth ages 15-24: | female: 4.4% (2003) |
