| People and Society | Bangladesh |
| --- | --- |
| Population: | 159,453,001 (July 2018 est.) |
| Nationality: | noun: Bangladeshi(s) |
| Nationality: | adjective: Bangladeshi |
| Ethnic groups: | Bengali at least 98%, other indigenous ethnic groups 1.1% (2011 est.) |
| Ethnic groups: | note: Bangladesh's government recognizes 27 indigenous ethnic groups under the 2010 Cultural Institution for Small Anthropological Groups Act; other sources estimate there are about 75 ethnic groups; critics of the 2011 census claim that it underestimates the size of Bangladesh's ethnic population |
| Languages: | Bangla 98.8% (official, also known as Bengali), other 1.2% (2011 est.) |
| Religions: | Muslim 89.1%, Hindu 10%, other 0.9% (includes Buddhist, Christian) (2013 est.) |
| Age structure: | 0-14 years: 27.29% (male 22,135,349 /female 21,373,470) |
| Age structure: | 15-24 years: 19.14% (male 15,313,674 /female 15,200,861) |
| Age structure: | 25-54 years: 40.07% (male 30,626,005 /female 33,267,339) |
| Age structure: | 55-64 years: 7.09% (male 5,582,450 /female 5,716,763) |
| Age structure: | 65 years and over: 6.42% (male 4,844,612 /female 5,392,478) (2018 est.) |
| Dependency ratios: | total dependency ratio: 52.6 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 44.9 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 7.7 (2015 est.) |
| Dependency ratios: | potential support ratio: 13 (2015 est.) |
| Median age: | total: 27.1 years (2018 est.) |
| Median age: | male: 26.3 years |
| Median age: | female: 27.8 years |
| Population growth rate: | 1.02% (2018 est.) |
| Birth rate: | 18.6 births/1,000 population (2018 est.) |
| Death rate: | 5.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | -3 migrant(s)/1,000 population (2018 est.) |
| Urbanization: | urban population: 37.4% of total population (2019) |
| Urbanization: | rate of urbanization: 3.17% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 20.284 million DHAKA (capital), 4.915 million Chittagong, 963,000 Khulna, 893,000 Rajshahi, 814,000 Sylhet (2019) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 18.5 years (2014 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 173 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 30.5 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 32.8 deaths/1,000 live births |
| Infant mortality rate: | female: 28.1 deaths/1,000 live births |
| Life expectancy at birth: | total population: 73.7 years (2018 est.) |
| Life expectancy at birth: | male: 71.5 years |
| Life expectancy at birth: | female: 75.9 years |
| Total fertility rate: | 2.15 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 62.3% (2014) |
| Drinking water source: | improved: urban: 86.5% of population |
| Drinking water source: | rural: 87% of population |
| Drinking water source: | total: 86.9% of population |
| Drinking water source: | unimproved: urban: 13.5% of population |
| Drinking water source: | rural: 13% of population |
| Drinking water source: | total: 13.1% of population (2015 est.) |
| Current Health Expenditure: | 2.4% (2016) |
| Physicians density: | 0.53 physicians/1,000 population (2015) |
| Hospital bed density: | 0.8 beds/1,000 population (2015) |
| Sanitation facility access: | improved: urban: 57.7% of population (2015 est.) |
| Sanitation facility access: | rural: 62.1% of population (2015 est.) |
| Sanitation facility access: | total: 60.6% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 42.3% of population (2015 est.) |
| Sanitation facility access: | rural: 37.9% of population (2015 est.) |
| Sanitation facility access: | total: 39.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 14,000 (2018 est.) |
| HIV/AIDS - deaths: | <1000 (2018 est.) |
| Major infectious diseases: | degree of risk: high (2019) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever (2019) |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria are high risks in some locations (2019) |
| Major infectious diseases: | water contact diseases: leptospirosis (2019) |
| Major infectious diseases: | animal contact diseases: rabies (2019) |
| Obesity - adult prevalence rate: | 3.6% (2016) |
| Children under the age of 5 years underweight: | 32.8% (2014) |
| Education expenditures: | 2% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 72.9% |
| Literacy: | male: 75.7% |
| Literacy: | female: 70.1% (2017) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2017) |
| Unemployment, youth ages 15-24: | total: 12.8% |
| Unemployment, youth ages 15-24: | male: 10.8% |
| Unemployment, youth ages 15-24: | female: 16.8% (2017 est.) |
