| People | Bangladesh |
| --- | --- |
| Population: | 147,365,352 (July 2006 est.) |
| Age structure: | 0-14 years: 32.9% (male 24,957,997/female 23,533,894) |
| Age structure: | 15-64 years: 63.6% (male 47,862,774/female 45,917,674) |
| Age structure: | 65 years and over: 3.5% (male 2,731,578/female 2,361,435) (2006 est.) |
| Median age: | total: 22.2 years |
| Median age: | male: 22.2 years |
| Median age: | female: 22.2 years (2006 est.) |
| Population growth rate: | 2.09% (2006 est.) |
| Birth rate: | 29.8 births/1,000 population (2006 est.) |
| Death rate: | 8.27 deaths/1,000 population (2006 est.) |
| Net migration rate: | -0.68 migrant(s)/1,000 population (2006 est.) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | under 15 years: 1.06 male(s)/female |
| Sex ratio: | 15-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 1.16 male(s)/female |
| Sex ratio: | total population: 1.05 male(s)/female (2006 est.) |
| Infant mortality rate: | total: 60.83 deaths/1,000 live births |
| Infant mortality rate: | male: 61.87 deaths/1,000 live births |
| Infant mortality rate: | female: 59.74 deaths/1,000 live births (2006 est.) |
| Life expectancy at birth: | total population: 62.46 years |
| Life expectancy at birth: | male: 62.47 years |
| Life expectancy at birth: | female: 62.45 years (2006 est.) |
| Total fertility rate: | 3.11 children born/woman (2006 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 13,000 (2001 est.) |
| HIV/AIDS - deaths: | 650 (2001 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria are high risks in some locations |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies (2005) |
| Nationality: | noun: Bangladeshi(s) |
| Nationality: | adjective: Bangladeshi |
| Ethnic groups: | Bengali 98%, tribal groups, non-Bengali Muslims (1998) |
| Religions: | Muslim 83%, Hindu 16%, other 1% (1998) |
| Languages: | Bangla (official, also known as Bengali), English |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 43.1% |
| Literacy: | male: 53.9% |
| Literacy: | female: 31.8% (2003 est.) |
