| People and Society | Bangladesh |
| --- | --- |
| Population: | 162,650,853 (July 2020 est.) |
| Nationality: | noun: Bangladeshi(s) |
| Nationality: | adjective: Bangladeshi |
| Ethnic groups: | Bengali at least 98%, other indigenous ethnic groups 1.1% (2011 est.) |
| Ethnic groups: | note: Bangladesh's government recognizes 27 indigenous ethnic groups under the 2010 Cultural Institution for Small Anthropological Groups Act; other sources estimate there are about 75 ethnic groups; critics of the 2011 census claim that it underestimates the size of Bangladesh's ethnic population |
| Languages: | Bangla 98.8% (official, also known as Bengali), other 1.2% (2011 est.) |
| Religions: | Muslim 89.1%, Hindu 10%, other 0.9% (includes Buddhist, Christian) (2013 est.) |
| Age structure: | 0-14 years: 26.48% (male 21,918,651/female 21,158,574) |
| Age structure: | 15-24 years: 18.56% (male 15,186,470/female 15,001,950) |
| Age structure: | 25-54 years: 40.72% (male 31,694,267/female 34,535,643) |
| Age structure: | 55-64 years: 7.41% (male 5,941,825/female 6,115,856) |
| Age structure: | 65 years and over: 6.82% (male 5,218,206/female 5,879,411) (2020 est.) |
| Dependency ratios: | total dependency ratio: 47 |
| Dependency ratios: | youth dependency ratio: 39.3 |
| Dependency ratios: | elderly dependency ratio: 7.7 |
| Dependency ratios: | potential support ratio: 13 (2020 est.) |
| Median age: | total: 27.9 years |
| Median age: | male: 27.1 years |
| Median age: | female: 28.6 years (2020 est.) |
| Population growth rate: | 0.98% (2020 est.) |
| Birth rate: | 18.1 births/1,000 population (2020 est.) |
| Death rate: | 5.5 deaths/1,000 population (2020 est.) |
| Net migration rate: | -3 migrant(s)/1,000 population (2020 est.) |
| Urbanization: | urban population: 38.2% of total population (2020) |
| Urbanization: | rate of urbanization: 3.17% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 21.006 million DHAKA (capital),Â 5.020 million Chittagong, 954,000 Khulna, 908,000 Rajshahi, 852,000 Sylhet (2020) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 18.5 years (2014 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 173 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 28.3 deaths/1,000 live births |
| Infant mortality rate: | male: 30.6 deaths/1,000 live births |
| Infant mortality rate: | female: 26 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 74.2 years |
| Life expectancy at birth: | male: 72 years |
| Life expectancy at birth: | female: 76.5 years (2020 est.) |
| Total fertility rate: | 2.11 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 62.3% (2014) |
| Drinking water source: | improved: urban: 98.9% of population |
| Drinking water source: | rural: 98.4% of population |
| Drinking water source: | total: 98.6% of population |
| Drinking water source: | unimproved: urban: 1.1% of population |
| Drinking water source: | rural: 1.6% of population |
| Drinking water source: | total: 1.4% of population (2017 est.) |
| Current Health Expenditure: | 2.3% (2017) |
| Physicians density: | 0.54 physicians/1,000 population (2017) |
| Hospital bed density: | 0.8 beds/1,000 population (2016) |
| Sanitation facility access: | improved: urban: 82.5% of population |
| Sanitation facility access: | rural: 64.4% of population |
| Sanitation facility access: | total: 70.9% of population |
| Sanitation facility access: | unimproved: urban: 17.5% of population |
| Sanitation facility access: | rural: 35.6% of population |
| Sanitation facility access: | total: 29.1% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 14,000 (2018 est.) |
| HIV/AIDS - deaths: | <1000 (2018 est.) |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria are high risks in some locations |
| Major infectious diseases: | water contact diseases: leptospirosis |
| Major infectious diseases: | animal contact diseases: rabies |
| Major infectious diseases: | note: widespread ongoing transmission of a respiratory illness caused by the novel coronavirus (COVID-19) is occurring throughout Bangladesh; as of 8 December 2020, Bangladesh has reported a total of 475,879 cases of COVID-19 or 2,890 cumulative cases of COVID-19 per 1 million population with 41 cumulative deaths per 1 million population |
| Obesity - adult prevalence rate: | 3.6% (2016) |
| Children under the age of 5 years underweight: | 21.9% (2017/18) |
| Education expenditures: | 1.3% of GDP (2019) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 73.9% |
| Literacy: | male: 76.7% |
| Literacy: | female: 71.2% (2018) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2018) |
| Unemployment, youth ages 15-24: | total: 12.8% |
| Unemployment, youth ages 15-24: | male: 10.8% |
| Unemployment, youth ages 15-24: | female: 16.8% (2017 est.) |
