| People and Society | BANGLADESH |
| --- | --- |
| Nationality: | noun: Bangladeshi(s) |
| Nationality: | adjective: Bangladeshi |
| Ethnic groups: | Bengali at least 98%, ethnic groups 1.1% |
| Ethnic groups: | note: Bangladesh's goverment recognizes 27 ethnic groups under the 2010 Cultural Institution for Small Anthropological Groups Act; other sources estimate there are about 75 ethnic groups; critics of the 2011 census claim that it underestimates the size of Bangladesh's ethnic population (2011 est.) |
| Languages: | Bangla 98.8% (official, also known as Bengali), other 1.2% (2011 est.) |
| Religions: | Muslim 89.5%, Hindu 9.6%, other 0.9% (includes Buddhist .5%, Christian .3%) (2004 est.) |
| Population: | 168,957,745 (July 2015 est.) |
| Age structure: | 0-14 years: 31.62% (male 27,115,731/female 26,311,130) |
| Age structure: | 15-24 years: 18.86% (male 14,976,910/female 16,880,807) |
| Age structure: | 25-54 years: 38.27% (male 30,608,224/female 34,053,744) |
| Age structure: | 55-64 years: 6.12% (male 5,196,932/female 5,150,199) |
| Age structure: | 65 years and over: 5.13% (male 4,258,664/female 4,405,404) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 52.2% |
| population pyramid: | youth dependency ratio: 44.9% |
| population pyramid: | elderly dependency ratio: 7.6% |
| population pyramid: | potential support ratio: 13.2% (2015 est.) |
| Median age: | total: 24.7 years |
| Median age: | male: 24.2 years |
| Median age: | female: 25.1 years (2015 est.) |
| Population growth rate: | 1.6% (2015 est.) |
| Birth rate: | 21.14 births/1,000 population (2015 est.) |
| Death rate: | 5.61 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0.46 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 34.3% of total population (2015) |
| Urbanization: | rate of urbanization: 3.55% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DHAKA (capital) 17.598 million; Chittagong 4.539 million; Khulna 1.022 million; Rajshahi 844,000 (2015) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 0.89 male(s)/female |
| Sex ratio: | 25-54 years: 0.9 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.97 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 44.09 deaths/1,000 live births |
| Infant mortality rate: | male: 46.56 deaths/1,000 live births |
| Infant mortality rate: | female: 41.53 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 70.94 years |
| Life expectancy at birth: | male: 69.02 years |
| Life expectancy at birth: | female: 72.94 years (2015 est.) |
| Total fertility rate: | 2.4 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 61.2% (2011) |
| Health expenditures: | 3.7% of GDP (2013) |
| Physicians density: | 0.36 physicians/1,000 population (2011) |
| Hospital bed density: | 0.6 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 86.5% of population |
| Drinking water source: | rural: 87% of population |
| Drinking water source: | total: 86.9% of population |
| unimproved: | urban: 13.5% of population |
| unimproved: | rural: 13% of population |
| unimproved: | total: 13.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 57.7% of population |
| Sanitation facility access: | rural: 62.1% of population |
| Sanitation facility access: | total: 60.6% of population |
| unimproved: | urban: 42.3% of population |
| unimproved: | rural: 37.9% of population |
| unimproved: | total: 39.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.01% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,900 (2014 est.) |
| HIV/AIDS - deaths: | 700 (2014 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria are high risks in some locations |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 3.3% (2014) |
| Children under the age of 5 years underweight: | 35.1% (2013) |
| Education expenditures: | 2.2% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 61.5% |
| Literacy: | male: 64.6% |
| Literacy: | female: 58.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2011) |
| Child labor - children ages 5-14: | total number: 4,485,497 |
| Child labor - children ages 5-14: | percentage: 13% (2006 est.) |
| Unemployment, youth ages 15-24: | total: 9.3% |
| Unemployment, youth ages 15-24: | male: 8% |
| Unemployment, youth ages 15-24: | female: 13.6% (2005 est.) |
