| People and Society | Haiti |
| --- | --- |
| Population: | 11,067,777 (July 2020 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Haitian(s) |
| Nationality: | adjective: Haitian |
| Ethnic groups: | Black 95%, mixed and White 5% |
| Languages: | French (official), Creole (official) |
| Religions: | Roman Catholic 54.7%, Protestant 28.5% (Baptist 15.4%, Pentecostal 7.9%, Adventist 3%, Methodist 1.5%, other 0.7%), Vodou 2.1%, other 4.6%, none 10.2% (2003 est.) |
| Religions: | note: many Haitians practice elements of Vodou in addition to another religion, most often Roman Catholicism; Vodou was recognized as an official religion in 2003 |
| Age structure: | 0-14 years: 31.21% (male 1,719,961/female 1,734,566) |
| Age structure: | 15-24 years: 20.71% (male 1,145,113/female 1,146,741) |
| Age structure: | 25-54 years: 38.45% (male 2,110,294/female 2,145,209) |
| Age structure: | 55-64 years: 5.3% (male 280,630/female 305,584) |
| Age structure: | 65 years and over: 4.33% (male 210,451/female 269,228) (2020 est.) |
| Dependency ratios: | total dependency ratio: 60.4 |
| Dependency ratios: | youth dependency ratio: 52.1 |
| Dependency ratios: | elderly dependency ratio: 8.3 |
| Dependency ratios: | potential support ratio: 13.3 (2020 est.) |
| Median age: | total: 24.1 years |
| Median age: | male: 23.8 years |
| Median age: | female: 24.3 years (2020 est.) |
| Population growth rate: | 1.26% (2020 est.) |
| Birth rate: | 21.7 births/1,000 population (2020 est.) |
| Death rate: | 7.4 deaths/1,000 population (2020 est.) |
| Net migration rate: | -1.9 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | fairly even distribution; largest concentrations located near coastal areas |
| Urbanization: | urban population: 57.1% of total population (2020) |
| Urbanization: | rate of urbanization: 2.9% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 2.774 million PORT-AU-PRINCE (capital) (2020) |
| Sex ratio: | at birth: 1.01 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 22.8 years (2016/7 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 480 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 42.6 deaths/1,000 live births |
| Infant mortality rate: | male: 48.5 deaths/1,000 live births |
| Infant mortality rate: | female: 36.6 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 65.3 years |
| Life expectancy at birth: | male: 62.6 years |
| Life expectancy at birth: | female: 68 years (2020 est.) |
| Total fertility rate: | 2.52 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 34.3% (2016/17) |
| Drinking water source: | improved: urban: 91.5% of population |
| Drinking water source: | rural: 55.4% of population |
| Drinking water source: | total: 75% of population |
| Drinking water source: | unimproved: urban: 8.5% of population |
| Drinking water source: | rural: 44.6% of population |
| Drinking water source: | total: 25% of population (2017 est.) |
| Current Health Expenditure: | 8% (2017) |
| Physicians density: | 0.23 physicians/1,000 population (2018) |
| Hospital bed density: | 0.7 beds/1,000 population (2013) |
| Sanitation facility access: | improved: urban: 80.6% of population |
| Sanitation facility access: | rural: 40% of population |
| Sanitation facility access: | total: 62.1% of population |
| Sanitation facility access: | unimproved: urban: 19.4% of population |
| Sanitation facility access: | rural: 60% of population |
| Sanitation facility access: | total: 37.9% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 1.9% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 160,000 (2019 est.) |
| HIV/AIDS - deaths: | 2,700 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Obesity - adult prevalence rate: | 22.7% (2016) |
| Children under the age of 5 years underweight: | 9.5% (2017) |
| Education expenditures: | 2.8% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 61.7% |
| Literacy: | male: 65.3% |
| Literacy: | female: 58.3% (2016) |
