| People | Haiti |
| --- | --- |
| Population: | 9,719,932 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (2011 est.) |
| Age structure: | 0-14 years: 38.1% (male 1,735,917/female 1,704,383) |
| Age structure: | 15-64 years: 58.5% (male 2,621,059/female 2,665,447) |
| Age structure: | 65 years and over: 3.4% (male 120,040/female 188,690) (2010 est.) |
| Median age: | total: 21.1 years |
| Median age: | male: 20.9 years |
| Median age: | female: 21.4 years (2010 est.) |
| Population growth rate: | 0.787% |
| Population growth rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2011 est.) |
| Birth rate: | 24.4 births/1,000 population (2011 est.) |
| Death rate: | 8.21 deaths/1,000 population |
| Death rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2011 est.) |
| Net migration rate: | -8.32 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 47% of total population (2008) |
| Urbanization: | rate of urbanization: 4.5% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.011 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 54.02 deaths/1,000 live births |
| Infant mortality rate: | male: 58.16 deaths/1,000 live births |
| Infant mortality rate: | female: 49.83 deaths/1,000 live births |
| Infant mortality rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2011 est.) |
| Life expectancy at birth: | total population: 62.17 years |
| Life expectancy at birth: | male: 60.84 years |
| Life expectancy at birth: | female: 63.53 years |
| Life expectancy at birth: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2011 est.) |
| Total fertility rate: | 3.07 children born/woman (2011 est.) |
| HIV/AIDS - adult prevalence rate: | 2.2% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 120,000 (2007 est.) |
| HIV/AIDS - deaths: | 7,200 (2007 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2009) |
| Nationality: | noun: Haitian(s) |
| Nationality: | adjective: Haitian |
| Ethnic groups: | black 95%, mulatto and white 5% |
| Religions: | Roman Catholic 80%, Protestant 16% (Baptist 10%, Pentecostal 4%, Adventist 1%, other 1%), none 1%, other 3% |
| Religions: | note: roughly half of the population practices voodoo |
| Languages: | French (official), Creole (official) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 52.9% |
| Literacy: | male: 54.8% |
| Literacy: | female: 51.2% (2003 est.) |
| Education expenditures: | 1.4% of GDP (1991) |
