| People and Society | Haiti |
| --- | --- |
| Nationality: | noun: Haitian(s) |
| Nationality: | adjective: Haitian |
| Ethnic groups: | black 95%, mulatto and white 5% |
| Languages: | French (official), Creole (official) |
| Religions: | Roman Catholic 80%, Protestant 16% (Baptist 10%, Pentecostal 4%, Adventist 1%, other 1%), none 1%, other 3% |
| Religions: | note: roughly half of the population practices voodoo |
| Population: | 9,893,934 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 34.6% (male 1,716,917/female 1,708,978) |
| Age structure: | 15-24 years: 21.5% (male 1,064,069/female 1,066,614) |
| Age structure: | 25-54 years: 34.8% (male 1,713,478/female 1,729,432) |
| Age structure: | 55-64 years: 5% (male 235,278/female 258,330) |
| Age structure: | 65 years and over: 4.1% (male 178,842/female 221,996) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 65.2 % |
| population pyramid: | youth dependency ratio: 57.8 % |
| population pyramid: | elderly dependency ratio: 7.5 % |
| population pyramid: | potential support ratio: 13.4 (2013) |
| Median age: | total: 21.9 years |
| Median age: | male: 21.6 years |
| Median age: | female: 22.1 years (2013 est.) |
| Population growth rate: | 0.99% |
| Population growth rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2013 est.) |
| Birth rate: | 23.35 births/1,000 population (2013 est.) |
| Death rate: | 8 deaths/1,000 population (2013 est.) |
| Net migration rate: | -5.5 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 52% of total population (2010) |
| Urbanization: | rate of urbanization: 3.9% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PORT-AU-PRINCE (capital) 2.143 million (2010) |
| Sex ratio: | at birth: 1.01 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 22.7 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2012) |
| Maternal mortality rate: | 350 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 50.92 deaths/1,000 live births |
| Infant mortality rate: | male: 54.85 deaths/1,000 live births |
| Infant mortality rate: | female: 46.94 deaths/1,000 live births |
| Infant mortality rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2013 est.) |
| Life expectancy at birth: | total population: 62.85 years |
| Life expectancy at birth: | male: 61.46 years |
| Life expectancy at birth: | female: 64.25 years |
| Life expectancy at birth: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2013 est.) |
| Total fertility rate: | 2.88 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 34.5% (2012) |
| Health expenditures: | 7.9% of GDP (2011) |
| Physicians density: | 0.25 physicians/1,000 population (1998) |
| Hospital bed density: | 1.3 beds/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 85% of population |
| Drinking water source: | rural: 51% of population |
| Drinking water source: | total: 69% of population |
| unimproved: | urban: 15% of population |
| unimproved: | rural: 49% of population |
| unimproved: | total: 31% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 24% of population |
| Sanitation facility access: | rural: 10% of population |
| Sanitation facility access: | total: 17% of population |
| unimproved: | urban: 76% of population |
| unimproved: | rural: 90% of population |
| unimproved: | total: 83% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.9% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 120,000 (2009 est.) |
| HIV/AIDS - deaths: | 7,100 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2013) |
| Obesity - adult prevalence rate: | 7.9% (2008) |
| Children under the age of 5 years underweight: | 18.9% (2006) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 48.7% |
| Literacy: | male: 53.4% |
| Literacy: | female: 44.6% (2006 est.) |
| Child labor - children ages 5-14: | total number: 2,587,205 |
| Child labor - children ages 5-14: | percentage: 21 % (2006 est.) |
