| People and Society | Haiti |
| --- | --- |
| Nationality: | noun: Haitian(s) |
| Nationality: | adjective: Haitian |
| Ethnic groups: | black 95%, mulatto and white 5% |
| Languages: | French (official), Creole (official) |
| Religions: | Roman Catholic 80%, Protestant 16% (Baptist 10%, Pentecostal 4%, Adventist 1%, other 1%), none 1%, other 3% |
| Religions: | note: roughly half of the population practices voodoo |
| Population: | 9,996,731 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.) |
| Age structure: | 0-14 years: 34% (male 1,701,559/female 1,693,236) |
| Age structure: | 15-24 years: 21.6% (male 1,078,994/female 1,081,005) |
| Age structure: | 25-54 years: 35.3% (male 1,755,722/female 1,770,386) |
| Age structure: | 55-64 years: 5% (male 241,174/female 263,369) |
| Age structure: | 65 years and over: 4.1% (male 183,627/female 227,659) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 64.2 % |
| population pyramid: | youth dependency ratio: 56.7 % |
| population pyramid: | elderly dependency ratio: 7.5 % |
| population pyramid: | potential support ratio: 13.4 (2014 est.) |
| Median age: | total: 22.2 years |
| Median age: | male: 22 years |
| Median age: | female: 22.4 years (2014 est.) |
| Population growth rate: | 1.08% |
| Population growth rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2014 est.) |
| Birth rate: | 22.83 births/1,000 population (2014 est.) |
| Death rate: | 7.91 deaths/1,000 population (2014 est.) |
| Net migration rate: | -4.12 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 53.4% of total population (2011) |
| Urbanization: | rate of urbanization: 3.68% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PORT-AU-PRINCE (capital) 2.207 million (2011) |
| Sex ratio: | at birth: 1.01 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 22.7 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2012) |
| Maternal mortality rate: | 350 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 49.43 deaths/1,000 live births |
| Infant mortality rate: | male: 53.26 deaths/1,000 live births |
| Infant mortality rate: | female: 45.56 deaths/1,000 live births |
| Infant mortality rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2014 est.) |
| Life expectancy at birth: | total population: 63.18 years |
| Life expectancy at birth: | male: 61.77 years |
| Life expectancy at birth: | female: 64.6 years |
| Life expectancy at birth: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2014 est.) |
| Total fertility rate: | 2.79 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 34.5% (2012) |
| Health expenditures: | 7.9% of GDP (2011) |
| Physicians density: | 0.25 physicians/1,000 population (1998) |
| Hospital bed density: | 1.3 beds/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 74.6% of population |
| Drinking water source: | rural: 47.5% of population |
| Drinking water source: | total: 62.4% of population |
| unimproved: | urban: 25.4% of population |
| unimproved: | rural: 52.5% of population |
| unimproved: | total: 37.6% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 31% of population |
| Sanitation facility access: | rural: 16.3% of population |
| Sanitation facility access: | total: 24.4% of population |
| unimproved: | urban: 69% of population |
| unimproved: | rural: 83.7% of population |
| unimproved: | total: 75.6% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 2.1% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 146,000 (2012 est.) |
| HIV/AIDS - deaths: | 7,500 (2012 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2013) |
| Obesity - adult prevalence rate: | 7.9% (2008) |
| Children under the age of 5 years underweight: | 18.9% (2006) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 48.7% |
| Literacy: | male: 53.4% |
| Literacy: | female: 44.6% (2006 est.) |
| Child labor - children ages 5-14: | total number: 2,587,205 |
| Child labor - children ages 5-14: | percentage: 21 % (2006 est.) |
