| People and Society | HAITI |
| --- | --- |
| Nationality: | noun: Haitian(s) |
| Nationality: | adjective: Haitian |
| Ethnic groups: | black 95%, mulatto and white 5% |
| Languages: | French (official), Creole (official) |
| Religions: | Roman Catholic (official) 54.7%, Protestant 28.5% (Baptist 15.4%, Pentecostal 7.9%, Adventist 3%, Methodist 1.5%, other .7%), voodoo (official) 2.1%, other 4.6%, none 10.2% |
| Religions: | note: many Haitians practice elements of voodoo in addition to another religion, most often Roman Catholicism; voodoo was recognized as an official religion in 2003 |
| Population: | 10,110,019 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 33.28% (male 1,686,647/female 1,678,156) |
| Age structure: | 15-24 years: 21.64% (male 1,093,024/female 1,094,591) |
| Age structure: | 25-54 years: 35.78% (male 1,801,988/female 1,815,819) |
| Age structure: | 55-64 years: 5.11% (male 247,588/female 269,103) |
| Age structure: | 65 years and over: 4.18% (male 188,952/female 234,151) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 62.3% |
| population pyramid: | youth dependency ratio: 54.8% |
| population pyramid: | elderly dependency ratio: 7.5% |
| population pyramid: | potential support ratio: 13.3% (2015 est.) |
| Median age: | total: 22.5 years |
| Median age: | male: 22.3 years |
| Median age: | female: 22.7 years (2015 est.) |
| Population growth rate: | 1.17% |
| Population growth rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2015 est.) |
| Birth rate: | 22.31 births/1,000 population (2015 est.) |
| Death rate: | 7.83 deaths/1,000 population (2015 est.) |
| Net migration rate: | -2.76 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 58.6% of total population (2015) |
| Urbanization: | rate of urbanization: 3.78% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PORT-AU-PRINCE (capital) 2.44 million (2015) |
| Sex ratio: | at birth: 1.01 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2015 est.) |
| Maternal mortality rate: | 359 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 47.98 deaths/1,000 live births |
| Infant mortality rate: | male: 51.71 deaths/1,000 live births |
| Infant mortality rate: | female: 44.21 deaths/1,000 live births |
| Infant mortality rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2015 est.) |
| Life expectancy at birth: | total population: 63.51 years |
| Life expectancy at birth: | male: 62.07 years |
| Life expectancy at birth: | female: 64.95 years (2015 est.) |
| Total fertility rate: | 2.69 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 34.5% (2012) |
| Health expenditures: | 9.4% of GDP (2013) |
| Hospital bed density: | 1.3 beds/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 64.9% of population |
| Drinking water source: | rural: 47.6% of population |
| Drinking water source: | total: 57.7% of population |
| unimproved: | urban: 35.1% of population |
| unimproved: | rural: 52.4% of population |
| unimproved: | total: 42.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 33.6% of population |
| Sanitation facility access: | rural: 19.2% of population |
| Sanitation facility access: | total: 27.6% of population |
| unimproved: | urban: 66.4% of population |
| unimproved: | rural: 80.8% of population |
| unimproved: | total: 72.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.93% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 141,300 (2014 est.) |
| HIV/AIDS - deaths: | 3,800 (2014 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2013) |
| Obesity - adult prevalence rate: | 10.7% (2014) |
| Children under the age of 5 years underweight: | 11.6% (2012) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 60.7% |
| Literacy: | male: 64.3% |
| Literacy: | female: 57.3% (2015 est.) |
| Child labor - children ages 5-14: | total number: 2,587,205 |
| Child labor - children ages 5-14: | percentage: 21% (2006 est.) |
