| People and Society | Haiti |
| --- | --- |
| Nationality: | noun: Haitian(s) |
| Nationality: | adjective: Haitian |
| Ethnic groups: | black 95%, mulatto and white 5% |
| Languages: | French (official), Creole (official) |
| Religions: | Roman Catholic 80%, Protestant 16% (Baptist 10%, Pentecostal 4%, Adventist 1%, other 1%), none 1%, other 3% |
| Religions: | note: roughly half of the population practices voodoo |
| Population: | 9,801,664 (July 2012 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 35.3% (male 1,732,645/ female 1,725,313) |
| Age structure: | 15-64 years: 60.7% (male 2,953,603/ female 2,998,528) |
| Age structure: | 65 years and over: 4% (male 174,483/ female 217,092) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 21.6 years |
| Median age: | male: 21.4 years |
| Median age: | female: 21.9 years (2012 est.) |
| Population growth rate: | 0.888% |
| Population growth rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2012 est.) |
| Birth rate: | 23.87 births/1,000 population (2012 est.) |
| Death rate: | 8.1 deaths/1,000 population |
| Death rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (July 2012 est.) |
| Net migration rate: | -6.9 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 52% of total population (2010) |
| Urbanization: | rate of urbanization: 3.9% annual rate of change (2010-15 est.) |
| Major cities - population: | PORT-AU-PRINCE (capital) 2.143 million (2010) |
| Sex ratio: | at birth: 1.01 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2011 est.) |
| Maternal mortality rate: | 350 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 52.44 deaths/1,000 live births |
| Infant mortality rate: | male: 56.47 deaths/1,000 live births |
| Infant mortality rate: | female: 48.37 deaths/1,000 live births |
| Infant mortality rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2012 est.) |
| Life expectancy at birth: | total population: 62.51 years |
| Life expectancy at birth: | male: 61.15 years |
| Life expectancy at birth: | female: 63.89 years |
| Life expectancy at birth: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2012 est.) |
| Total fertility rate: | 2.98 children born/woman (2012 est.) |
| Health expenditures: | 6% of GDP (2009) |
| Physicians density: | 0.25 physicians/1,000 population (1998) |
| Hospital bed density: | 1.3 beds/1,000 population (2007) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 24% of population |
| Sanitation facility access: | rural: 10% of population |
| Sanitation facility access: | total: 17% of population |
| unimproved: | urban: 76% of population |
| unimproved: | rural: 90% of population |
| unimproved: | total: 83% of population |
| HIV/AIDS - adult prevalence rate: | 1.9% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 120,000 (2009 est.) |
| HIV/AIDS - deaths: | 7,100 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2009) |
| Children under the age of 5 years underweight: | 18.9% (2006) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 52.9% |
| Literacy: | male: 54.8% |
| Literacy: | female: 51.2% (2003 est.) |
