| People and Society | Saint Kitts and Nevis |
| --- | --- |
| Nationality: | noun: Kittitian(s), Nevisian(s) |
| Nationality: | adjective: Kittitian, Nevisian |
| Ethnic groups: | predominantly black; some British, Portuguese, and Lebanese |
| Languages: | English (official) |
| Religions: | Anglican, other Protestant, Roman Catholic |
| Population: | 51,134 (July 2013 est.) |
| Age structure: | 0-14 years: 21.9% (male 5,596/female 5,589) |
| Age structure: | 15-24 years: 15.6% (male 3,940/female 4,042) |
| Age structure: | 25-54 years: 45.2% (male 11,782/female 11,353) |
| Age structure: | 55-64 years: 9.5% (male 2,464/female 2,401) |
| Age structure: | 65 years and over: 7.8% (male 1,771/female 2,196) (2013 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 33 years |
| population pyramid: | male: 33.1 years |
| population pyramid: | female: 32.9 years (2013 est.) |
| Population growth rate: | 0.8% (2013 est.) |
| Birth rate: | 13.79 births/1,000 population (2013 est.) |
| Death rate: | 7.06 deaths/1,000 population (2013 est.) |
| Net migration rate: | 1.23 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 32% of total population (2010) |
| Urbanization: | rate of urbanization: 1.8% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BASSETERRE (capital) 13,000 (2009) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 9.2 deaths/1,000 live births |
| Infant mortality rate: | male: 6.2 deaths/1,000 live births |
| Infant mortality rate: | female: 12.27 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 75.07 years |
| Life expectancy at birth: | male: 72.67 years |
| Life expectancy at birth: | female: 77.5 years (2013 est.) |
| Total fertility rate: | 1.78 children born/woman (2013 est.) |
| Health expenditures: | 4.4% of GDP (2011) |
| Physicians density: | 1.17 physicians/1,000 population (2001) |
| Hospital bed density: | 4.8 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 1% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | rural: 96% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 4% of population |
| unimproved: | total: 4% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 40.7% (2008) |
| Education expenditures: | 4.2% of GDP (2007) |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 97.8% |
| Literacy: | male: NA |
| Literacy: | female: NA (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2008) |
