| People and Society | Turkmenistan |
| --- | --- |
| Nationality: | noun: Turkmen(s) |
| Nationality: | adjective: Turkmen |
| Ethnic groups: | Turkmen 85%, Uzbek 5%, Russian 4%, other 6% (2003) |
| Languages: | Turkmen (official) 72%, Russian 12%, Uzbek 9%, other 7% |
| Religions: | Muslim 89%, Eastern Orthodox 9%, unknown 2% |
| Population: | 5,113,040 (July 2013 est.) |
| Age structure: | 0-14 years: 26.7% (male 690,673/female 673,271) |
| Age structure: | 15-24 years: 20.8% (male 535,131/female 528,473) |
| Age structure: | 25-54 years: 41.8% (male 1,058,811/female 1,079,697) |
| Age structure: | 55-64 years: 6.5% (male 157,474/female 176,088) |
| Age structure: | 65 years and over: 4.2% (male 92,891/female 120,531) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 48.3 % |
| population pyramid: | youth dependency ratio: 42.2 % |
| population pyramid: | elderly dependency ratio: 6.1 % |
| population pyramid: | potential support ratio: 16.5 (2013) |
| Median age: | total: 26.2 years |
| Median age: | male: 25.8 years |
| Median age: | female: 26.6 years (2013 est.) |
| Population growth rate: | 1.15% (2013 est.) |
| Birth rate: | 19.53 births/1,000 population (2013 est.) |
| Death rate: | 6.18 deaths/1,000 population (2013 est.) |
| Net migration rate: | -1.88 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 48.7% of total population (2011) |
| Urbanization: | rate of urbanization: 1.91% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ASHGABAT (capital) 637,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 24.6 (2006 est.) |
| Maternal mortality rate: | 67 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 39.48 deaths/1,000 live births |
| Infant mortality rate: | male: 47.17 deaths/1,000 live births |
| Infant mortality rate: | female: 31.41 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 69.16 years |
| Life expectancy at birth: | male: 66.18 years |
| Life expectancy at birth: | female: 72.29 years (2013 est.) |
| Total fertility rate: | 2.12 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 61.8% (2000) |
| Health expenditures: | 2.7% of GDP (2011) |
| Physicians density: | 2.44 physicians/1,000 population (2007) |
| Hospital bed density: | 4.1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97% of population |
| Drinking water source: | rural: 72% of population |
| Drinking water source: | total: 83% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 28% of population |
| unimproved: | total: 17% of population (2000 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99% of population |
| Sanitation facility access: | rural: 97% of population |
| Sanitation facility access: | total: 98% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 3% of population |
| unimproved: | total: 2% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 200 (2007 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2004 est.) |
| Obesity - adult prevalence rate: | 13.2% (2008) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.6% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.5% (2011 est.) |
