| People and Society | BAHAMAS, THE |
| --- | --- |
| Nationality: | noun: Bahamian(s) |
| Nationality: | adjective: Bahamian |
| Ethnic groups: | black 90.6%, white 4.7%, black and white 2.1%, other 1.9%, unspecified 0.7% (2010 est.) |
| Languages: | English (official), Creole (among Haitian immigrants) |
| Religions: | Protestant 69.9% (includes Baptist 34.9%, Anglican 13.7%, Pentecostal 8.9% Seventh Day Adventist 4.4%, Methodist 3.6%, Church of God 1.9%, Brethren 1.6%), Roman Catholic 12%, other Christian 13% (includes Jehovah's Witness 1.1%), other 0.6%, none 1.9%, unspecified 2.6% (2010 est.) |
| Population: | 324,597 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 22.98% (male 37,838/female 36,747) |
| Age structure: | 15-24 years: 17.15% (male 28,195/female 27,459) |
| Age structure: | 25-54 years: 44.08% (male 71,528/female 71,555) |
| Age structure: | 55-64 years: 8.58% (male 12,429/female 15,436) |
| Age structure: | 65 years and over: 7.21% (male 8,981/female 14,429) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 41.2% |
| population pyramid: | youth dependency ratio: 29.6% |
| population pyramid: | elderly dependency ratio: 11.7% |
| population pyramid: | potential support ratio: 8.5% (2015 est.) |
| Median age: | total: 31.5 years |
| Median age: | male: 30.4 years |
| Median age: | female: 32.6 years (2015 est.) |
| Population growth rate: | 0.85% (2015 est.) |
| Birth rate: | 15.5 births/1,000 population (2015 est.) |
| Death rate: | 7.05 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 82.9% of total population (2015) |
| Urbanization: | rate of urbanization: 1.53% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NASSAU (capital) 267,000 (2014) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.81 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2015 est.) |
| Maternal mortality rate: | 80 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 11.92 deaths/1,000 live births |
| Infant mortality rate: | male: 11.75 deaths/1,000 live births |
| Infant mortality rate: | female: 12.1 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 72.2 years |
| Life expectancy at birth: | male: 69.77 years |
| Life expectancy at birth: | female: 74.7 years (2015 est.) |
| Total fertility rate: | 1.96 children born/woman (2015 est.) |
| Health expenditures: | 7.3% of GDP (2013) |
| Physicians density: | 2.82 physicians/1,000 population (2008) |
| Hospital bed density: | 2.9 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.4% of population |
| Drinking water source: | rural: 98.4% of population |
| Drinking water source: | total: 98.4% of population |
| unimproved: | urban: 1.6% of population |
| unimproved: | rural: 1.6% of population |
| unimproved: | total: 1.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 92% of population |
| Sanitation facility access: | rural: 92% of population |
| Sanitation facility access: | total: 92% of population |
| unimproved: | urban: 8% of population |
| unimproved: | rural: 8% of population |
| unimproved: | total: 8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 3.22% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 7,700 (2013 est.) |
| HIV/AIDS - deaths: | 500 (2013 est.) |
| Obesity - adult prevalence rate: | 36.6% (2014) |
| Education expenditures: | NA |
| Unemployment, youth ages 15-24: | total: 30.8% |
| Unemployment, youth ages 15-24: | male: 29.6% |
| Unemployment, youth ages 15-24: | female: 32.2% (2012 est.) |
