| People and Society | BAHAMAS, THE |
| --- | --- |
| Population: | 329,988 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.) |
| Nationality: | noun: Bahamian(s) |
| Nationality: | adjective: Bahamian |
| Ethnic groups: | black 90.6%, white 4.7%, black and white 2.1%, other 1.9%, unspecified 0.7% (2010 est.) |
| Languages: | English (official), Creole (among Haitian immigrants) |
| Religions: | Protestant 69.9% (includes Baptist 34.9%, Anglican 13.7%, Pentecostal 8.9% Seventh Day Adventist 4.4%, Methodist 3.6%, Church of God 1.9%, Brethren 1.6%), Roman Catholic 12%, other Christian 13% (includes Jehovah's Witness 1.1%), other 0.6%, none 1.9%, unspecified 2.6% (2010 est.) |
| Age structure: | 0-14 years: 22.55% (male 37,760/female 36,667) |
| Age structure: | 15-24 years: 16.4% (male 27,415/female 26,703) |
| Age structure: | 25-54 years: 44.14% (male 73,016/female 72,626) |
| Age structure: | 55-64 years: 9.16% (male 13,647/female 16,567) |
| Age structure: | 65 years and over: 7.75% (male 9,843/female 15,744) (2017 est.) |
| Dependency ratios: | total dependency ratio: 40.8 |
| Dependency ratios: | youth dependency ratio: 29.1 |
| Dependency ratios: | elderly dependency ratio: 11.7 |
| Dependency ratios: | potential support ratio: 8.5 (2015 est.) |
| Median age: | total: 32 years |
| Median age: | male: 30.9 years |
| Median age: | female: 33.2 years (2017 est.) |
| Population growth rate: | 0.81% (2017 est.) |
| Birth rate: | 15.3 births/1,000 population (2017 est.) |
| Death rate: | 7.2 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of the population lives in urban areas, with two-thirds living on New Providence Island where Nassau is located |
| Urbanization: | urban population: 83% of total population (2017) |
| Urbanization: | rate of urbanization: 1.21% annual rate of change (2015-20 est.) |
| Major urban areas - population: | NASSAU (capital) 267,000 (2014) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.81 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2016 est.) |
| Maternal mortality rate: | 80 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 11.3 deaths/1,000 live births |
| Infant mortality rate: | male: 11.4 deaths/1,000 live births |
| Infant mortality rate: | female: 11.3 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 72.6 years |
| Life expectancy at birth: | male: 70.2 years |
| Life expectancy at birth: | female: 75.1 years (2017 est.) |
| Total fertility rate: | 1.94 children born/woman (2017 est.) |
| Health expenditures: | 7.7% of GDP (2014) |
| Physicians density: | 2.72 physicians/1,000 population (2008) |
| Hospital bed density: | 2.9 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.4% of population |
| Drinking water source: | rural: 98.4% of population |
| Drinking water source: | total: 98.4% of population |
| unimproved: | urban: 1.6% of population |
| unimproved: | rural: 1.6% of population |
| unimproved: | total: 1.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 92% of population |
| Sanitation facility access: | rural: 92% of population |
| Sanitation facility access: | total: 92% of population |
| unimproved: | urban: 8% of population |
| unimproved: | rural: 8% of population |
| unimproved: | total: 8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 3.3% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,200 (2016 est.) |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 31.6% (2016) |
| Education expenditures: | NA |
| Unemployment, youth ages 15-24: | total: 30.8% |
| Unemployment, youth ages 15-24: | male: 29.6% |
| Unemployment, youth ages 15-24: | female: 32.2% (2012 est.) |
