| People and Society | Estonia |
| --- | --- |
| Nationality: | noun: Estonian(s) |
| Nationality: | adjective: Estonian |
| Ethnic groups: | Estonian 68.7%, Russian 25.6%, Ukrainian 2.1%, Belarusian 1.2%, Finn 0.8%, other 1.6% (2008 census) |
| Languages: | Estonian (official) 67.3%, Russian 29.7%, other 2.3%, unknown 0.7% (2000 census) |
| Religions: | Evangelical Lutheran 13.6%, Orthodox 12.8%, other Christian (including Methodist, Seventh-Day Adventist, Roman Catholic, Pentecostal) 1.4%, unaffiliated 34.1%, other and unspecified 32%, none 6.1% (2000 census) |
| Population: | 1,266,375 (July 2013 est.) |
| Age structure: | 0-14 years: 15.4% (male 100,605/female 94,831) |
| Age structure: | 15-24 years: 11.9% (male 77,302/female 73,446) |
| Age structure: | 25-54 years: 41.3% (male 250,997/female 272,460) |
| Age structure: | 55-64 years: 13.1% (male 71,442/female 94,278) |
| Age structure: | 65 years and over: 18.2% (male 76,356/female 154,658) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 51.2 % |
| population pyramid: | youth dependency ratio: 23.9 % |
| population pyramid: | elderly dependency ratio: 27.3 % |
| population pyramid: | potential support ratio: 3.7 (2013) |
| Median age: | total: 41 years |
| Median age: | male: 37.4 years |
| Median age: | female: 44.3 years (2013 est.) |
| Population growth rate: | -0.66% (2013 est.) |
| Birth rate: | 10.38 births/1,000 population (2013 est.) |
| Death rate: | 13.65 deaths/1,000 population (2013 est.) |
| Net migration rate: | -3.35 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 69.5% of total population (2011) |
| Urbanization: | rate of urbanization: 0.02% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TALLINN (capital) 399,000 (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.76 male(s)/female |
| Sex ratio: | 65 years and over: 0.49 male(s)/female |
| Sex ratio: | total population: 0.84 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 26.3 (2010 est.) |
| Maternal mortality rate: | 2 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 6.82 deaths/1,000 live births |
| Infant mortality rate: | male: 7.94 deaths/1,000 live births |
| Infant mortality rate: | female: 5.63 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 73.82 years |
| Life expectancy at birth: | male: 68.58 years |
| Life expectancy at birth: | female: 79.4 years (2013 est.) |
| Total fertility rate: | 1.45 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 63.4% |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 (2005) |
| Health expenditures: | 6% of GDP (2011) |
| Physicians density: | 3.34 physicians/1,000 population (2010) |
| Hospital bed density: | 5.3 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 97% of population |
| Drinking water source: | total: 98% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 3% of population |
| unimproved: | total: 2% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | rural: 94% of population |
| Sanitation facility access: | total: 95% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 6% of population |
| unimproved: | total: 5% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 9,900 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | vectorborne disease: tickborne encephalitis (2013) |
| Obesity - adult prevalence rate: | 20.6% (2008) |
| Education expenditures: | 6.1% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.8% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.8% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2010) |
| Unemployment, youth ages 15-24: | total: 22.4% |
| Unemployment, youth ages 15-24: | male: 23.8% |
| Unemployment, youth ages 15-24: | female: 20.7% (2011) |
