| People and Society | Jordan |
| --- | --- |
| Nationality: | noun: Jordanian(s) |
| Nationality: | adjective: Jordanian |
| Ethnic groups: | Arab 98%, Circassian 1%, Armenian 1% |
| Languages: | Arabic (official), English (widely understood among upper and middle classes) |
| Religions: | Sunni Muslim 92% (official), Christian 6% (majority Greek Orthodox, but some Greek and Roman Catholics, Syrian Orthodox, Coptic Orthodox, Armenian Orthodox, and Protestant denominations), other 2% (several small Shia Muslim and Druze populations) (2001 est.) |
| Population: | 6,482,081 (July 2013 est.) |
| Age structure: | 0-14 years: 34.6% (male 1,154,791/female 1,089,901) |
| Age structure: | 15-24 years: 19.9% (male 661,516/female 625,311) |
| Age structure: | 25-54 years: 36.2% (male 1,181,882/female 1,164,957) |
| Age structure: | 55-64 years: 4.3% (male 133,371/female 142,636) |
| Age structure: | 65 years and over: 5.1% (male 158,514/female 169,202) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 60.2 % |
| population pyramid: | youth dependency ratio: 54.5 % |
| population pyramid: | elderly dependency ratio: 5.7 % |
| population pyramid: | potential support ratio: 17.6 (2013) |
| Median age: | total: 22.6 years |
| Median age: | male: 22.2 years |
| Median age: | female: 22.9 years (2013 est.) |
| Population growth rate: | 0.14% (2013 est.) |
| Birth rate: | 26.23 births/1,000 population (2013 est.) |
| Death rate: | 2.8 deaths/1,000 population (2013 est.) |
| Net migration rate: | -22.02 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 82.7% of total population (2011) |
| Urbanization: | rate of urbanization: 2.17% annual rate of change (2010-15 est.) |
| Major urban areas - population: | AMMAN (capital) 1.088 million (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.95 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 24.7 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2012 est.) |
| Maternal mortality rate: | 63 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 15.26 deaths/1,000 live births |
| Infant mortality rate: | male: 15.89 deaths/1,000 live births |
| Infant mortality rate: | female: 14.59 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 80.3 years |
| Life expectancy at birth: | male: 78.91 years |
| Life expectancy at birth: | female: 81.77 years (2013 est.) |
| Total fertility rate: | 3.32 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 59.3% (2009) |
| Health expenditures: | 8.4% of GDP (2011) |
| Physicians density: | 2.56 physicians/1,000 population (2010) |
| Hospital bed density: | 1.8 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98% of population |
| Drinking water source: | rural: 92% of population |
| Drinking water source: | total: 97% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 8% of population |
| unimproved: | total: 3% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98% of population |
| Sanitation facility access: | rural: 98% of population |
| Sanitation facility access: | total: 98% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 2% of population |
| unimproved: | total: 2% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 600 (2007 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2003 est.) |
| Obesity - adult prevalence rate: | 30% (2008) |
| Children under the age of 5 years underweight: | 1.9% (2009) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.9% |
| Literacy: | male: 97.7% |
| Literacy: | female: 93.9% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2010) |
| Unemployment, youth ages 15-24: | total: 29.9% |
| Unemployment, youth ages 15-24: | male: 26.2% |
| Unemployment, youth ages 15-24: | female: 46.8% (2011) |
