| People | South Africa |
| --- | --- |
| Population: | 48,782,756 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2008 est.) |
| Age structure: | 0-14 years: 29.2% (male 7,147,151/female 7,120,183) |
| Age structure: | 15-64 years: 65.5% (male 16,057,340/female 15,889,750) |
| Age structure: | 65 years and over: 5.3% (male 1,050,287/female 1,518,044) (2008 est.) |
| Median age: | total: 24.2 years |
| Median age: | male: 23.8 years |
| Median age: | female: 24.6 years (2008 est.) |
| Population growth rate: | 0.828% (2008 est.) |
| Birth rate: | 20.23 births/1,000 population (2008 est.) |
| Death rate: | 16.94 deaths/1,000 population (2008 est.) |
| Net migration rate: | 4.98 migrant(s)/1,000 population |
| Net migration rate: | note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2008 est.) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 45.11 deaths/1,000 live births |
| Infant mortality rate: | male: 49.47 deaths/1,000 live births |
| Infant mortality rate: | female: 40.65 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 48.89 years |
| Life expectancy at birth: | male: 49.63 years |
| Life expectancy at birth: | female: 48.15 years (2008 est.) |
| Total fertility rate: | 2.43 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 21.5% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 5.3 million (2003 est.) |
| HIV/AIDS - deaths: | 370,000 (2003 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: Crimean Congo hemorrhagic fever and malaria |
| Major infectious diseases: | water contact disease: schistosomiasis (2008) |
| Nationality: | noun: South African(s) |
| Nationality: | adjective: South African |
| Ethnic groups: | black African 79%, white 9.6%, colored 8.9%, Indian/Asian 2.5% (2001 census) |
| Religions: | Zion Christian 11.1%, Pentecostal/Charismatic 8.2%, Catholic 7.1%, Methodist 6.8%, Dutch Reformed 6.7%, Anglican 3.8%, Muslim 1.5%, other Christian 36%, other 2.3%, unspecified 1.4%, none 15.1% (2001 census) |
| Languages: | IsiZulu 23.8%, IsiXhosa 17.6%, Afrikaans 13.3%, Sepedi 9.4%, English 8.2%, Setswana 8.2%, Sesotho 7.9%, Xitsonga 4.4%, other 7.2% (2001 census) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 86.4% |
| Literacy: | male: 87% |
| Literacy: | female: 85.7% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2004) |
| Education expenditures: | 5.4% of GDP (2006) |
