| People and Society | SOUTH AFRICA |
| --- | --- |
| Nationality: | noun: South African(s) |
| Nationality: | adjective: South African |
| Ethnic groups: | black African 80.2%, white 8.4%, colored 8.8%, Indian/Asian 2.5% |
| Ethnic groups: | note: colored is a term used in South Africa, including on the national census, for persons of mixed race ancestry (2014 est.) |
| Languages: | IsiZulu (official) 22.7%, IsiXhosa (official) 16%, Afrikaans (official) 13.5%, English (official) 9.6%, Sepedi (official) 9.1%, Setswana (official) 8%, Sesotho (official) 7.6%, Xitsonga (official) 4.5%, siSwati (official) 2.5%, Tshivenda (official) 2.4%, isiNdebele (official) 2.1%, sign language 0.5%, other 1.6% (2011 est.) |
| Religions: | Protestant 36.6% (Zionist Christian 11.1%, Pentecostal/Charismatic 8.2%, Methodist 6.8%, Dutch Reformed 6.7%, Anglican 3.8%), Catholic 7.1%, Muslim 1.5%, other Christian 36%, other 2.3%, unspecified 1.4%, none 15.1% (2001 census) |
| Population: | 53,675,563 |
| Population: | note: Statistics South Africa (the national statistical agency of South Africa) estimates the country's mid-year 2013 total population to be 52,981,991, which takes into account the findings of South Africa's 2011 census; estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 28.43% (male 7,660,173/female 7,598,013) |
| Age structure: | 15-24 years: 18.52% (male 4,937,169/female 5,002,201) |
| Age structure: | 25-54 years: 41.07% (male 11,120,423/female 10,923,422) |
| Age structure: | 55-64 years: 6.53% (male 1,628,183/female 1,874,946) |
| Age structure: | 65 years and over: 5.46% (male 1,231,627/female 1,699,406) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 52.1% |
| population pyramid: | youth dependency ratio: 44.5% |
| population pyramid: | elderly dependency ratio: 7.7% |
| population pyramid: | potential support ratio: 13.1% (2015 est.) |
| Median age: | total: 25.7 years |
| Median age: | male: 25.4 years |
| Median age: | female: 26 years (2014 est.) |
| Population growth rate: | 1.33% (2015 est.) |
| Birth rate: | 20.75 births/1,000 population (2015 est.) |
| Death rate: | 9.91 deaths/1,000 population (2015 est.) |
| Net migration rate: | 2.42 migrant(s)/1,000 population |
| Net migration rate: | note: Zimbabweans are increasingly migrating into South Africa and Botswana in search of better economic opportunities (2015 est.) |
| Urbanization: | urban population: 64.8% of total population (2015) |
| Urbanization: | rate of urbanization: 1.59% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Johannesburg (includes Ekurhuleni) 9.399 million; Cape Town (legislative capital) 3.66 million; Durban 2.901 million; PRETORIA (capital) 2.059 million; Port Elizabeth 1.179 million; Vereeniging 1.155 million (2015) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 32.99 deaths/1,000 live births |
| Infant mortality rate: | male: 36.62 deaths/1,000 live births |
| Infant mortality rate: | female: 29.27 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 62.34 years |
| Life expectancy at birth: | male: 60.83 years |
| Life expectancy at birth: | female: 63.87 years (2015 est.) |
| Total fertility rate: | 2.33 children born/woman (2015 est.) |
| Health expenditures: | 8.9% of GDP (2013) |
| Physicians density: | 0.78 physicians/1,000 population (2013) |
| Hospital bed density: | 2.8 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.6% of population |
| Drinking water source: | rural: 81.4% of population |
| Drinking water source: | total: 93.2% of population |
| unimproved: | urban: 0.4% of population |
| unimproved: | rural: 18.6% of population |
| unimproved: | total: 6.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 69.6% of population |
| Sanitation facility access: | rural: 60.5% of population |
| Sanitation facility access: | total: 66.4% of population |
| unimproved: | urban: 30.4% of population |
| unimproved: | rural: 39.5% of population |
| unimproved: | total: 33.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 19.05% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,274,100 (2013 est.) |
| HIV/AIDS - deaths: | 195,300 (2013 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | water contact disease: schistosomiasis (2013) |
| Obesity - adult prevalence rate: | 25.6% (2014) |
| Children under the age of 5 years underweight: | 8.7% (2008) |
| Education expenditures: | 6.2% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.3% |
| Literacy: | male: 95.5% |
| Literacy: | female: 93.1% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2012) |
| Unemployment, youth ages 15-24: | total: 51.5% |
| Unemployment, youth ages 15-24: | male: 47.1% |
| Unemployment, youth ages 15-24: | female: 56.9% (2012 est.) |
