| People and Society | South Africa |
| --- | --- |
| Nationality: | noun: South African(s) |
| Nationality: | adjective: South African |
| Ethnic groups: | black African 79.2%, white 8.9%, colored 8.9%, Indian/Asian 2.5%, other 0.5% (2011 est.) |
| Languages: | IsiZulu (official) 22.7%, IsiXhosa (official) 16%, Afrikaans (official) 13.5%, English (official) 9.6%, Sepedi (official) 9.1%, Setswana (official) 8%, Sesotho (official) 7.6%, Xitsonga (official) 4.5%, siSwati (official) 2.5%, Tshivenda (official) 2.4%, isiNdebele (official) 2.1%, sign language 0.5%, other 1.6% (2011 est.) |
| Religions: | Protestant 36.6% (Zionist Christian 11.1%, Pentecostal/Charismatic 8.2%, Methodist 6.8%, Dutch Reformed 6.7%, Anglican 3.8%), Catholic 7.1%, Muslim 1.5%, other Christian 36%, other 2.3%, unspecified 1.4%, none 15.1% (2001 census) |
| Population: | 48,375,645 |
| Population: | note: Statistics South Africa (the national statistical agency of South Africa) estimates the country's mid-year 2013 total population to be 52,981,991, which takes into account the findings of South Africa's 2011 census; estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.) |
| Age structure: | 0-14 years: 28.3% (male 6,859,518/female 6,815,185) |
| Age structure: | 15-24 years: 20.2% (male 4,914,394/female 4,866,121) |
| Age structure: | 25-54 years: 38.2% (male 9,543,746/female 8,923,605) |
| Age structure: | 55-64 years: 7.1% (male 1,470,282/female 1,950,499) |
| Age structure: | 65 years and over: 6.1% (male 1,205,657/female 1,826,638) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 53.9 % |
| population pyramid: | youth dependency ratio: 45.2 % |
| population pyramid: | elderly dependency ratio: 8.7 % |
| population pyramid: | potential support ratio: 11.5 (2014 est.) |
| Median age: | total: 25.7 years |
| Median age: | male: 25.4 years |
| Median age: | female: 26 years (2014 est.) |
| Population growth rate: | -0.48% (2014 est.) |
| Birth rate: | 18.94 births/1,000 population (2014 est.) |
| Death rate: | 17.49 deaths/1,000 population (2014 est.) |
| Net migration rate: | -6.27 migrant(s)/1,000 population |
| Net migration rate: | note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2014 est.) |
| Urbanization: | urban population: 62% of total population (2011) |
| Urbanization: | rate of urbanization: 1.21% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Johannesburg 3.844 million; Cape Town (legislative capital) 3.562 million; Ekurhuleni (East Rand) 3.357 million; Durban 3.012 million; PRETORIA (capital) 1.501 million; Vereeniging 1.2 million; Bloemfontein (judicial capital) 468,000 (2011) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1.07 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 22.5 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2003-04 est.) |
| Maternal mortality rate: | 300 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 41.61 deaths/1,000 live births |
| Infant mortality rate: | male: 45.25 deaths/1,000 live births |
| Infant mortality rate: | female: 37.9 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 49.56 years |
| Life expectancy at birth: | male: 50.52 years |
| Life expectancy at birth: | female: 48.58 years (2014 est.) |
| Total fertility rate: | 2.23 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 59.9% (2003/04) |
| Health expenditures: | 8.5% of GDP (2011) |
| Physicians density: | 0.76 physicians/1,000 population (2011) |
| Hospital bed density: | 2.8 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.2% of population |
| Drinking water source: | rural: 88.3% of population |
| Drinking water source: | total: 95.1% of population |
| unimproved: | urban: 0.8% of population |
| unimproved: | rural: 11.7% of population |
| unimproved: | total: 4.9% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 81.7% of population |
| Sanitation facility access: | rural: 62.4% of population |
| Sanitation facility access: | total: 74.4% of population |
| unimproved: | urban: 18.3% of population |
| unimproved: | rural: 37.6% of population |
| unimproved: | total: 25.6% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 17.9% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,070,800 (2012 est.) |
| HIV/AIDS - deaths: | 235,100 (2012 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | water contact disease: schistosomiasis (2013) |
| Obesity - adult prevalence rate: | 31.3% (2008) |
| Children under the age of 5 years underweight: | 8.7% (2008) |
| Education expenditures: | 6% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93% |
| Literacy: | male: 93.9% |
| Literacy: | female: 92.2% (2011 est.) |
| Unemployment, youth ages 15-24: | total: 51.5% |
| Unemployment, youth ages 15-24: | male: 47.1% |
| Unemployment, youth ages 15-24: | female: 56.9% (2012) |
