| People and Society | Italy |
| --- | --- |
| Nationality: | noun: Italian(s) |
| Nationality: | adjective: Italian |
| Ethnic groups: | Italian (includes small clusters of German-, French-, and Slovene-Italians in the north and Albanian-Italians and Greek-Italians in the south) |
| Languages: | Italian (official), German (parts of Trentino-Alto Adige region are predominantly German speaking), French (small French-speaking minority in Valle d'Aosta region), Slovene (Slovene-speaking minority in the Trieste-Gorizia area) |
| Religions: | Christian 80% (overwhelming Roman Catholic with very small groups of Jehova Witnesses and Protestants), Muslims NEGL (about 700,000 but growing), Atheists and Agnostics 20% |
| Population: | 61,482,297 (July 2013 est.) |
| Age structure: | 0-14 years: 13.8% (male 4,335,746/female 4,148,249) |
| Age structure: | 15-24 years: 9.9% (male 3,059,140/female 3,035,991) |
| Age structure: | 25-54 years: 43.2% (male 13,133,733/female 13,416,626) |
| Age structure: | 55-64 years: 12.3% (male 3,675,324/female 3,913,918) |
| Age structure: | 65 years and over: 20.8% (male 5,454,283/female 7,309,287) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 54.3 % |
| population pyramid: | youth dependency ratio: 21.7 % |
| population pyramid: | elderly dependency ratio: 32.6 % |
| population pyramid: | potential support ratio: 3.1 (2013) |
| Median age: | total: 44.2 years |
| Median age: | male: 43 years |
| Median age: | female: 45.3 years (2013 est.) |
| Population growth rate: | 0.34% (2013 est.) |
| Birth rate: | 8.94 births/1,000 population (2013 est.) |
| Death rate: | 10.01 deaths/1,000 population (2013 est.) |
| Net migration rate: | 4.47 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 68% of total population (2010) |
| Urbanization: | rate of urbanization: 0.5% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ROME (capital) 3.357 million; Milan 2.962 million; Naples 2.27 million; Turin 1.662 million; Palermo 872,000 (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 27.7 (2010 est.) |
| Maternal mortality rate: | 4 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 3.33 deaths/1,000 live births |
| Infant mortality rate: | male: 3.54 deaths/1,000 live births |
| Infant mortality rate: | female: 3.12 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 81.95 years |
| Life expectancy at birth: | male: 79.32 years |
| Life expectancy at birth: | female: 84.73 years (2013 est.) |
| Total fertility rate: | 1.41 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 62.7% |
| Contraceptive prevalence rate: | note: percent of women aged 20-49 (1995/96) |
| Health expenditures: | 9.5% of GDP (2011) |
| Physicians density: | 3.8 physicians/1,000 population (2009) |
| Hospital bed density: | 3.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 140,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 1,000 (2009 est.) |
| Obesity - adult prevalence rate: | 19.8% (2008) |
| Education expenditures: | 4.7% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99.2% |
| Literacy: | female: 98.7% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2010) |
| Unemployment, youth ages 15-24: | total: 29.1% |
| Unemployment, youth ages 15-24: | male: 27.1% |
| Unemployment, youth ages 15-24: | female: 32% (2011) |
