| People and Society | Niue |
| --- | --- |
| Nationality: | noun: Niuean(s) |
| Nationality: | adjective: Niuean |
| Ethnic groups: | Niuen 66.5%, part-Niuen 13.4%, non-Niuen 20.1% (includes 12% European and Asian and 8% Pacific Islanders) (2011 est.) |
| Languages: | Niuean (official) 46% (a Polynesian language closely related to Tongan and Samoan), Niuean and English 32%, English (official) 11%, Niuean and others 5%, other 6% (2011 est.) |
| Religions: | Ekalesia Niue (Congregational Christian Church of Niue - a Protestant church founded by missionaries from the London Missionary Society) 67%, other Protestant 3% (includes Seventh Day Adventist 1%, Presbyterian 1%, and Methodist 1%), Mormon 10%, Roman Catholic 10%, Jehovah's Witnesses 2%, other 6%, none 2% (2011 est.) |
| Population: | 1,190 (July 2014 est.) |
| Population growth rate: | -0.03% (2014 est.) |
| Urbanization: | urban population: 37.9% of total population (2011) |
| Urbanization: | rate of urbanization: -1.63% annual rate of change (2010-15 est.) |
| Sex ratio: | NA |
| Infant mortality rate: | total: NA |
| Infant mortality rate: | male: NA |
| Infant mortality rate: | female: NA |
| Life expectancy at birth: | total population: NA |
| Life expectancy at birth: | male: NA |
| Life expectancy at birth: | female: NA |
| Total fertility rate: | NA |
| Health expenditures: | 14.6% of GDP (2011) |
| Physicians density: | 6 physicians/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.5% of population |
| Drinking water source: | rural: 98.6% of population |
| Drinking water source: | total: 98.6% of population |
| unimproved: | urban: 1.5% of population |
| unimproved: | rural: 1.4% of population |
| unimproved: | total: 1.4% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: NA |
| Literacy: | total population: 95% |
| Literacy: | male: NA |
| Literacy: | female: NA |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2005) |
