| People and Society | Guatemala |
| --- | --- |
| Population: | 17,153,288 (July 2020 est.) |
| Nationality: | noun: Guatemalan(s) |
| Nationality: | adjective: Guatemalan |
| Ethnic groups: | Mestizo (mixed Amerindian-Spanish - in local Spanish called Ladino) 56%, Maya 41.7%, Xinca (indigenous, non-Maya) 1.8%, African descent .2%, Garifuna (mixed West and Central African, Island Carib, and Arawak) .1%, foreign .2% (2018 est.) |
| Languages: | Spanish (official) 69.9%, Maya languages 29.7% (Q'eqchi' 8.3%, K'iche 7.8%, Mam 4.4%, Kaqchikel 3%, Q'anjob'al 1.2%, Poqomchi' 1%, other 4%), other 0.4% (includes Xinca and Garifuna) (2018 est.) |
| Languages: | note: the 2003 Law of National Languages officially recognized 23 indigenous languages, including 21 Maya languages, Xinca, and Garifuna |
| Religions: | Roman Catholic, Protestant, indigenous Maya |
| Demographic profile: | Guatemala is a predominantly poor country that struggles in several areas of health and development, including infant, child, and maternal mortality, malnutrition, literacy, and contraceptive awareness and use. The country's large indigenous population is disproportionately affected. Guatemala is the most populous country in Central America and has the highest fertility rate in Latin America. It also has the highest population growth rate in Latin America, which is likely to continue because of its large reproductive-age population and high birth rate. Almost half of Guatemala's population is under age 19, making it the youngest population in Latin America. Guatemala's total fertility rate has slowly declined during the last few decades due in part to limited government-funded health programs. However, the birth rate is still more close to three children per woman and is markedly higher among its rural and indigenous populations. |
| Demographic profile: | Guatemalans have a history of emigrating legally and illegally to Mexico, the United States, and Canada because of a lack of economic opportunity, political instability, and natural disasters. Emigration, primarily to the United States, escalated during the 1960 to 1996 civil war and accelerated after a peace agreement was signed. Thousands of Guatemalans who fled to Mexico returned after the war, but labor migration to southern Mexico continues. |
| Age structure: | 0-14 years: 33.68% (male 2,944,145/female 2,833,432) |
| Age structure: | 15-24 years: 19.76% (male 1,705,730/female 1,683,546) |
| Age structure: | 25-54 years: 36.45% (male 3,065,933/female 3,186,816) |
| Age structure: | 55-64 years: 5.41% (male 431,417/female 496,743) |
| Age structure: | 65 years and over: 4.7% (male 363,460/female 442,066) (2020 est.) |
| Dependency ratios: | total dependency ratio: 62.3 |
| Dependency ratios: | youth dependency ratio: 54.1 |
| Dependency ratios: | elderly dependency ratio: 8.2 |
| Dependency ratios: | potential support ratio: 12.2 (2020 est.) |
| Median age: | total: 23.2 years |
| Median age: | male: 22.6 years |
| Median age: | female: 23.8 years (2020 est.) |
| Population growth rate: | 1.68% (2020 est.) |
| Birth rate: | 23.3 births/1,000 population (2020 est.) |
| Death rate: | 4.9 deaths/1,000 population (2020 est.) |
| Net migration rate: | -1.7 migrant(s)/1,000 population (2020 est.) |
