| People and Society | GUATEMALA |
| --- | --- |
| Population: | 15,189,958 (July 2016 est.) |
| Nationality: | noun: Guatemalan(s) |
| Nationality: | adjective: Guatemalan |
| Ethnic groups: | Mestizo (mixed Amerindian-Spanish - in local Spanish called Ladino) and European 59.4%, K'iche 9.1%, Kaqchikel 8.4%, Mam 7.9%, Q'eqchi 6.3%, other Mayan 8.6%, indigenous non-Mayan 0.2%, other 0.1% (2001 census) |
| Languages: | Spanish (official) 60%, Amerindian languages 40% |
| Languages: | note: there are 23 officially recognized Amerindian languages, including Quiche, Cakchiquel, Kekchi, Mam, Garifuna, and Xinca |
| Religions: | Roman Catholic, Protestant, indigenous Mayan beliefs |
| Demographic profile: | Guatemala is a predominantly poor country that struggles in several areas of health and development, including infant, child, and maternal mortality, malnutrition, literacy, and contraceptive awareness and use. The country's large indigenous population is disproportionately affected. Guatemala is the most populous country in Central America and has the highest fertility rate in Latin America. It also has the highest population growth rate in Latin America, which is likely to continue because of its large reproductive-age population and high birth rate. Almost half of Guatemala's population is under age 19, making it the youngest population in Latin America. Guatemala's total fertility rate has slowly declined during the last few decades due in part to limited government-funded health programs. However, the birth rate is still more than three children per woman and is markedly higher among its rural and indigenous populations. |
| Demographic profile: | Guatemalans have a history of emigrating legally and illegally to Mexico, the United States, and Canada because of a lack of economic opportunity, political instability, and natural disasters. Emigration, primarily to the United States, escalated during the 1960 to 1996 civil war and accelerated after a peace agreement was signed. Thousands of Guatemalans who fled to Mexico returned after the war, but labor migration to southern Mexico continues. |
| Age structure: | 0-14 years: 35.02% (male 2,711,683/female 2,608,295) |
| Age structure: | 15-24 years: 21.8% (male 1,663,484/female 1,647,749) |
| Age structure: | 25-54 years: 33.53% (male 2,425,931/female 2,666,790) |
| Age structure: | 55-64 years: 5.23% (male 377,642/female 416,939) |
| Age structure: | 65 years and over: 4.42% (male 311,165/female 360,280) (2016 est.) |
| Dependency ratios: | total dependency ratio: 70.9% |
| Dependency ratios: | youth dependency ratio: 62.6% |
| Dependency ratios: | elderly dependency ratio: 8.3% |
| Dependency ratios: | potential support ratio: 12.1% (2015 est.) |
| Median age: | total: 21.7 years |
| Median age: | male: 21 years |
| Median age: | female: 22.4 years (2016 est.) |
| Population growth rate: | 1.79% (2016 est.) |
| Birth rate: | 24.5 births/1,000 population (2016 est.) |
| Death rate: | 4.7 deaths/1,000 population (2016 est.) |
| Net migration rate: | -1.9 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas |
| Urbanization: | urban population: 51.6% of total population (2015) |
| Urbanization: | rate of urbanization: 3.4% annual rate of change (2010-15 est.) |
| Major urban areas - population: | GUATEMALA CITY (capital) 2.918 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.91 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 20.3 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2008/09 est.) |
| Maternal mortality rate: | 88 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 22 deaths/1,000 live births |
| Infant mortality rate: | male: 23.9 deaths/1,000 live births |
| Infant mortality rate: | female: 19.9 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 72.3 years |
| Life expectancy at birth: | male: 70.3 years |
| Life expectancy at birth: | female: 74.4 years (2016 est.) |
| Total fertility rate: | 2.83 children born/woman (2016 est.) |
| Health expenditures: | 6.2% of GDP (2014) |
| Physicians density: | 0.93 physicians/1,000 population (2009) |
| Hospital bed density: | 0.6 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.4% of population |
| Drinking water source: | rural: 86.8% of population |
| Drinking water source: | total: 92.8% of population |
| unimproved: | urban: 1.6% of population |
| unimproved: | rural: 13.2% of population |
| unimproved: | total: 7.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 77.5% of population |
| Sanitation facility access: | rural: 49.3% of population |
| Sanitation facility access: | total: 63.9% of population |
| unimproved: | urban: 22.5% of population |
| unimproved: | rural: 50.7% of population |
| unimproved: | total: 36.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.57% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 54,600 (2015 est.) |
| HIV/AIDS - deaths: | 1,700 (2015 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever and malaria |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 16.4% (2014) |
