| People and Society | Guatemala |
| --- | --- |
| Population: | 16,581,273 (July 2018 est.) |
| Nationality: | noun: Guatemalan(s) |
| Nationality: | adjective: Guatemalan |
| Ethnic groups: | mestizo (mixed Amerindian-Spanish - in local Spanish called Ladino) and European 60.1%, Maya 39.3% (K'iche 11.3%, Q'eqchi 7.6%, Kaqchikel 7.4%, Mam 5.5%, other 7.5%), non-Maya, non-mestizo 0.15% (Xinca (indigenous, non-Maya), Garifuna (mixed West and Central African, Island Carib, and Arawak)), other 0.5% (2001 est.) |
| Languages: | Spanish (official) 68.9%, Maya languages 30.9% (K'iche 8.7%, Q'eqchi 7%, Mam 4.6%, Kaqchikel 4.3%, other 6.3%), other 0.3% (includes Xinca and Garifuna) (2001 est.) |
| Languages: | note: the 2003 Law of National Languages officially recognized 23 indigenous languages, including 21 Maya languages, Xinka, and Garifuna |
| Religions: | Roman Catholic, Protestant, indigenous Maya beliefs |
| Demographic profile: | Guatemala is a predominantly poor country that struggles in several areas of health and development, including infant, child, and maternal mortality, malnutrition, literacy, and contraceptive awareness and use. The country's large indigenous population is disproportionately affected. Guatemala is the most populous country in Central America and has the highest fertility rate in Latin America. It also has the highest population growth rate in Latin America, which is likely to continue because of its large reproductive-age population and high birth rate. Almost half of Guatemala's population is under age 19, making it the youngest population in Latin America. Guatemala's total fertility rate has slowly declined during the last few decades due in part to limited government-funded health programs. However, the birth rate is still more close to three children per woman and is markedly higher among its rural and indigenous populations. |
| Demographic profile: | Guatemalans have a history of emigrating legally and illegally to Mexico, the United States, and Canada because of a lack of economic opportunity, political instability, and natural disasters. Emigration, primarily to the United States, escalated during the 1960 to 1996 civil war and accelerated after a peace agreement was signed. Thousands of Guatemalans who fled to Mexico returned after the war, but labor migration to southern Mexico continues. |
| Age structure: | 0-14 years: 34.55% (male 2,919,281 /female 2,810,329) |
| Age structure: | 15-24 years: 20.23% (male 1,688,900 /female 1,665,631) |
| Age structure: | 25-54 years: 35.47% (male 2,878,075 /female 3,002,920) |
| Age structure: | 55-64 years: 5.28% (male 407,592 /female 468,335) |
| Age structure: | 65 years and over: 4.46% (male 336,377 /female 403,833) (2018 est.) |
| Dependency ratios: | total dependency ratio: 68.7 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 61.1 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 7.6 (2015 est.) |
| Dependency ratios: | potential support ratio: 13.1 (2015 est.) |
| Median age: | total: 22.5 years |
| Median age: | male: 22 years |
| Median age: | female: 23.1 years (2018 est.) |
