| People and Society | Marshall Islands |
| --- | --- |
| Population: | 75,684 (July 2018 est.) |
| Nationality: | noun: Marshallese (singular and plural) |
| Nationality: | adjective: Marshallese |
| Ethnic groups: | Marshallese 92.1%, mixed Marshallese 5.9%, other 2% (2006) |
| Languages: | Marshallese (official) 98.2%, other languages 1.8% (1999 census) |
| Languages: | note: English (official), widely spoken as a second language |
| Religions: | Protestant 80.5% (United Church of Christ 47%, Assembly of God 16.2%, Bukot Nan Jesus 5.4%, Full Gospel 3.3%, Reformed Congressional Church 3%, Salvation Army 1.9%, Seventh Day Adventist 1.4%, Meram in Jesus 1.2%, other Protestant 1.1%), Roman Catholic 8.5%,Â Mormon 7%, Jehovah's Witness 1.7%,Â  other 1.2%, none 1.1% (2011 est.) |
| Age structure: | 0-14 years: 34.26% (male 13,224 /female 12,706) |
| Age structure: | 15-24 years: 18.49% (male 7,117 /female 6,875) |
| Age structure: | 25-54 years: 37.15% (male 14,318 /female 13,800) |
| Age structure: | 55-64 years: 5.86% (male 2,221 /female 2,215) |
| Age structure: | 65 years and over: 4.24% (male 1,580 /female 1,628) (2018 est.) |
| Median age: | total: 23.1 years |
| Median age: | male: 23 years |
| Median age: | female: 23.2 years (2018 est.) |
| Population growth rate: | 1.5% (2018 est.) |
| Birth rate: | 23.8 births/1,000 population (2018 est.) |
| Death rate: | 4.2 deaths/1,000 population (2018 est.) |
| Net migration rate: | -4.7 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most people live in urban clusters found on many of the country's islands; more than two-thirds of the population lives on the atolls of Majuro and Ebeye |
| Urbanization: | urban population: 77% of total population (2018) |
| Urbanization: | rate of urbanization: 0.61% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 31,000 MAJURO (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.97 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.04 male(s)/female (2017 est.) |
| Infant mortality rate: | total: 18.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 21.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 16.1 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 73.6 years (2018 est.) |
| Life expectancy at birth: | male: 71.4 years (2018 est.) |
| Life expectancy at birth: | female: 76 years (2018 est.) |
| Total fertility rate: | 2.98 children born/woman (2018 est.) |
| Health expenditures: | 17.1% of GDP (2014) |
| Physicians density: | 0.46 physicians/1,000 population (2012) |
| Hospital bed density: | 2.7 beds/1,000 population (2010) |
| Drinking water source: | improved: urban: 93.5% of population |
| Drinking water source: | rural: 97.6% of population |
| Drinking water source: | total: 94.6% of population |
| Drinking water source: | unimproved: urban: 6.5% of population |
| Drinking water source: | rural: 2.4% of population |
| Drinking water source: | total: 5.4% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 84.5% of population (2015 est.) |
| Sanitation facility access: | rural: 56.2% of population (2015 est.) |
| Sanitation facility access: | total: 76.9% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 15.5% of population (2015 est.) |
| Sanitation facility access: | rural: 43.8% of population (2015 est.) |
| Sanitation facility access: | total: 23.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 52.9% (2016) |
| Literacy: | definition: age 15 and over can read and write (2011 est.) |
| Literacy: | total population: 98.3% (2011 est.) |
| Literacy: | male: 98.3% (2011 est.) |
| Literacy: | female: 98.2% (2011 est.) |
| Unemployment, youth ages 15-24: | total: 11% (2010 est.) |
| Unemployment, youth ages 15-24: | male: 12.2% (2010 est.) |
| Unemployment, youth ages 15-24: | female: 8.7% (2010 est.) |
